HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,3,20,4,0.000182387
EqualDistinctCountHistogram,string,5,20,5,0.000182407
EqualDistinctCountHistogram,string,1,20,5,0.000362141
EqualDistinctCountHistogram,string,4,20,5,0.000171872
EqualDistinctCountHistogram,int,0,20,5,0.000329419
EqualDistinctCountHistogram,string,12,10,1,3.3553e-05
EqualDistinctCountHistogram,string,4,9,5,0.000326434
EqualDistinctCountHistogram,string,7,9,5,6.8665e-05
EqualDistinctCountHistogram,string,11,10,5,7.8754e-05
EqualDistinctCountHistogram,string,8,10,4,7.5715e-05
EqualDistinctCountHistogram,string,1,10,5,3.4491e-05
EqualDistinctCountHistogram,string,2,9,5,0.00124558
EqualDistinctCountHistogram,int,5,86400,43,0.0022707
EqualDistinctCountHistogram,string,10,10,2,7.8279e-05
EqualDistinctCountHistogram,float,13,9,1,0.000180529
EqualDistinctCountHistogram,int,0,10,5,0.000102809
EqualDistinctCountHistogram,string,9,36000,3,0.00285917
EqualDistinctCountHistogram,string,9,199,5,0.000140993
EqualDistinctCountHistogram,string,24,24,5,3.4159e-05
EqualDistinctCountHistogram,int,4,199,5,7.7684e-05
EqualDistinctCountHistogram,string,23,24,5,4.2211e-05
EqualDistinctCountHistogram,string,17,42,5,0.000116148
EqualDistinctCountHistogram,int,3,9,5,8.0215e-05
EqualDistinctCountHistogram,string,14,24,5,6.1789e-05
EqualDistinctCountHistogram,string,21,24,5,0.000128088
EqualDistinctCountHistogram,int,5,200,5,0.000340893
EqualDistinctCountHistogram,string,28,24,1,0.00012429
EqualDistinctCountHistogram,string,13,24,5,5.1448e-05
EqualDistinctCountHistogram,string,11,24,5,2.8253e-05
EqualDistinctCountHistogram,int,18,24,5,1.609e-05
EqualDistinctCountHistogram,string,3,12,3,1.9658e-05
EqualDistinctCountHistogram,string,1,24,5,1.7542e-05
EqualDistinctCountHistogram,string,7,42,1,0.000141786
EqualDistinctCountHistogram,string,6,86400,2,0.00438271
EqualDistinctCountHistogram,string,9,10,2,2.3561e-05
EqualDistinctCountHistogram,string,5,9,5,3.1501e-05
