HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,1,25,5,0.000446957
EqualDistinctCountHistogram,string,3,25,5,0.000449123
EqualDistinctCountHistogram,int,0,25,5,0.00163415
EqualDistinctCountHistogram,int,2,25,5,0.00346542
EqualDistinctCountHistogram,string,2,5,5,0.000401259
EqualDistinctCountHistogram,int,3,100000,25,0.00507666
EqualDistinctCountHistogram,string,1,5,5,4.9333e-05
EqualDistinctCountHistogram,int,3,1.5e+06,25,0.0156801
EqualDistinctCountHistogram,int,0,5,5,0.00300653
EqualDistinctCountHistogram,int,5,2e+06,50,0.0124135
EqualDistinctCountHistogram,int,0,100000,50,0.0273568
EqualDistinctCountHistogram,float,5,100000,50,0.074745
EqualDistinctCountHistogram,float,7,2e+06,100,0.0752992
EqualDistinctCountHistogram,string,6,1.5e+06,5,0.0852294
EqualDistinctCountHistogram,int,7,1.5e+07,1,0.0979796
EqualDistinctCountHistogram,int,2,8e+06,100,0.095205
EqualDistinctCountHistogram,string,3,2e+06,25,0.112302
EqualDistinctCountHistogram,string,6,2e+06,40,0.128411
EqualDistinctCountHistogram,int,1,8e+06,100,0.134916
EqualDistinctCountHistogram,string,4,100000,50,0.157516
EqualDistinctCountHistogram,string,2,2e+06,5,0.163689
EqualDistinctCountHistogram,int,0,1.5e+06,100,0.186637
EqualDistinctCountHistogram,int,0,8e+06,100,0.20553
EqualDistinctCountHistogram,int,0,2e+06,100,0.224142
EqualDistinctCountHistogram,string,1,100000,50,0.232298
EqualDistinctCountHistogram,string,2,100000,50,0.234824
EqualDistinctCountHistogram,string,4,2e+06,100,0.264826
EqualDistinctCountHistogram,string,6,100000,50,0.329404
EqualDistinctCountHistogram,float,5,1.5e+06,100,0.355952
EqualDistinctCountHistogram,string,2,1.5e+07,3,0.503124
EqualDistinctCountHistogram,float,3,8e+06,100,0.653136
EqualDistinctCountHistogram,float,7,5.99861e+07,9,0.792758
EqualDistinctCountHistogram,float,6,5.99861e+07,11,0.862037
EqualDistinctCountHistogram,int,1,1.5e+07,100,0.883452
EqualDistinctCountHistogram,string,4,1.5e+07,100,0.942475
EqualDistinctCountHistogram,string,5,1.5e+07,5,0.990662
EqualDistinctCountHistogram,string,6,1.5e+07,100,1.45511
EqualDistinctCountHistogram,string,4,1.5e+06,100,1.5031
EqualDistinctCountHistogram,int,0,1.5e+07,100,1.78729
EqualDistinctCountHistogram,string,9,3.35544e+07,2,2.00316
EqualDistinctCountHistogram,string,8,2e+06,100,2.15405
EqualDistinctCountHistogram,string,8,4.63895e+07,3,2.22754
EqualDistinctCountHistogram,string,1,1.5e+06,100,2.34953
EqualDistinctCountHistogram,string,2,1.5e+06,100,2.98512
EqualDistinctCountHistogram,string,7,1.5e+06,100,3.21664
EqualDistinctCountHistogram,string,12,5.99861e+07,100,3.65515
EqualDistinctCountHistogram,string,14,5.99861e+07,7,3.65962
EqualDistinctCountHistogram,float,3,1.5e+07,100,3.69217
EqualDistinctCountHistogram,string,11,5.9986e+07,100,3.80592
EqualDistinctCountHistogram,string,1,2e+06,100,3.87411
EqualDistinctCountHistogram,string,10,5.99861e+07,100,3.88653
EqualDistinctCountHistogram,float,4,5.9986e+07,50,0.883586
EqualDistinctCountHistogram,string,13,5.99861e+07,4,4.57511
EqualDistinctCountHistogram,int,2,5.99861e+07,100,1.09258
EqualDistinctCountHistogram,int,3,5.99861e+07,7,0.38099
EqualDistinctCountHistogram,int,1,5.9986e+07,100,1.98187
EqualDistinctCountHistogram,int,0,5.9986e+07,100,2.46971
EqualDistinctCountHistogram,string,4,8e+06,100,17.9303
EqualDistinctCountHistogram,string,8,1.5e+07,100,28.873
EqualDistinctCountHistogram,string,15,5.9986e+07,100,78.9239
EqualDistinctCountHistogram,float,5,5.9986e+07,100,3.3303
