benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-H,EquiHeightHistogram,TPC-H 01,0,TableScan,59986052,59608678,59986052.000000,59963612.000000
TPC-H,EquiHeightHistogram,TPC-H 02,0,TableScan,2000000,39905,2000000.000000,39905.000000
TPC-H,EquiHeightHistogram,TPC-H 02,1,JoinHashLeft,8000000,31496,8000000.000000,15962.009766
TPC-H,EquiHeightHistogram,TPC-H 02,2,JoinHashLeft,100000,20042,100000.000000,19999.998047
TPC-H,EquiHeightHistogram,TPC-H 02,3,JoinHashLeft,100000,20042,100000.000000,19999.998047
TPC-H,EquiHeightHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EquiHeightHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EquiHeightHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 03,0,JoinHashLeft,59986052,5780038,59986052.000000,8750210.000000
TPC-H,EquiHeightHistogram,TPC-H 03,1,JoinHashLeft,15000000,3002982,15000000.000000,4506493.000000
TPC-H,EquiHeightHistogram,TPC-H 03,2,TableScan,1500000,300441,1500000.000000,300441.000000
TPC-H,EquiHeightHistogram,TPC-H 04,0,TableScan,15000000,573776,15000000.000000,598790.125000
TPC-H,EquiHeightHistogram,TPC-H 04,1,JoinHashLeft,59986052,2297233,59986052.000000,2394589.750000
TPC-H,EquiHeightHistogram,TPC-H 05,0,JoinHashRight,1500000,1828106,1500000.000000,1831124.000000
TPC-H,EquiHeightHistogram,TPC-H 05,1,TableScan,15000000,2275919,15000000.000000,2289449.500000
TPC-H,EquiHeightHistogram,TPC-H 05,2,JoinHashLeft,59986052,9103367,59986052.000000,9155613.000000
TPC-H,EquiHeightHistogram,TPC-H 05,3,JoinHashLeft,100000,20051,100000.000000,19999.998047
TPC-H,EquiHeightHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EquiHeightHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 06,0,TableScan,59986052,9123688,59986052.000000,9187416.000000
TPC-H,EquiHeightHistogram,TPC-H 07,0,JoinHashLeft,100000,8054,100000.000000,3999.999268
TPC-H,EquiHeightHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 07,3,JoinHashLeft,15000000,1191905,15000000.000000,899975.750000
TPC-H,EquiHeightHistogram,TPC-H 07,4,JoinHashLeft,59986052,4832933,59986052.000000,2399441.500000
TPC-H,EquiHeightHistogram,TPC-H 07,5,JoinHashLeft,1500000,119279,1500000.000000,59999.988281
TPC-H,EquiHeightHistogram,TPC-H 08,0,JoinHashRight,25,24100,25.000000,117879.179688
TPC-H,EquiHeightHistogram,TPC-H 08,1,JoinHashLeft,100000,24100,100000.000000,117879.179688
TPC-H,EquiHeightHistogram,TPC-H 08,2,JoinHashLeft,1500000,299493,1500000.000000,299999.968750
TPC-H,EquiHeightHistogram,TPC-H 08,3,JoinHashLeft,59986052,397400,59986052.000000,397257.750000
TPC-H,EquiHeightHistogram,TPC-H 08,4,JoinHashLeft,25,5,25.000000,5.000000
TPC-H,EquiHeightHistogram,TPC-H 08,5,JoinHashLeft,15000000,392085,15000000.000000,397257.812500
TPC-H,EquiHeightHistogram,TPC-H 08,6,TableScan,2000000,13245,2000000.000000,13245.000000
TPC-H,EquiHeightHistogram,TPC-H 08,7,TableScan,5,1,5.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 09,0,JoinHashLeft,8000000,432928,8000000.000000,800000.000000
TPC-H,EquiHeightHistogram,TPC-H 09,1,JoinHashLeft,15000000,3246126,15000000.000000,5998604.500000
TPC-H,EquiHeightHistogram,TPC-H 09,2,JoinHashLeft,100000,100000,100000.000000,100000.000000
TPC-H,EquiHeightHistogram,TPC-H 09,3,JoinHashRight,25,100000,25.000000,100000.000000
TPC-H,EquiHeightHistogram,TPC-H 09,4,JoinHashLeft,59986052,3246126,59986052.000000,5998605.000000
TPC-H,EquiHeightHistogram,TPC-H 09,5,TableScan,2000000,108232,2000000.000000,200000.000000
TPC-H,EquiHeightHistogram,TPC-H 10,0,JoinHashLeft,1500000,1500000,1500000.000000,1500000.000000
TPC-H,EquiHeightHistogram,TPC-H 10,1,JoinHashRight,25,1500000,25.000000,1500000.000000
TPC-H,EquiHeightHistogram,TPC-H 10,2,TableScan,15000000,561293,15000000.000000,586732.250000
TPC-H,EquiHeightHistogram,TPC-H 10,3,JoinHashLeft,59986052,2245158,59986052.000000,2346370.000000
TPC-H,EquiHeightHistogram,TPC-H 11,0,JoinHashLeft,8000000,319040,8000000.000000,319999.968750
TPC-H,EquiHeightHistogram,TPC-H 11,1,JoinHashLeft,100000,3988,100000.000000,3999.999268
TPC-H,EquiHeightHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 12,0,JoinHashLeft,15000000,291762,15000000.000000,1310440.875000
TPC-H,EquiHeightHistogram,TPC-H 12,1,TableScan,59986052,9107712,59986052.000000,9170509.000000
TPC-H,EquiHeightHistogram,TPC-H 13,0,JoinHashLeft,1500000,15338065,1500000.000000,13500003.000000
TPC-H,EquiHeightHistogram,TPC-H 13,1,TableScan,15000000,14838044,15000000.000000,13500000.000000
TPC-H,EquiHeightHistogram,TPC-H 14,0,JoinHashRight,2000000,773750,2000000.000000,827737.687500
TPC-H,EquiHeightHistogram,TPC-H 14,1,TableScan,59986052,773750,59986052.000000,827737.875000
TPC-H,EquiHeightHistogram,TPC-H 15,0,JoinHashRight,100000,1,100000.000000,2392612.750000
TPC-H,EquiHeightHistogram,TPC-H 15,1,TableScan,59986052,2292950,59986052.000000,2392612.750000
TPC-H,EquiHeightHistogram,TPC-H 16,0,JoinHashLeft,8000000,1191152,8000000.000000,1432.581665
TPC-H,EquiHeightHistogram,TPC-H 16,1,TableScan,100000,56,100000.000000,10000.000000
TPC-H,EquiHeightHistogram,TPC-H 16,2,TableScan,2000000,40563,2000000.000000,40563.000000
TPC-H,EquiHeightHistogram,TPC-H 16,3,TableScan,2000000,39859,2000000.000000,39859.000000
TPC-H,EquiHeightHistogram,TPC-H 16,4,TableScan,2000000,40519,2000000.000000,40519.000000
TPC-H,EquiHeightHistogram,TPC-H 16,5,TableScan,2000000,39785,2000000.000000,39785.000000
TPC-H,EquiHeightHistogram,TPC-H 16,6,TableScan,2000000,39735,2000000.000000,39735.000000
TPC-H,EquiHeightHistogram,TPC-H 16,7,TableScan,2000000,40308,2000000.000000,40308.000000
TPC-H,EquiHeightHistogram,TPC-H 16,8,TableScan,2000000,39989,2000000.000000,39989.000000
TPC-H,EquiHeightHistogram,TPC-H 16,9,TableScan,2000000,40067,2000000.000000,40067.000000
TPC-H,EquiHeightHistogram,TPC-H 17,0,JoinHashLeft,59986052,59460,59986052.000000,59947.269531
TPC-H,EquiHeightHistogram,TPC-H 17,1,TableScan,2000000,50186,2000000.000000,50186.000000
TPC-H,EquiHeightHistogram,TPC-H 18,0,JoinHashLeft,59986052,693,59986052.000000,59985476.000000
TPC-H,EquiHeightHistogram,TPC-H 18,1,JoinHashRight,1500000,99,1500000.000000,14999854.000000
TPC-H,EquiHeightHistogram,TPC-H 18,2,JoinHashLeft,15000000,99,15000000.000000,14999856.000000
TPC-H,EquiHeightHistogram,TPC-H 18,3,Aggregate,59986052,15000000,59986052.000000,59986052.000000
TPC-H,EquiHeightHistogram,TPC-H 19,0,TableScan,2000000,80404,2000000.000000,80404.000000
TPC-H,EquiHeightHistogram,TPC-H 19,1,JoinHashLeft,59986052,142806,59986052.000000,24013.558594
TPC-H,EquiHeightHistogram,TPC-H 19,2,TableScan,2000000,79826,2000000.000000,79826.000000
TPC-H,EquiHeightHistogram,TPC-H 19,3,TableScan,2000000,79150,2000000.000000,79150.000000
TPC-H,EquiHeightHistogram,TPC-H 20,0,JoinHashLeft,100000,44593,100000.000000,9.600726
TPC-H,EquiHeightHistogram,TPC-H 20,1,TableScan,25,1,25.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 20,2,JoinHashLeft,8000000,86520,8000000.000000,64.490585
TPC-H,EquiHeightHistogram,TPC-H 20,3,TableScan,2000000,21630,2000000.000000,16.122654
TPC-H,EquiHeightHistogram,TPC-H 20,4,JoinHashLeft,59986052,649465,59986052.000000,483.567230
TPC-H,EquiHeightHistogram,TPC-H 21,0,TableScan,15000000,7309184,15000000.000000,7309184.000000
TPC-H,EquiHeightHistogram,TPC-H 21,1,TableScan,59986052,37929348,59986052.000000,59986052.000000
TPC-H,EquiHeightHistogram,TPC-H 21,2,JoinHashLeft,59986052,7179298,59986052.000000,9595557.000000
TPC-H,EquiHeightHistogram,TPC-H 21,3,JoinHashLeft,100000,4009,100000.000000,3999.999268
TPC-H,EquiHeightHistogram,TPC-H 21,4,JoinHashLeft,59986052,2405258,59986052.000000,2399441.500000
TPC-H,EquiHeightHistogram,TPC-H 21,5,TableScan,25,1,25.000000,1.000000
TPC-H,EquiHeightHistogram,TPC-H 22,0,JoinHashRight,15000000,63501,15000000.000000,1500000.000000
TPC-H,EquiHeightHistogram,TPC-H 22,1,TableScan,1500000,681104,1500000.000000,1500000.000000
