benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,EqualDistinctCountHistogram,10a,0,JoinHashRight,4,265,4.000000,48.725433
JoinOrder,EqualDistinctCountHistogram,10a,1,JoinHashLeft,2528312,130,2528312.000000,48.725422
JoinOrder,EqualDistinctCountHistogram,10a,2,JoinHashLeft,3140339,200,3140339.000000,584.705505
JoinOrder,EqualDistinctCountHistogram,10a,3,TableScan,12,1,12.000000,1.000000
JoinOrder,EqualDistinctCountHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,7588.776855
JoinOrder,EqualDistinctCountHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,120605.765625
JoinOrder,EqualDistinctCountHistogram,10a,6,TableScan,234997,1361,234997.000000,683.500000
JoinOrder,EqualDistinctCountHistogram,10b,0,JoinHashRight,4,0,4.000000,150.720276
JoinOrder,EqualDistinctCountHistogram,10b,1,JoinHashLeft,3140339,0,3140339.000000,876.843567
JoinOrder,EqualDistinctCountHistogram,10b,2,TableScan,12,1,12.000000,1.000000
JoinOrder,EqualDistinctCountHistogram,10b,3,JoinHashLeft,36244344,36999,36244344.000000,18683.285156
JoinOrder,EqualDistinctCountHistogram,10b,4,JoinHashLeft,2609129,8790,2609129.000000,7588.776855
JoinOrder,EqualDistinctCountHistogram,10b,5,JoinHashLeft,2528312,6045,2528312.000000,7588.774902
JoinOrder,EqualDistinctCountHistogram,10b,6,TableScan,234997,1361,234997.000000,683.500000
JoinOrder,EqualDistinctCountHistogram,10c,0,JoinHashRight,12,14,12.000000,363398.437500
JoinOrder,EqualDistinctCountHistogram,10c,1,JoinHashRight,4,14,4.000000,363398.406250
JoinOrder,EqualDistinctCountHistogram,10c,2,JoinHashLeft,2528312,7,2528312.000000,363322.312500
JoinOrder,EqualDistinctCountHistogram,10c,3,JoinHashLeft,3140339,1,3140339.000000,275779.843750
JoinOrder,EqualDistinctCountHistogram,10c,4,JoinHashLeft,2609129,1153798,2609129.000000,471647.625000
JoinOrder,EqualDistinctCountHistogram,10c,5,TableScan,36244344,1435439,36244344.000000,3624434.500000
JoinOrder,EqualDistinctCountHistogram,10c,6,TableScan,234997,84843,234997.000000,42480.000000
JoinOrder,EqualDistinctCountHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.119126
JoinOrder,EqualDistinctCountHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.242745
JoinOrder,EqualDistinctCountHistogram,11a,2,TableScan,18,2,18.000000,1.800000
JoinOrder,EqualDistinctCountHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,1.549352
JoinOrder,EqualDistinctCountHistogram,11a,4,JoinHashLeft,29997,250,29997.000000,3.333502
JoinOrder,EqualDistinctCountHistogram,11a,5,JoinHashLeft,4523930,10544,4523930.000000,33.717899
JoinOrder,EqualDistinctCountHistogram,11a,6,TableScan,4,1,4.000000,1.000000
JoinOrder,EqualDistinctCountHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EqualDistinctCountHistogram,11b,0,JoinHashLeft,234997,3,234997.000000,0.136329
JoinOrder,EqualDistinctCountHistogram,11b,1,JoinHashLeft,2528312,22,2528312.000000,0.242745
