HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,int,1,29997,14,0.00171817
EquiHeightHistogram,string,1,4,4,0.000132701
EquiHeightHistogram,int,3,29997,14,0.00102188
EquiHeightHistogram,int,0,4,4,0.000391725
EquiHeightHistogram,int,0,12,5,0.00127874
EquiHeightHistogram,string,1,12,5,0.00138862
EquiHeightHistogram,int,5,358440,100,0.00375791
EquiHeightHistogram,string,3,2980,12,0.00730449
EquiHeightHistogram,int,2,1.38004e+06,5,0.0124844
EquiHeightHistogram,string,2,211073,100,0.0207451
EquiHeightHistogram,int,3,2.60913e+06,2,0.0215232
EquiHeightHistogram,int,2,2.96366e+06,22,0.0190073
EquiHeightHistogram,int,4,361472,6,0.00965822
EquiHeightHistogram,int,9,2593,100,0.0230493
EquiHeightHistogram,int,7,2876,100,0.0247343
EquiHeightHistogram,int,0,234997,100,0.047616
EquiHeightHistogram,int,0,29997,14,0.046859
EquiHeightHistogram,string,5,211073,100,0.0566749
EquiHeightHistogram,int,8,2617,40,0.0397092
EquiHeightHistogram,string,4,234961,100,0.071437
EquiHeightHistogram,string,2,134132,67,0.0731658
EquiHeightHistogram,int,2,29997,14,0.0739426
EquiHeightHistogram,int,2,4.52393e+06,100,0.0946443
EquiHeightHistogram,int,2,2.60913e+06,100,0.0948426
EquiHeightHistogram,int,2,1.48357e+07,71,0.123439
EquiHeightHistogram,string,2,889029,100,0.116465
EquiHeightHistogram,string,4,2.70113e+06,2,0.133356
EquiHeightHistogram,string,10,333504,100,0.118285
EquiHeightHistogram,int,0,134170,67,0.14889
EquiHeightHistogram,int,0,1.38004e+06,100,0.172993
EquiHeightHistogram,string,6,356278,100,0.179491
EquiHeightHistogram,int,0,361472,100,0.0759474
EquiHeightHistogram,int,1,1.38004e+06,100,0.211938
EquiHeightHistogram,string,7,3.23158e+06,100,0.228441
EquiHeightHistogram,string,4,84183,100,0.239612
