benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,EquiHeightHistogram,10a,0,JoinHashRight,4,265,4.000000,96.978516
JoinOrder,EquiHeightHistogram,10a,1,JoinHashLeft,2528312,130,2528312.000000,96.978531
JoinOrder,EquiHeightHistogram,10a,2,JoinHashLeft,3140339,200,3140339.000000,1077.130615
JoinOrder,EquiHeightHistogram,10a,3,TableScan,12,1,12.000000,1.000000
JoinOrder,EquiHeightHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,15110.937500
JoinOrder,EquiHeightHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,240042.265625
JoinOrder,EquiHeightHistogram,10a,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,EquiHeightHistogram,10b,0,JoinHashRight,4,0,4.000000,300.592651
JoinOrder,EquiHeightHistogram,10b,1,JoinHashLeft,3140339,0,3140339.000000,1618.098511
JoinOrder,EquiHeightHistogram,10b,2,TableScan,12,1,12.000000,1.000000
JoinOrder,EquiHeightHistogram,10b,3,JoinHashLeft,36244344,36999,36244344.000000,37185.433594
JoinOrder,EquiHeightHistogram,10b,4,JoinHashLeft,2609129,8790,2609129.000000,15110.937500
JoinOrder,EquiHeightHistogram,10b,5,JoinHashLeft,2528312,6045,2528312.000000,15110.935547
JoinOrder,EquiHeightHistogram,10b,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,EquiHeightHistogram,10c,0,TableScan,2528312,1749032,2528312.000000,1749032.000000
JoinOrder,EquiHeightHistogram,10c,1,JoinHashRight,12,1210267,12.000000,1496392.375000
JoinOrder,EquiHeightHistogram,10c,2,JoinHashLeft,3140339,1,3140339.000000,518332.843750
JoinOrder,EquiHeightHistogram,10c,3,JoinHashRight,4,1210267,4.000000,1496392.250000
JoinOrder,EquiHeightHistogram,10c,4,TableScan,36244344,1435439,36244344.000000,3624434.500000
JoinOrder,EquiHeightHistogram,10c,5,JoinHashLeft,2609129,1153798,2609129.000000,941996.187500
JoinOrder,EquiHeightHistogram,10c,6,TableScan,234997,84843,234997.000000,84843.000000
JoinOrder,EquiHeightHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.150563
JoinOrder,EquiHeightHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.243757
JoinOrder,EquiHeightHistogram,11a,2,TableScan,18,2,18.000000,1.800000
JoinOrder,EquiHeightHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,1.386828
JoinOrder,EquiHeightHistogram,11a,4,JoinHashLeft,29997,250,29997.000000,2.912537
JoinOrder,EquiHeightHistogram,11a,5,JoinHashLeft,4523930,10544,4523930.000000,33.717899
JoinOrder,EquiHeightHistogram,11a,6,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11b,0,JoinHashLeft,234997,3,234997.000000,0.171503
JoinOrder,EquiHeightHistogram,11b,1,JoinHashLeft,2528312,22,2528312.000000,0.243757
JoinOrder,EquiHeightHistogram,11b,2,TableScan,18,1,18.000000,1.800000
JoinOrder,EquiHeightHistogram,11b,3,JoinHashLeft,2609129,118,2609129.000000,1.386828
JoinOrder,EquiHeightHistogram,11b,4,JoinHashLeft,29997,250,29997.000000,2.912537
JoinOrder,EquiHeightHistogram,11b,5,JoinHashLeft,4523930,10544,4523930.000000,33.717899
JoinOrder,EquiHeightHistogram,11b,6,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,11b,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11c,0,JoinHashRight,18,14916,18.000000,2.859130
JoinOrder,EquiHeightHistogram,11c,1,TableScan,4,3,4.000000,3.000000
JoinOrder,EquiHeightHistogram,11c,2,JoinHashLeft,234997,249,234997.000000,0.642970
JoinOrder,EquiHeightHistogram,11c,3,JoinHashLeft,2609129,902,2609129.000000,1.254612
JoinOrder,EquiHeightHistogram,11c,4,JoinHashLeft,2528312,181,2528312.000000,0.635230
JoinOrder,EquiHeightHistogram,11c,5,JoinHashLeft,29997,1414,29997.000000,2.912537
JoinOrder,EquiHeightHistogram,11c,6,JoinHashLeft,4523930,47403,4523930.000000,33.717899
JoinOrder,EquiHeightHistogram,11c,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11c,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11c,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11d,0,JoinHashRight,18,14916,18.000000,2.859130
JoinOrder,EquiHeightHistogram,11d,1,JoinHashLeft,234997,249,234997.000000,0.642970
JoinOrder,EquiHeightHistogram,11d,2,TableScan,4,3,4.000000,3.000000
JoinOrder,EquiHeightHistogram,11d,3,JoinHashLeft,2609129,902,2609129.000000,1.254612
JoinOrder,EquiHeightHistogram,11d,4,JoinHashLeft,2528312,181,2528312.000000,0.635230
JoinOrder,EquiHeightHistogram,11d,5,JoinHashLeft,29997,1414,29997.000000,2.912537
JoinOrder,EquiHeightHistogram,11d,6,JoinHashLeft,4523930,47403,4523930.000000,33.717899
JoinOrder,EquiHeightHistogram,11d,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11d,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,11d,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiHeightHistogram,12a,0,JoinHashLeft,234997,626,234997.000000,0.002252
JoinOrder,EquiHeightHistogram,12a,1,JoinHashLeft,113,3,113.000000,0.002252
JoinOrder,EquiHeightHistogram,12a,2,JoinHashLeft,2528312,9648,2528312.000000,0.005261
JoinOrder,EquiHeightHistogram,12a,3,JoinHashLeft,1380035,311617,1380035.000000,0.139995
JoinOrder,EquiHeightHistogram,12a,4,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12a,5,JoinHashLeft,2609129,680629,2609129.000000,0.113333
JoinOrder,EquiHeightHistogram,12a,6,TableScan,14835720,30801,14835720.000000,2.936207
JoinOrder,EquiHeightHistogram,12a,7,TableScan,14835720,243843,14835720.000000,13.371415
JoinOrder,EquiHeightHistogram,12a,8,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,0,JoinHashLeft,234997,22,234997.000000,29.818010
JoinOrder,EquiHeightHistogram,12b,1,JoinHashLeft,2609129,33,2609129.000000,124.931229
JoinOrder,EquiHeightHistogram,12b,2,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,3,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,4,JoinHashLeft,1380035,10,1380035.000000,12823.242188
JoinOrder,EquiHeightHistogram,12b,5,JoinHashLeft,14835720,581,14835720.000000,103688.390625
JoinOrder,EquiHeightHistogram,12b,6,JoinHashLeft,2528312,4,1872962.000000,920.605408
JoinOrder,EquiHeightHistogram,12b,7,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12b,8,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12c,0,JoinHashLeft,234997,12016,234997.000000,0.006616
JoinOrder,EquiHeightHistogram,12c,1,JoinHashLeft,4,2,4.000000,0.006616
JoinOrder,EquiHeightHistogram,12c,2,JoinHashLeft,2609129,42471,2609129.000000,0.006983
JoinOrder,EquiHeightHistogram,12c,3,JoinHashLeft,2528312,20844,2528312.000000,0.006973
JoinOrder,EquiHeightHistogram,12c,4,JoinHashLeft,113,5,113.000000,0.006973
JoinOrder,EquiHeightHistogram,12c,5,JoinHashLeft,1380035,399280,1380035.000000,0.049899
JoinOrder,EquiHeightHistogram,12c,6,TableScan,14835720,243843,14835720.000000,13.371415
JoinOrder,EquiHeightHistogram,12c,7,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,12c,8,TableScan,14835720,13607,14835720.000000,3.892105
JoinOrder,EquiHeightHistogram,12c,9,TableScan,14835720,39062,14835720.000000,1.651073
JoinOrder,EquiHeightHistogram,12c,10,TableScan,14835720,30801,14835720.000000,2.936207
JoinOrder,EquiHeightHistogram,13a,0,JoinHashLeft,14835720,312596,14835720.000000,1894.486694
JoinOrder,EquiHeightHistogram,13a,1,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,2,JoinHashLeft,1380035,459925,1380035.000000,12823.242188
JoinOrder,EquiHeightHistogram,13a,3,JoinHashLeft,2609129,773084,2609129.000000,4395.158203
JoinOrder,EquiHeightHistogram,13a,4,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,5,JoinHashLeft,2528312,459925,2528312.000000,12823.241211
JoinOrder,EquiHeightHistogram,13a,6,TableScan,234997,9775,234997.000000,1265.777832
JoinOrder,EquiHeightHistogram,13a,7,TableScan,7,1,7.000000,1.000000
JoinOrder,EquiHeightHistogram,13a,8,TableScan,113,1,113.000000,1.000000
JoinOrder,EquiHeightHistogram,13b,0,JoinHashLeft,14835720,967,14835720.000000,315.902985
JoinOrder,EquiHeightHistogram,13b,1,TableScan,113,1,113.000000,1.000000
