benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,EquiWidthHistogram,10a,0,JoinHashLeft,2528312,130,2528312.000000,64.952393
JoinOrder,EquiWidthHistogram,10a,1,JoinHashLeft,3140339,200,3140339.000000,866.745361
JoinOrder,EquiWidthHistogram,10a,2,TableScan,12,1,12.000000,1.000000
JoinOrder,EquiWidthHistogram,10a,3,JoinHashRight,4,8790,4.000000,11240.625000
JoinOrder,EquiWidthHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,15104.511719
JoinOrder,EquiWidthHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,178785.359375
JoinOrder,EquiWidthHistogram,10a,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,EquiWidthHistogram,10b,0,JoinHashLeft,3140339,0,3140339.000000,1270.011597
JoinOrder,EquiWidthHistogram,10b,1,TableScan,12,1,12.000000,1.000000
JoinOrder,EquiWidthHistogram,10b,2,JoinHashRight,4,8790,4.000000,11240.625000
JoinOrder,EquiWidthHistogram,10b,3,JoinHashLeft,36244344,36999,36244344.000000,26943.818359
JoinOrder,EquiWidthHistogram,10b,4,JoinHashLeft,2528312,6045,2528312.000000,15103.915039
JoinOrder,EquiWidthHistogram,10b,5,JoinHashLeft,2609129,8790,2609129.000000,15104.511719
JoinOrder,EquiWidthHistogram,10b,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,EquiWidthHistogram,10c,0,JoinHashRight,12,1210267,12.000000,752088.000000
JoinOrder,EquiWidthHistogram,10c,1,JoinHashLeft,2528312,7,2528312.000000,364609.687500
JoinOrder,EquiWidthHistogram,10c,2,JoinHashLeft,3140339,1,3140339.000000,394755.437500
JoinOrder,EquiWidthHistogram,10c,3,TableScan,36244344,1435439,36244344.000000,3624434.500000
JoinOrder,EquiWidthHistogram,10c,4,JoinHashRight,4,1153798,4.000000,700725.937500
JoinOrder,EquiWidthHistogram,10c,5,JoinHashLeft,2609129,1153798,2609129.000000,941595.562500
JoinOrder,EquiWidthHistogram,10c,6,TableScan,234997,84843,234997.000000,84843.000000
JoinOrder,EquiWidthHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.067394
JoinOrder,EquiWidthHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.178626
JoinOrder,EquiWidthHistogram,11a,2,TableScan,18,2,18.000000,1.800000
JoinOrder,EquiWidthHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,1.442225
JoinOrder,EquiWidthHistogram,11a,4,JoinHashLeft,4523930,10544,4523930.000000,33.699978
JoinOrder,EquiWidthHistogram,11a,5,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiWidthHistogram,11a,6,JoinHashLeft,29997,250,29997.000000,3.367805
JoinOrder,EquiWidthHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11b,0,JoinHashLeft,234997,3,234997.000000,0.100561
JoinOrder,EquiWidthHistogram,11b,1,JoinHashLeft,2528312,22,2528312.000000,0.178626
JoinOrder,EquiWidthHistogram,11b,2,TableScan,18,1,18.000000,1.800000
JoinOrder,EquiWidthHistogram,11b,3,JoinHashLeft,2609129,118,2609129.000000,1.442225
JoinOrder,EquiWidthHistogram,11b,4,JoinHashLeft,4523930,10544,4523930.000000,33.699978
JoinOrder,EquiWidthHistogram,11b,5,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiWidthHistogram,11b,6,JoinHashLeft,29997,250,29997.000000,3.367805
JoinOrder,EquiWidthHistogram,11b,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11c,0,JoinHashLeft,234997,222,234997.000000,0.576381
JoinOrder,EquiWidthHistogram,11c,1,JoinHashLeft,2528312,112,2528312.000000,0.576546
JoinOrder,EquiWidthHistogram,11c,2,JoinHashLeft,18,15,18.000000,1.835245
JoinOrder,EquiWidthHistogram,11c,3,JoinHashLeft,2609129,902,2609129.000000,1.610983
JoinOrder,EquiWidthHistogram,11c,4,JoinHashLeft,29997,1414,29997.000000,3.367805
JoinOrder,EquiWidthHistogram,11c,5,JoinHashLeft,4523930,47403,4523930.000000,33.699978
JoinOrder,EquiWidthHistogram,11c,6,TableScan,4,3,4.000000,3.000000
JoinOrder,EquiWidthHistogram,11c,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11c,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11c,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11d,0,JoinHashLeft,234997,222,234997.000000,0.576381
JoinOrder,EquiWidthHistogram,11d,1,JoinHashLeft,2528312,112,2528312.000000,0.576546
JoinOrder,EquiWidthHistogram,11d,2,JoinHashLeft,18,15,18.000000,1.835245
JoinOrder,EquiWidthHistogram,11d,3,JoinHashLeft,2609129,902,2609129.000000,1.610983
JoinOrder,EquiWidthHistogram,11d,4,JoinHashLeft,29997,1414,29997.000000,3.367805
JoinOrder,EquiWidthHistogram,11d,5,JoinHashLeft,4523930,47403,4523930.000000,33.699978
JoinOrder,EquiWidthHistogram,11d,6,TableScan,4,3,4.000000,3.000000
JoinOrder,EquiWidthHistogram,11d,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11d,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,11d,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,EquiWidthHistogram,12a,0,JoinHashLeft,234997,626,234997.000000,0.009144
JoinOrder,EquiWidthHistogram,12a,1,JoinHashLeft,113,3,113.000000,0.005337
JoinOrder,EquiWidthHistogram,12a,2,JoinHashLeft,2609129,9176,2609129.000000,0.012992
JoinOrder,EquiWidthHistogram,12a,3,TableScan,4,1,4.000000,1.000000
JoinOrder,EquiWidthHistogram,12a,4,JoinHashLeft,2528312,267220,2528312.000000,0.047353
JoinOrder,EquiWidthHistogram,12a,5,JoinHashLeft,1380035,341884,1380035.000000,0.142028
JoinOrder,EquiWidthHistogram,12a,6,TableScan,14835720,30801,14835720.000000,2.936207
JoinOrder,EquiWidthHistogram,12a,7,TableScan,14835720,243843,14835720.000000,13.371415
