benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
JoinOrder,GDYHistogram,10a,0,JoinHashLeft,2528312,130,2528312.000000,38.659374
JoinOrder,GDYHistogram,10a,1,JoinHashLeft,3140339,200,3140339.000000,582.439758
JoinOrder,GDYHistogram,10a,2,TableScan,12,1,12.000000,1.000000
JoinOrder,GDYHistogram,10a,3,JoinHashRight,4,8790,4.000000,7555.470215
JoinOrder,GDYHistogram,10a,4,JoinHashLeft,2609129,8790,2609129.000000,15110.940430
JoinOrder,GDYHistogram,10a,5,JoinHashLeft,36244344,310325,36244344.000000,120138.382812
JoinOrder,GDYHistogram,10a,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,GDYHistogram,10b,0,JoinHashLeft,3140339,0,3140339.000000,2359.826660
JoinOrder,GDYHistogram,10b,1,TableScan,12,1,12.000000,1.000000
JoinOrder,GDYHistogram,10b,2,JoinHashRight,4,8790,4.000000,7555.470215
JoinOrder,GDYHistogram,10b,3,JoinHashLeft,36244344,36999,36244344.000000,50070.367188
JoinOrder,GDYHistogram,10b,4,JoinHashLeft,2528312,6045,2528312.000000,15110.940430
JoinOrder,GDYHistogram,10b,5,JoinHashLeft,2609129,8790,2609129.000000,15110.940430
JoinOrder,GDYHistogram,10b,6,TableScan,234997,1361,234997.000000,1361.000000
JoinOrder,GDYHistogram,10c,0,JoinHashRight,12,1210267,12.000000,582070.812500
JoinOrder,GDYHistogram,10c,1,JoinHashLeft,2528312,7,2528312.000000,282192.031250
JoinOrder,GDYHistogram,10c,2,JoinHashLeft,3140339,1,3140339.000000,273220.406250
JoinOrder,GDYHistogram,10c,3,JoinHashRight,4,1153798,4.000000,470998.250000
JoinOrder,GDYHistogram,10c,4,TableScan,36244344,1435439,36244344.000000,3624434.500000
JoinOrder,GDYHistogram,10c,5,JoinHashLeft,2609129,1153798,2609129.000000,941996.500000
JoinOrder,GDYHistogram,10c,6,TableScan,234997,84843,234997.000000,84843.000000
JoinOrder,GDYHistogram,11a,0,JoinHashLeft,234997,32,234997.000000,0.058941
JoinOrder,GDYHistogram,11a,1,JoinHashLeft,2528312,26,2528312.000000,0.121514
JoinOrder,GDYHistogram,11a,2,TableScan,18,2,18.000000,1.800000
JoinOrder,GDYHistogram,11a,3,JoinHashLeft,2609129,132,2609129.000000,1.568885
JoinOrder,GDYHistogram,11a,4,JoinHashLeft,29997,250,29997.000000,3.255460
JoinOrder,GDYHistogram,11a,5,JoinHashLeft,4523930,10544,4523930.000000,33.719246
JoinOrder,GDYHistogram,11a,6,TableScan,4,1,4.000000,1.000000
JoinOrder,GDYHistogram,11a,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11b,0,JoinHashLeft,234997,3,234997.000000,0.121879
JoinOrder,GDYHistogram,11b,1,JoinHashLeft,2528312,22,2528312.000000,0.121514
JoinOrder,GDYHistogram,11b,2,TableScan,18,1,18.000000,1.800000
JoinOrder,GDYHistogram,11b,3,JoinHashLeft,2609129,118,2609129.000000,1.568885
JoinOrder,GDYHistogram,11b,4,JoinHashLeft,29997,250,29997.000000,3.255460
JoinOrder,GDYHistogram,11b,5,JoinHashLeft,4523930,10544,4523930.000000,33.719246
JoinOrder,GDYHistogram,11b,6,TableScan,4,1,4.000000,1.000000
JoinOrder,GDYHistogram,11b,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11c,0,JoinHashLeft,18,14,18.000000,1.507078
JoinOrder,GDYHistogram,11c,1,JoinHashLeft,234997,222,234997.000000,0.384364
JoinOrder,GDYHistogram,11c,2,JoinHashLeft,2528312,112,2528312.000000,0.384364
JoinOrder,GDYHistogram,11c,3,JoinHashLeft,29997,1414,29997.000000,3.255460
JoinOrder,GDYHistogram,11c,4,JoinHashLeft,4523930,47403,4523930.000000,33.719246
JoinOrder,GDYHistogram,11c,5,JoinHashLeft,2609129,902,2609129.000000,1.582406
JoinOrder,GDYHistogram,11c,6,TableScan,4,3,4.000000,3.000000
JoinOrder,GDYHistogram,11c,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11c,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11c,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11d,0,JoinHashLeft,234997,222,234997.000000,0.384364
JoinOrder,GDYHistogram,11d,1,JoinHashLeft,18,14,18.000000,1.507078
JoinOrder,GDYHistogram,11d,2,JoinHashLeft,2528312,112,2528312.000000,0.384364
JoinOrder,GDYHistogram,11d,3,JoinHashLeft,29997,1414,29997.000000,3.255460
JoinOrder,GDYHistogram,11d,4,JoinHashLeft,4523930,47403,4523930.000000,33.719246
JoinOrder,GDYHistogram,11d,5,JoinHashLeft,2609129,902,2609129.000000,1.582406
JoinOrder,GDYHistogram,11d,6,TableScan,4,3,4.000000,3.000000
JoinOrder,GDYHistogram,11d,7,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11d,8,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,11d,9,TableScan,134170,1,134170.000000,1.000000
JoinOrder,GDYHistogram,12a,0,JoinHashLeft,234997,1132,234997.000000,0.001927
JoinOrder,GDYHistogram,12a,1,JoinHashLeft,4,2,4.000000,0.001927
JoinOrder,GDYHistogram,12a,2,JoinHashLeft,1380035,52928,1380035.000000,0.021881
JoinOrder,GDYHistogram,12a,3,TableScan,113,1,113.000000,1.000000
JoinOrder,GDYHistogram,12a,4,JoinHashLeft,2528312,267220,2528312.000000,0.045418
