HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiWidthHistogram,int,3,300000,10,0.00192745
EquiWidthHistogram,int,0,90000,45,0.00127581
EquiWidthHistogram,int,5,300000,1,0.00315992
EquiWidthHistogram,int,1,300000,10,0.0036873
EquiWidthHistogram,int,5,210000,10,0.00364181
EquiWidthHistogram,int,7,300000,1,0.0020202
EquiWidthHistogram,int,4,300000,1,0.00330196
EquiWidthHistogram,int,6,300000,11,0.00232145
EquiWidthHistogram,int,2,300000,10,0.00645441
EquiWidthHistogram,float,6,300000,1,0.00479348
EquiWidthHistogram,int,10,100,1,5.2091e-05
EquiWidthHistogram,int,2,90000,10,0.00332923
EquiWidthHistogram,int,0,100,5,2.307e-05
EquiHeightHistogram,string,2,100,5,0.000313548
EquiHeightHistogram,string,3,100,5,0.00027344
EquiHeightHistogram,string,6,100,5,0.000294159
EquiWidthHistogram,int,1,100,5,0.000292922
EquiWidthHistogram,int,1,90000,10,0.00481213
EquiHeightHistogram,string,7,100,5,0.000283739
EquiWidthHistogram,int,18,300000,1,0.0018613
EquiWidthHistogram,int,3,300000,100,0.00939321
EquiWidthHistogram,int,0,300000,100,0.00925877
EquiWidthHistogram,int,12,300000,1,0.00247736
EquiWidthHistogram,float,14,300000,1,0.00410925
EquiWidthHistogram,int,4,300000,10,0.00826147
EquiWidthHistogram,int,2,300000,10,0.00825395
EquiWidthHistogram,float,16,300000,1,0.00549462
EquiWidthHistogram,int,1,300000,10,0.00661277
EquiWidthHistogram,float,17,300000,1,0.00556777
EquiWidthHistogram,int,13,1e+06,1,0.00606362
EquiWidthHistogram,int,14,1e+06,1,0.00612385
EquiHeightHistogram,string,1,10,5,0.000100751
EquiWidthHistogram,int,1,100000,50,0.0141188
EquiWidthHistogram,int,15,1e+06,1,0.00638882
EquiHeightHistogram,string,4,10,5,0.000142066
EquiWidthHistogram,float,8,100,5,0.000925725
EquiWidthHistogram,float,8,10,1,4.9535e-05
EquiWidthHistogram,int,0,10,5,0.000202471
EquiWidthHistogram,int,2,300000,10,0.00342125
EquiHeightHistogram,string,3,10,5,0.000265454
EquiHeightHistogram,string,5,100,5,0.0014373
EquiWidthHistogram,float,9,100,1,7.2584e-05
EquiWidthHistogram,int,0,300000,100,0.013434
EquiHeightHistogram,string,4,100,5,0.00108045
EquiWidthHistogram,float,3,100000,50,0.0182415
EquiWidthHistogram,float,15,300000,100,0.0135112
EquiWidthHistogram,int,19,300000,1,0.00360716
EquiWidthHistogram,int,6,2.10079e+06,1,0.0160348
EquiHeightHistogram,string,5,10,5,0.0044517
EquiHeightHistogram,string,2,10,5,0.00443973
EquiWidthHistogram,float,7,10,5,0.00441347
EquiHeightHistogram,string,6,10,5,0.00479148
EquiWidthHistogram,int,2,3.00156e+06,10,0.018823
EquiHeightHistogram,string,13,300000,2,0.0153428
EquiWidthHistogram,int,5,3.00156e+06,10,0.0200171
EquiWidthHistogram,int,1,3.00156e+06,10,0.0207732
EquiWidthHistogram,int,3,3.00156e+06,15,0.0207462
EquiHeightHistogram,string,4,300000,1,0.0138923
EquiWidthHistogram,int,7,3.00156e+06,1,0.0207281
EquiWidthHistogram,int,0,3.00156e+06,100,0.025884
EquiWidthHistogram,int,0,100000,50,0.0335094
EquiHeightHistogram,string,5,300000,100,0.0261071
EquiHeightHistogram,string,9,300000,100,0.035803
EquiWidthHistogram,int,4,3.00156e+06,100,0.123836
EquiHeightHistogram,string,2,100000,50,0.214769
EquiWidthHistogram,float,8,3.00156e+06,100,0.230896
EquiHeightHistogram,string,4,100000,50,0.304378
EquiHeightHistogram,string,3,300000,100,0.46472
EquiHeightHistogram,string,8,300000,100,0.56033
EquiHeightHistogram,string,7,300000,100,0.562993
EquiHeightHistogram,string,6,300000,100,0.568365
EquiHeightHistogram,string,7,300000,100,0.649126
EquiHeightHistogram,string,11,300000,100,0.649541
EquiWidthHistogram,int,1,300000,10,0.00183555
EquiHeightHistogram,string,20,300000,100,1.06123
EquiHeightHistogram,string,10,300000,100,0.0309112
EquiWidthHistogram,int,0,300000,100,0.00222128
EquiHeightHistogram,string,5,1e+06,100,1.40771
EquiHeightHistogram,string,12,1e+06,100,1.43217
EquiWidthHistogram,int,2,1e+06,91,0.00607949
EquiHeightHistogram,string,10,1e+06,100,1.68401
EquiHeightHistogram,string,16,1e+06,100,1.68576
EquiWidthHistogram,int,0,1e+06,100,0.0100104
EquiHeightHistogram,string,8,1e+06,100,1.70798
EquiHeightHistogram,string,3,1e+06,100,1.70507
EquiHeightHistogram,string,7,1e+06,100,1.72407
EquiHeightHistogram,string,11,1e+06,100,1.75989
EquiHeightHistogram,string,4,1e+06,100,1.75521
EquiWidthHistogram,int,1,1e+06,10,0.00595631
EquiHeightHistogram,string,9,1e+06,100,1.81819
EquiHeightHistogram,string,6,1e+06,100,1.22399
EquiHeightHistogram,string,9,3.00156e+06,100,5.68961
