benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
,EquiWidthHistogram,,0,TableScan,65535,7200,65535.000000,6553.500488
,EquiWidthHistogram,,1,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,2,TableScan,65535,22,65535.000000,21.845001
,EquiWidthHistogram,,3,TableScan,65535,22,65535.000000,21.845001
,EquiWidthHistogram,,4,TableScan,131070,36,0.000000,0.000000
,EquiWidthHistogram,,5,TableScan,131070,36,0.000000,0.000000
,EquiWidthHistogram,,6,TableScan,65535,22,65535.000000,21.845001
,EquiWidthHistogram,,7,TableScan,65535,7200,65535.000000,6553.500488
,EquiWidthHistogram,,8,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,9,TableScan,65536,23,65535.000000,21.845001
,EquiWidthHistogram,,10,TableScan,65536,23,65535.000000,21.845001
,EquiWidthHistogram,,11,TableScan,65535,18,0.000000,0.000000
,EquiWidthHistogram,,12,TableScan,65535,18,0.000000,0.000000
,EquiWidthHistogram,,13,TableScan,65536,23,65535.000000,21.845001
,EquiWidthHistogram,,14,TableScan,65535,7035,65535.000000,6553.500488
,EquiWidthHistogram,,15,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,16,TableScan,65537,24,65535.000000,21.845001
,EquiWidthHistogram,,17,TableScan,65537,24,65535.000000,21.845001
,EquiWidthHistogram,,18,TableScan,131070,40,0.000000,0.000000
,EquiWidthHistogram,,19,TableScan,131070,40,0.000000,0.000000
,EquiWidthHistogram,,20,TableScan,65537,24,65535.000000,21.845001
,EquiWidthHistogram,,21,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,22,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,23,TableScan,65538,25,65535.000000,21.845001
,EquiWidthHistogram,,24,TableScan,65538,25,65535.000000,21.845001
,EquiWidthHistogram,,25,TableScan,65553,40,0.000000,0.000000
,EquiWidthHistogram,,26,TableScan,65553,40,0.000000,0.000000
,EquiWidthHistogram,,27,TableScan,65538,25,65535.000000,21.845001
,EquiWidthHistogram,,28,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,29,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,30,TableScan,65539,26,65535.000000,21.845001
,EquiWidthHistogram,,31,TableScan,65539,26,65535.000000,21.845001
,EquiWidthHistogram,,32,TableScan,131088,64,0.000000,0.000000
,EquiWidthHistogram,,33,TableScan,131088,64,0.000000,0.000000
,EquiWidthHistogram,,34,TableScan,65539,26,65535.000000,21.845001
,EquiWidthHistogram,,35,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,36,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,37,TableScan,65540,27,65535.000000,21.845001
,EquiWidthHistogram,,38,TableScan,65540,27,65535.000000,21.845001
,EquiWidthHistogram,,39,TableScan,65575,64,0.000000,0.000000
,EquiWidthHistogram,,40,TableScan,65575,64,0.000000,0.000000
,EquiWidthHistogram,,41,TableScan,65540,27,65535.000000,21.845001
,EquiWidthHistogram,,42,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,43,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,44,TableScan,65541,28,65535.000000,21.845001
,EquiWidthHistogram,,45,TableScan,65541,28,65535.000000,21.845001
,EquiWidthHistogram,,46,TableScan,131110,84,0.000000,0.000000
,EquiWidthHistogram,,47,TableScan,131110,84,0.000000,0.000000
,EquiWidthHistogram,,48,TableScan,65541,28,65535.000000,21.845001
,EquiWidthHistogram,,49,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,50,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,51,TableScan,65542,29,65535.000000,21.845001
,EquiWidthHistogram,,52,TableScan,65542,29,65535.000000,21.845001
,EquiWidthHistogram,,53,TableScan,65599,84,0.000000,0.000000
,EquiWidthHistogram,,54,TableScan,65599,84,0.000000,0.000000
,EquiWidthHistogram,,55,TableScan,65542,29,65535.000000,21.845001
,EquiWidthHistogram,,56,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,57,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,58,TableScan,65543,30,65535.000000,21.845001
,EquiWidthHistogram,,59,TableScan,65543,30,65535.000000,21.845001
,EquiWidthHistogram,,60,TableScan,131134,102,0.000000,0.000000
,EquiWidthHistogram,,61,TableScan,131134,102,0.000000,0.000000
,EquiWidthHistogram,,62,TableScan,65543,30,65535.000000,21.845001
,EquiWidthHistogram,,63,TableScan,65535,6300,65535.000000,6553.500488
,EquiWidthHistogram,,64,TableScan,65535,73,65535.000000,72.816666
,EquiWidthHistogram,,65,TableScan,65544,31,65535.000000,21.845001
,EquiWidthHistogram,,66,TableScan,65544,31,65535.000000,21.845001
,EquiWidthHistogram,,67,TableScan,65619,102,0.000000,0.000000
,EquiWidthHistogram,,68,TableScan,65619,102,0.000000,0.000000
,EquiWidthHistogram,,69,TableScan,65544,31,65535.000000,21.845001
