HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,float,7,10,5,0.000182886
GDYHistogram,float,8,100,5,0.000203563
GDYHistogram,float,8,10,1,0.00010259
EquiHeightHistogram,string,6,10,5,0.0022675
EquiHeightHistogram,string,3,10,5,0.00228077
EquiHeightHistogram,string,2,100,5,0.000361533
GDYHistogram,int,0,10,5,0.000216943
EquiHeightHistogram,string,1,10,5,0.00024771
EquiHeightHistogram,string,6,100,5,0.000319508
EquiHeightHistogram,string,5,100,5,0.000378327
GDYHistogram,int,10,100,1,8.7601e-05
EquiHeightHistogram,string,7,100,5,0.000262727
GDYHistogram,int,0,100,5,7.1269e-05
GDYHistogram,int,7,300000,1,0.00197641
GDYHistogram,int,4,300000,1,0.00197281
GDYHistogram,int,1,300000,10,0.00206485
GDYHistogram,int,4,300000,10,0.00206092
GDYHistogram,int,2,300000,10,0.00406821
GDYHistogram,int,3,300000,10,0.00408344
EquiHeightHistogram,string,3,100,5,0.00266011
EquiHeightHistogram,string,2,10,5,0.00239527
EquiHeightHistogram,string,5,10,5,0.000456825
EquiHeightHistogram,string,4,10,5,0.000557054
GDYHistogram,float,6,300000,1,0.00591551
GDYHistogram,int,18,300000,1,0.00199708
GDYHistogram,int,0,300000,100,0.0057319
GDYHistogram,float,17,300000,1,0.00426672
GDYHistogram,int,6,300000,11,0.00220908
GDYHistogram,int,13,1e+06,1,0.00866578
GDYHistogram,int,14,1e+06,1,0.00872612
GDYHistogram,float,16,300000,1,0.0048347
GDYHistogram,int,2,300000,10,0.00484679
GDYHistogram,int,5,210000,10,0.00484372
EquiHeightHistogram,string,4,100,5,0.00288048
GDYHistogram,float,9,100,1,0.00239837
GDYHistogram,int,19,300000,1,0.00207641
GDYHistogram,int,1,100,5,0.00272599
GDYHistogram,float,14,300000,1,0.00406779
GDYHistogram,int,5,300000,1,0.00389783
GDYHistogram,int,1,300000,10,0.00595374
GDYHistogram,int,12,300000,1,0.00568812
GDYHistogram,int,2,90000,10,0.0139802
GDYHistogram,int,1,90000,10,0.01406
GDYHistogram,int,15,1e+06,1,0.00971323
GDYHistogram,int,3,300000,100,0.0104938
GDYHistogram,int,0,90000,45,0.0155216
GDYHistogram,int,0,300000,100,0.012329
GDYHistogram,float,15,300000,100,0.0131679
GDYHistogram,int,6,2.10079e+06,1,0.0160357
GDYHistogram,int,1,100000,50,0.00811665
GDYHistogram,int,3,3.00156e+06,15,0.0212609
EquiHeightHistogram,string,13,300000,2,0.0169578
GDYHistogram,float,3,100000,50,0.0159666
GDYHistogram,int,2,300000,10,0.00741106
GDYHistogram,int,1,3.00156e+06,10,0.0212845
GDYHistogram,int,5,3.00156e+06,10,0.0216442
GDYHistogram,int,7,3.00156e+06,1,0.0231985
GDYHistogram,int,2,3.00156e+06,10,0.0193838
EquiHeightHistogram,string,9,300000,100,0.0156392
EquiHeightHistogram,string,4,300000,1,0.01383
GDYHistogram,int,0,3.00156e+06,100,0.0328176
EquiHeightHistogram,string,5,300000,100,0.0273526
GDYHistogram,int,0,100000,50,0.0776562
GDYHistogram,int,4,3.00156e+06,100,0.156509
EquiHeightHistogram,string,2,100000,50,0.236675
EquiHeightHistogram,string,4,100000,50,0.330558
EquiHeightHistogram,string,3,300000,100,0.442623
EquiHeightHistogram,string,6,300000,100,0.485342
EquiHeightHistogram,string,8,300000,100,0.540776
EquiHeightHistogram,string,7,300000,100,0.595885
EquiHeightHistogram,string,11,300000,100,0.595263
GDYHistogram,int,1,300000,10,0.00200059
EquiHeightHistogram,string,7,300000,100,0.800567
GDYHistogram,float,8,3.00156e+06,100,0.868594
EquiHeightHistogram,string,20,300000,100,1.15933
EquiHeightHistogram,string,10,300000,100,0.0332922
GDYHistogram,int,0,300000,100,0.00443964
EquiHeightHistogram,string,8,1e+06,100,1.409
EquiHeightHistogram,string,10,1e+06,100,1.42802
GDYHistogram,int,0,1e+06,100,0.0733192
EquiHeightHistogram,string,4,1e+06,100,1.67329
EquiHeightHistogram,string,11,1e+06,100,1.68845
EquiHeightHistogram,string,9,1e+06,100,1.69925
GDYHistogram,int,1,1e+06,10,0.0109626
EquiHeightHistogram,string,16,1e+06,100,1.86002
EquiHeightHistogram,string,12,1e+06,100,1.86997
GDYHistogram,int,2,1e+06,91,0.00653518
EquiHeightHistogram,string,3,1e+06,100,1.87259
EquiHeightHistogram,string,7,1e+06,100,1.96936
EquiHeightHistogram,string,5,1e+06,100,2.00225
EquiHeightHistogram,string,6,1e+06,100,1.57046
EquiHeightHistogram,string,9,3.00156e+06,100,5.71222
