benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,EquiHeightHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,3757.863525
TPC-DS,EquiHeightHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,12729.295898
TPC-DS,EquiHeightHistogram,01,2,TableScan,102,32,102.000000,32.000000
TPC-DS,EquiHeightHistogram,01,3,TableScan,65535,366,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000
TPC-DS,EquiHeightHistogram,03,1,TableScan,102000,180,102000.000000,184.636368
TPC-DS,EquiHeightHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,52134.414062
TPC-DS,EquiHeightHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000
TPC-DS,EquiHeightHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,500000.000000
TPC-DS,EquiHeightHistogram,06,2,JoinHashRight,250000,500000,250000.000000,500000.000000
TPC-DS,EquiHeightHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,325950.875000
TPC-DS,EquiHeightHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000
TPC-DS,EquiHeightHistogram,06,5,JoinHashLeft,73049,31,73049.000000,865.525024
TPC-DS,EquiHeightHistogram,06,6,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,07,0,JoinHashLeft,102000,75601,102000.000000,25890.138672
TPC-DS,EquiHeightHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,126226.554688
TPC-DS,EquiHeightHistogram,07,2,TableScan,500,494,500.000000,494.000000
TPC-DS,EquiHeightHistogram,07,3,TableScan,500,493,500.000000,493.000000
TPC-DS,EquiHeightHistogram,07,4,TableScan,65535,366,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,EquiHeightHistogram,09,0,TableScan,45,1,45.000000,1.000000
TPC-DS,EquiHeightHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,41555.988281
TPC-DS,EquiHeightHistogram,10,1,JoinHashLeft,1920800,4499,1920800.000000,2177.738525
TPC-DS,EquiHeightHistogram,10,2,JoinHashLeft,500000,4651,500000.000000,2255.802490
TPC-DS,EquiHeightHistogram,10,3,JoinHashLeft,7197566,280942,7197566.000000,10871.547852
TPC-DS,EquiHeightHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,21654.097656
TPC-DS,EquiHeightHistogram,10,5,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,10,6,TableScan,250000,2319,250000.000000,976.020020
TPC-DS,EquiHeightHistogram,13,0,JoinHashLeft,7200,677,7200.000000,0.000000
TPC-DS,EquiHeightHistogram,13,1,JoinHashRight,102,65470,102.000000,0.133998
TPC-DS,EquiHeightHistogram,13,2,JoinHashLeft,1920800,48408,1920800.000000,0.134000
TPC-DS,EquiHeightHistogram,13,3,JoinHashLeft,250000,166058,250000.000000,3560.155029
TPC-DS,EquiHeightHistogram,13,4,JoinHashLeft,28800991,5470761,28800992.000000,126226.554688
TPC-DS,EquiHeightHistogram,13,5,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000
TPC-DS,EquiHeightHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000
TPC-DS,EquiHeightHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000
TPC-DS,EquiHeightHistogram,15,3,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,16,0,JoinHashLeft,14401261,18925,14401261.000000,1.459614
TPC-DS,EquiHeightHistogram,16,1,JoinHashLeft,1439749,1952,1439749.000000,0.247182
TPC-DS,EquiHeightHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.166600
TPC-DS,EquiHeightHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.165770
TPC-DS,EquiHeightHistogram,16,4,JoinHashLeft,24,16,24.000000,0.162976
TPC-DS,EquiHeightHistogram,16,5,TableScan,65535,61,65535.000000,0.000850
TPC-DS,EquiHeightHistogram,17,0,JoinHashLeft,102000,0,102000.000000,3173.956543
TPC-DS,EquiHeightHistogram,17,1,JoinHashRight,102,57980,102.000000,3180.069092
TPC-DS,EquiHeightHistogram,17,2,JoinHashLeft,14401261,1594247,14401261.000000,17911.015625
TPC-DS,EquiHeightHistogram,17,3,TableScan,73049,91,73049.000000,91.272728
TPC-DS,EquiHeightHistogram,17,4,JoinHashLeft,28800991,803599,28800992.000000,30993.523438
TPC-DS,EquiHeightHistogram,17,5,JoinHashLeft,2875432,404102,2875432.000000,3466.311279
TPC-DS,EquiHeightHistogram,17,6,TableScan,73049,92,73049.000000,91.272728
TPC-DS,EquiHeightHistogram,17,7,TableScan,73049,91,73049.000000,91.272728
TPC-DS,EquiHeightHistogram,17,8,TableScan,65535,91,65535.000000,82.299728
TPC-DS,EquiHeightHistogram,19,0,JoinHashRight,102,15563,102.000000,1674.459595
TPC-DS,EquiHeightHistogram,19,1,JoinHashLeft,250000,13546,250000.000000,1674.459717
TPC-DS,EquiHeightHistogram,19,2,JoinHashLeft,500000,14107,500000.000000,1753.366821
TPC-DS,EquiHeightHistogram,19,3,TableScan,102000,1836,102000.000000,1835.999878
TPC-DS,EquiHeightHistogram,19,4,JoinHashLeft,28800991,883317,28800992.000000,10362.147461
TPC-DS,EquiHeightHistogram,19,5,TableScan,65535,365,65535.000000,334.996704
TPC-DS,EquiHeightHistogram,25,0,JoinHashRight,102,18941,102.000000,6786.280762
TPC-DS,EquiHeightHistogram,25,1,JoinHashLeft,14401261,1498602,14401261.000000,38537.750000
TPC-DS,EquiHeightHistogram,25,2,JoinHashLeft,102000,15860,102000.000000,6786.281738
TPC-DS,EquiHeightHistogram,25,3,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,25,4,JoinHashLeft,28800991,262336,28800992.000000,10367.829102
TPC-DS,EquiHeightHistogram,25,5,JoinHashLeft,2875432,259123,2875432.000000,7458.198242
TPC-DS,EquiHeightHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,26973.583984
TPC-DS,EquiHeightHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,65774.437500
TPC-DS,EquiHeightHistogram,26,2,TableScan,500,494,500.000000,494.000000
TPC-DS,EquiHeightHistogram,26,3,TableScan,500,493,500.000000,493.000000
TPC-DS,EquiHeightHistogram,26,4,TableScan,65535,366,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,EquiHeightHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1374815.000000
TPC-DS,EquiHeightHistogram,28,1,TableScan,28800991,1373693,28800992.000000,1373693.000000
TPC-DS,EquiHeightHistogram,28,2,TableScan,28800991,1374966,28800992.000000,1374966.000000
TPC-DS,EquiHeightHistogram,28,3,TableScan,28800991,1374768,28800992.000000,1374768.000000
TPC-DS,EquiHeightHistogram,28,4,TableScan,28800991,1375524,28800992.000000,1375524.000000
TPC-DS,EquiHeightHistogram,28,5,TableScan,28800991,1372592,28800992.000000,1253908.375000
TPC-DS,EquiHeightHistogram,29,0,JoinHashRight,102,3,102.000000,554.224609
TPC-DS,EquiHeightHistogram,29,1,JoinHashLeft,102000,3,102000.000000,554.224915
TPC-DS,EquiHeightHistogram,29,2,JoinHashLeft,28800991,590830,28800992.000000,10362.147461
TPC-DS,EquiHeightHistogram,29,3,JoinHashLeft,2875432,182689,2875432.000000,4249.543945
TPC-DS,EquiHeightHistogram,29,4,TableScan,65535,365,65535.000000,334.996704
TPC-DS,EquiHeightHistogram,29,5,JoinHashLeft,14401261,3776379,14401261.000000,122561.968750
TPC-DS,EquiHeightHistogram,29,6,TableScan,73049,365,73049.000000,365.200012
TPC-DS,EquiHeightHistogram,29,7,TableScan,73049,366,73049.000000,365.399994
TPC-DS,EquiHeightHistogram,29,8,TableScan,73049,365,73049.000000,365.399994
TPC-DS,EquiHeightHistogram,31,0,JoinHashLeft,250000,63379,250000.000000,30031.664062
TPC-DS,EquiHeightHistogram,31,1,JoinHashLeft,250000,30140,250000.000000,8315.858398
TPC-DS,EquiHeightHistogram,31,2,JoinHashLeft,250000,100122,250000.000000,30363.363281
TPC-DS,EquiHeightHistogram,31,3,JoinHashLeft,250000,60373,250000.000000,30033.310547
TPC-DS,EquiHeightHistogram,31,4,JoinHashLeft,28800991,839034,28800992.000000,31447.343750
TPC-DS,EquiHeightHistogram,31,5,JoinHashLeft,250000,16757,250000.000000,8225.467773
TPC-DS,EquiHeightHistogram,31,6,JoinHashLeft,250000,17668,250000.000000,8225.019531
TPC-DS,EquiHeightHistogram,31,7,JoinHashLeft,7197566,384845,7197566.000000,8317.874023
TPC-DS,EquiHeightHistogram,31,8,JoinHashLeft,28800991,1465918,28800992.000000,31794.669922
TPC-DS,EquiHeightHistogram,31,9,JoinHashLeft,28800991,790723,28800992.000000,31449.064453
TPC-DS,EquiHeightHistogram,31,10,TableScan,65535,366,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,31,11,JoinHashLeft,7197566,208405,7197566.000000,8227.461914
TPC-DS,EquiHeightHistogram,31,12,JoinHashLeft,7197566,218552,7197566.000000,8227.009766
TPC-DS,EquiHeightHistogram,32,0,JoinHashLeft,14401261,412149,14401261.000000,0.250107
TPC-DS,EquiHeightHistogram,32,1,JoinHashLeft,102000,50979,102000.000000,0.250107
TPC-DS,EquiHeightHistogram,32,2,TableScan,65535,91,65535.000000,0.001275
TPC-DS,EquiHeightHistogram,34,0,JoinHashLeft,500000,1200,500000.000000,224.044968
TPC-DS,EquiHeightHistogram,34,1,TableScan,102,31,102.000000,31.000002
TPC-DS,EquiHeightHistogram,34,2,JoinHashLeft,28800991,3793832,28800992.000000,4521.859863
TPC-DS,EquiHeightHistogram,34,3,TableScan,7200,4800,7200.000000,4800.000000
TPC-DS,EquiHeightHistogram,34,4,TableScan,73049,365,73049.000000,365.200012
TPC-DS,EquiHeightHistogram,34,5,TableScan,73049,366,73049.000000,365.399994
TPC-DS,EquiHeightHistogram,34,6,TableScan,73049,365,73049.000000,365.399994
TPC-DS,EquiHeightHistogram,35,0,JoinHashLeft,28800991,3099118,28800992.000000,94691.023438
TPC-DS,EquiHeightHistogram,35,1,JoinHashRight,250000,482697,250000.000000,482696.937500
TPC-DS,EquiHeightHistogram,35,2,JoinHashRight,500000,482697,500000.000000,482697.000000
TPC-DS,EquiHeightHistogram,35,3,JoinHashLeft,7197566,804611,7197566.000000,24772.347656
TPC-DS,EquiHeightHistogram,35,4,JoinHashLeft,14401261,1592130,14401261.000000,49341.859375
TPC-DS,EquiHeightHistogram,35,5,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,35,6,JoinHashLeft,1920800,426807,1920800.000000,426807.000000
TPC-DS,EquiHeightHistogram,35,7,JoinHashRight,500000,426807,500000.000000,426807.000000
TPC-DS,EquiHeightHistogram,37,0,JoinHashLeft,14401261,536,14401261.000000,388.907745
TPC-DS,EquiHeightHistogram,37,1,TableScan,102000,134,102000.000000,145.724930
TPC-DS,EquiHeightHistogram,37,2,JoinHashLeft,133110000,4590000,133110000.000000,7.237344
TPC-DS,EquiHeightHistogram,37,3,TableScan,65535,61,65535.000000,0.000850
TPC-DS,EquiHeightHistogram,39a,0,JoinHashRight,102000,2040000,102000.000000,218078.046875
TPC-DS,EquiHeightHistogram,39a,1,JoinHashRight,102000,2040000,102000.000000,198696.906250
TPC-DS,EquiHeightHistogram,39a,2,JoinHashRight,10,2040000,10.000000,218078.968750
TPC-DS,EquiHeightHistogram,39a,3,JoinHashRight,10,2040000,10.000000,198697.781250
TPC-DS,EquiHeightHistogram,39a,4,JoinHashLeft,133110000,2040000,133110000.000000,242309.937500
TPC-DS,EquiHeightHistogram,39a,5,JoinHashLeft,133110000,2040000,133110000.000000,220775.312500
TPC-DS,EquiHeightHistogram,39a,6,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,39b,0,JoinHashRight,102000,2040000,102000.000000,198696.906250
TPC-DS,EquiHeightHistogram,39b,1,JoinHashRight,102000,2040000,102000.000000,218078.046875
TPC-DS,EquiHeightHistogram,39b,2,JoinHashRight,10,2040000,10.000000,198697.781250
TPC-DS,EquiHeightHistogram,39b,3,JoinHashRight,10,2040000,10.000000,218078.968750
TPC-DS,EquiHeightHistogram,39b,4,JoinHashLeft,133110000,2040000,133110000.000000,220775.312500
TPC-DS,EquiHeightHistogram,39b,5,JoinHashLeft,133110000,2040000,133110000.000000,242309.937500
TPC-DS,EquiHeightHistogram,39b,6,TableScan,65535,365,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,41,0,TableScan,102000,1328,102000.000000,1290.941162
TPC-DS,EquiHeightHistogram,42,0,TableScan,102000,1847,102000.000000,1847.000000
TPC-DS,EquiHeightHistogram,42,1,TableScan,65535,366,65535.000000,335.180084
TPC-DS,EquiHeightHistogram,42,2,JoinHashLeft,28800991,881977,28800992.000000,10367.829102
