HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,1,20,5,0.000425493
MaxDiffFrequencyHistogram,int,0,20,5,0.000579481
MaxDiffFrequencyHistogram,string,4,20,5,0.000947887
MaxDiffFrequencyHistogram,int,7,53,5,0.00040006
MaxDiffFrequencyHistogram,int,10,198,5,0.000662209
MaxDiffFrequencyHistogram,string,10,495,1,3.6819e-05
MaxDiffFrequencyHistogram,string,21,42,3,0.00058951
MaxDiffFrequencyHistogram,string,20,42,3,0.000809741
MaxDiffFrequencyHistogram,string,22,42,5,0.000518759
MaxDiffFrequencyHistogram,string,17,42,5,0.000790781
MaxDiffFrequencyHistogram,float,25,42,5,0.000597501
MaxDiffFrequencyHistogram,string,16,42,5,0.00115079
MaxDiffFrequencyHistogram,int,11,198,5,0.000326498
MaxDiffFrequencyHistogram,int,0,200,5,4.3947e-05
MaxDiffFrequencyHistogram,string,23,42,1,0.000955864
MaxDiffFrequencyHistogram,float,24,42,2,0.000608544
MaxDiffFrequencyHistogram,string,7,42,1,6.9405e-05
MaxDiffFrequencyHistogram,string,12,42,5,6.746e-05
MaxDiffFrequencyHistogram,int,5,200,5,0.000803882
MaxDiffFrequencyHistogram,int,13,42,5,2.6388e-05
MaxDiffFrequencyHistogram,string,2,42,4,1.4798e-05
MaxDiffFrequencyHistogram,string,14,42,5,6.0322e-05
MaxDiffFrequencyHistogram,string,11,42,5,0.000187132
MaxDiffFrequencyHistogram,string,10,42,5,0.000192092
MaxDiffFrequencyHistogram,int,0,500,5,0.000181193
MaxDiffFrequencyHistogram,string,15,42,5,0.000186423
MaxDiffFrequencyHistogram,int,6,35,5,0.000211697
MaxDiffFrequencyHistogram,string,15,494,1,0.00020681
MaxDiffFrequencyHistogram,string,4,42,5,3.5142e-05
MaxDiffFrequencyHistogram,string,3,21,3,9.5714e-05
MaxDiffFrequencyHistogram,string,1,42,5,5.3625e-05
MaxDiffFrequencyHistogram,float,5,492,1,2.0344e-05
MaxDiffFrequencyHistogram,int,0,42,5,7.9969e-05
MaxDiffFrequencyHistogram,int,5,42,5,3.9997e-05
MaxDiffFrequencyHistogram,string,13,491,1,0.000426008
MaxDiffFrequencyHistogram,string,14,493,1,0.000449858
MaxDiffFrequencyHistogram,string,9,199,5,0.0013399
MaxDiffFrequencyHistogram,int,3,493,5,0.000293665
MaxDiffFrequencyHistogram,string,18,490,1,0.000372792
MaxDiffFrequencyHistogram,int,4,491,5,0.000429917
MaxDiffFrequencyHistogram,string,1,200,5,0.00122197
MaxDiffFrequencyHistogram,string,19,42,5,0.000752225
MaxDiffFrequencyHistogram,string,8,493,2,0.000236392
MaxDiffFrequencyHistogram,int,9,42,5,0.000171919
MaxDiffFrequencyHistogram,string,16,497,5,0.00178751
MaxDiffFrequencyHistogram,int,6,490,1,3.3795e-05
MaxDiffFrequencyHistogram,string,18,42,5,0.00114966
MaxDiffFrequencyHistogram,string,8,42,5,3.259e-05
MaxDiffFrequencyHistogram,string,8,200,1,0.000456624
MaxDiffFrequencyHistogram,int,13,198,5,0.00035476
MaxDiffFrequencyHistogram,string,3,20,4,0.000762245
MaxDiffFrequencyHistogram,string,3,100,3,0.000107251
MaxDiffFrequencyHistogram,string,8,10,4,0.000311277
MaxDiffFrequencyHistogram,string,7,9,5,0.000255204
MaxDiffFrequencyHistogram,int,12,199,5,0.000398905
MaxDiffFrequencyHistogram,string,6,199,2,0.000486613
MaxDiffFrequencyHistogram,string,5,20,5,0.00131365
MaxDiffFrequencyHistogram,string,2,200,4,9.9261e-05
MaxDiffFrequencyHistogram,int,4,199,5,0.00083977
MaxDiffFrequencyHistogram,string,2,20,5,0.00147919
MaxDiffFrequencyHistogram,string,6,9,5,0.00102114
MaxDiffFrequencyHistogram,float,11,242496,6,0.00463808
MaxDiffFrequencyHistogram,string,11,492,1,0.000288085
MaxDiffFrequencyHistogram,string,9,494,1,0.000504767
