HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,int,3,29997,14,0.000377134
MaxDiffFrequencyHistogram,int,0,29997,14,0.00221846
MaxDiffFrequencyHistogram,string,1,4,4,0.00024439
MaxDiffFrequencyHistogram,int,0,4,4,0.002347
MaxDiffFrequencyHistogram,int,1,29997,14,0.0100392
MaxDiffFrequencyHistogram,int,2,29997,14,0.012926
MaxDiffFrequencyHistogram,string,2,211073,100,0.0140796
MaxDiffFrequencyHistogram,string,1,12,5,0.0024712
MaxDiffFrequencyHistogram,int,2,1.38004e+06,5,0.0138435
MaxDiffFrequencyHistogram,int,0,12,5,0.00609971
MaxDiffFrequencyHistogram,int,8,2617,40,0.00257622
MaxDiffFrequencyHistogram,string,3,2980,12,0.00528032
MaxDiffFrequencyHistogram,int,4,361472,6,0.00524897
MaxDiffFrequencyHistogram,string,2,134132,67,0.0351389
MaxDiffFrequencyHistogram,int,7,2876,100,0.00707717
MaxDiffFrequencyHistogram,int,9,2593,100,0.00865536
MaxDiffFrequencyHistogram,int,5,358440,100,0.0139567
MaxDiffFrequencyHistogram,int,3,2.60913e+06,2,0.0235504
MaxDiffFrequencyHistogram,int,2,2.96366e+06,22,0.0264608
MaxDiffFrequencyHistogram,int,0,134170,67,0.0650244
MaxDiffFrequencyHistogram,string,4,234961,100,0.0656215
MaxDiffFrequencyHistogram,int,0,234997,100,0.0787435
MaxDiffFrequencyHistogram,string,2,28,6,0.0601565
MaxDiffFrequencyHistogram,string,2,889029,100,0.111646
MaxDiffFrequencyHistogram,string,5,211073,100,0.137937
MaxDiffFrequencyHistogram,string,4,2.70113e+06,2,0.126677
MaxDiffFrequencyHistogram,int,2,4.52393e+06,100,0.131856
MaxDiffFrequencyHistogram,string,6,356278,100,0.161145
MaxDiffFrequencyHistogram,int,2,1.48357e+07,71,0.12989
MaxDiffFrequencyHistogram,int,2,2.60913e+06,100,0.188068
MaxDiffFrequencyHistogram,string,10,333504,100,0.197846
MaxDiffFrequencyHistogram,string,7,3.23158e+06,100,0.225005
MaxDiffFrequencyHistogram,string,4,84183,100,0.228878
MaxDiffFrequencyHistogram,int,0,1.38004e+06,100,0.289454
MaxDiffFrequencyHistogram,int,0,361472,100,0.0825519
MaxDiffFrequencyHistogram,string,4,3.13985e+06,100,0.313927
MaxDiffFrequencyHistogram,int,1,1.38004e+06,100,0.326862
MaxDiffFrequencyHistogram,string,3,1.38004e+06,100,0.337467
MaxDiffFrequencyHistogram,string,3,17,5,0.0121829
MaxDiffFrequencyHistogram,string,5,2.66966e+06,100,0.335623
MaxDiffFrequencyHistogram,string,6,621097,100,0.05122
MaxDiffFrequencyHistogram,string,1,134170,67,0.431138
MaxDiffFrequencyHistogram,string,5,4.16748e+06,100,0.410538
MaxDiffFrequencyHistogram,string,4,901234,100,0.0956662
MaxDiffFrequencyHistogram,int,1,4.52393e+06,100,0.462523
MaxDiffFrequencyHistogram,int,0,2.60913e+06,100,0.47046
MaxDiffFrequencyHistogram,int,0,901343,100,0.153206
MaxDiffFrequencyHistogram,string,6,4.06769e+06,100,0.488711
MaxDiffFrequencyHistogram,int,0,2.96366e+06,100,0.500533
MaxDiffFrequencyHistogram,string,5,792075,100,0.182243
MaxDiffFrequencyHistogram,string,6,234997,100,0.54086
MaxDiffFrequencyHistogram,string,1,18,5,4.6418e-05
MaxDiffFrequencyHistogram,int,0,18,5,4.3754e-05
MaxDiffFrequencyHistogram,string,1,234997,100,0.549751
MaxDiffFrequencyHistogram,int,0,7,5,0.000146162
MaxDiffFrequencyHistogram,string,1,7,5,0.000259914
MaxDiffFrequencyHistogram,string,4,1.33714e+06,100,0.535521
MaxDiffFrequencyHistogram,int,1,2.96366e+06,100,0.569353
MaxDiffFrequencyHistogram,int,1,2.60913e+06,100,0.647696
MaxDiffFrequencyHistogram,int,2,135086,2,0.00117677
MaxDiffFrequencyHistogram,int,3,135086,2,0.00115329
MaxDiffFrequencyHistogram,int,0,135086,67,0.0327058
MaxDiffFrequencyHistogram,int,0,4.16749e+06,100,0.691495
MaxDiffFrequencyHistogram,int,1,135086,67,0.0453254
MaxDiffFrequencyHistogram,int,0,3.14034e+06,100,0.701889
MaxDiffFrequencyHistogram,string,11,361472,100,0.723942
MaxDiffFrequencyHistogram,int,1,361472,100,0.0429494
MaxDiffFrequencyHistogram,string,4,1.43697e+06,100,0.784824
MaxDiffFrequencyHistogram,string,2,361472,100,0.863764
MaxDiffFrequencyHistogram,int,0,4.52393e+06,100,0.914501
MaxDiffFrequencyHistogram,int,1,1.48357e+07,100,0.901281
MaxDiffFrequencyHistogram,int,1,901343,100,0.640253
MaxDiffFrequencyHistogram,string,2,901343,100,1.37255
MaxDiffFrequencyHistogram,int,0,1.48357e+07,100,1.98975
MaxDiffFrequencyHistogram,string,7,901343,100,1.73825
MaxDiffFrequencyHistogram,string,3,2.96366e+06,100,4.55792
MaxDiffFrequencyHistogram,string,1,113,5,0.00200106
MaxDiffFrequencyHistogram,int,0,113,5,0.00208219
MaxDiffFrequencyHistogram,string,1,3.14034e+06,100,4.60765
MaxDiffFrequencyHistogram,string,1,4.16749e+06,100,5.19744
MaxDiffFrequencyHistogram,string,6,3.14034e+06,100,5.72213
MaxDiffFrequencyHistogram,string,8,4.16749e+06,100,7.40006
MaxDiffFrequencyHistogram,int,5,1.07846e+07,100,0.143114
MaxDiffFrequencyHistogram,int,6,3.62443e+07,11,0.226417
MaxDiffFrequencyHistogram,int,3,1.73552e+07,100,0.710585
MaxDiffFrequencyHistogram,int,1,3.53231e+07,100,0.75366
MaxDiffFrequencyHistogram,string,3,1.48357e+07,100,8.7324
MaxDiffFrequencyHistogram,string,1,4,4,0.000361948
MaxDiffFrequencyHistogram,int,0,4,4,0.00129131
MaxDiffFrequencyHistogram,int,8,1.1038e+06,96,0.0177
MaxDiffFrequencyHistogram,int,9,1.10241e+06,100,0.0255714
MaxDiffFrequencyHistogram,int,2,3.62019e+07,100,1.42182
MaxDiffFrequencyHistogram,int,3,2.52831e+06,6,0.0269691
MaxDiffFrequencyHistogram,int,4,2.45622e+06,100,0.0269506
MaxDiffFrequencyHistogram,string,2,26270,24,0.0395763
MaxDiffFrequencyHistogram,int,7,1.54326e+06,100,0.0505587
MaxDiffFrequencyHistogram,string,10,90875,100,0.0516423
MaxDiffFrequencyHistogram,string,6,1.81001e+06,100,0.226987
MaxDiffFrequencyHistogram,int,0,2.52831e+06,100,0.44531
MaxDiffFrequencyHistogram,string,4,1.42371e+07,100,2.96159
MaxDiffFrequencyHistogram,int,0,1.67772e+07,100,5.37703
MaxDiffFrequencyHistogram,string,11,2.52831e+06,100,5.04844
MaxDiffFrequencyHistogram,string,1,2.52831e+06,100,2.4222
