HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,1,4,4,0.000749607
EqualDistinctCountHistogram,int,0,4,4,0.000417965
EqualDistinctCountHistogram,int,1,29997,14,0.00738543
EqualDistinctCountHistogram,int,3,29997,14,0.000572962
EqualDistinctCountHistogram,int,2,29997,14,0.00955056
EqualDistinctCountHistogram,int,2,1.38004e+06,5,0.00856383
EqualDistinctCountHistogram,int,0,134170,67,0.0209735
EqualDistinctCountHistogram,int,2,2.96366e+06,22,0.0208994
EqualDistinctCountHistogram,string,1,12,5,3.5783e-05
EqualDistinctCountHistogram,string,2,211073,100,0.0159761
EqualDistinctCountHistogram,int,0,12,5,0.0029746
EqualDistinctCountHistogram,int,3,2.60913e+06,2,0.0214381
EqualDistinctCountHistogram,int,0,29997,14,0.0277495
EqualDistinctCountHistogram,int,4,361472,6,0.00284306
EqualDistinctCountHistogram,string,3,2980,12,0.00510984
EqualDistinctCountHistogram,int,5,358440,100,0.0045183
EqualDistinctCountHistogram,string,4,234961,100,0.0458207
EqualDistinctCountHistogram,int,7,2876,100,0.0244347
EqualDistinctCountHistogram,string,5,211073,100,0.0608993
EqualDistinctCountHistogram,string,2,134132,67,0.0641547
EqualDistinctCountHistogram,int,8,2617,40,0.0486793
EqualDistinctCountHistogram,string,2,28,6,0.0513673
EqualDistinctCountHistogram,int,9,2593,100,0.0558248
EqualDistinctCountHistogram,int,2,1.48357e+07,71,0.09119
EqualDistinctCountHistogram,string,2,889029,100,0.102544
EqualDistinctCountHistogram,int,0,234997,100,0.1227
EqualDistinctCountHistogram,string,4,2.70113e+06,2,0.12693
EqualDistinctCountHistogram,string,10,333504,100,0.140338
EqualDistinctCountHistogram,int,2,4.52393e+06,100,0.206676
EqualDistinctCountHistogram,int,2,2.60913e+06,100,0.218195
EqualDistinctCountHistogram,string,6,356278,100,0.206362
EqualDistinctCountHistogram,int,0,1.38004e+06,100,0.232955
EqualDistinctCountHistogram,int,0,361472,100,0.08072
EqualDistinctCountHistogram,string,7,3.23158e+06,100,0.271589
EqualDistinctCountHistogram,int,1,1.38004e+06,100,0.280153
