HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,string,1,4,4,0.00332098
EquiHeightHistogram,int,3,29997,14,0.00443268
EquiHeightHistogram,int,1,29997,14,0.00555839
EquiHeightHistogram,int,0,29997,14,0.00612544
EquiHeightHistogram,int,0,4,4,0.00073325
EquiHeightHistogram,string,1,12,5,5.2704e-05
EquiHeightHistogram,int,3,2.60913e+06,2,0.0215011
EquiHeightHistogram,int,2,1.38004e+06,5,0.0144775
EquiHeightHistogram,int,2,2.96366e+06,22,0.0210587
EquiHeightHistogram,int,0,12,5,0.000496979
EquiHeightHistogram,int,8,2617,40,0.00106505
EquiHeightHistogram,int,7,2876,100,0.00125246
EquiHeightHistogram,int,2,29997,14,0.0308992
EquiHeightHistogram,int,5,358440,100,0.00667524
EquiHeightHistogram,string,3,2980,12,0.00715309
EquiHeightHistogram,int,9,2593,100,0.0031875
EquiHeightHistogram,int,4,361472,6,0.00296277
EquiHeightHistogram,string,2,211073,100,0.0326388
EquiHeightHistogram,int,0,234997,100,0.0789202
EquiHeightHistogram,string,2,134132,67,0.0779726
EquiHeightHistogram,string,2,28,6,0.0558362
EquiHeightHistogram,string,2,889029,100,0.107881
EquiHeightHistogram,string,10,333504,100,0.0975841
EquiHeightHistogram,string,4,2.70113e+06,2,0.130593
EquiHeightHistogram,string,5,211073,100,0.154443
EquiHeightHistogram,string,4,234961,100,0.155603
EquiHeightHistogram,int,1,1.38004e+06,100,0.173169
EquiHeightHistogram,int,0,134170,67,0.194046
EquiHeightHistogram,int,0,1.38004e+06,100,0.224375
EquiHeightHistogram,int,2,2.60913e+06,100,0.235241
EquiHeightHistogram,string,6,356278,100,0.209417
EquiHeightHistogram,int,2,1.48357e+07,71,0.225908
EquiHeightHistogram,int,0,361472,100,0.124977
EquiHeightHistogram,int,2,4.52393e+06,100,0.265088
EquiHeightHistogram,string,4,84183,100,0.286252
EquiHeightHistogram,string,7,3.23158e+06,100,0.319812
EquiHeightHistogram,string,5,4.16748e+06,100,0.32416
EquiHeightHistogram,string,3,1.38004e+06,100,0.349461
EquiHeightHistogram,string,3,17,5,0.0181383
EquiHeightHistogram,string,4,3.13985e+06,100,0.352144
EquiHeightHistogram,string,5,2.66966e+06,100,0.364172
EquiHeightHistogram,int,0,2.96366e+06,100,0.400858
EquiHeightHistogram,string,1,134170,67,0.403494
EquiHeightHistogram,string,1,18,5,6.0761e-05
EquiHeightHistogram,int,0,18,5,7.4043e-05
EquiHeightHistogram,string,6,621097,100,0.0556545
EquiHeightHistogram,int,0,2.60913e+06,100,0.424562
EquiHeightHistogram,int,0,4.16749e+06,100,0.463014
EquiHeightHistogram,int,0,901343,100,0.108261
EquiHeightHistogram,int,0,3.14034e+06,100,0.449103
EquiHeightHistogram,int,1,2.96366e+06,100,0.488424
