HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiWidthHistogram,int,3,29997,14,0.0079906
EquiWidthHistogram,int,2,29997,14,0.00797665
EquiWidthHistogram,int,1,29997,14,0.010034
EquiWidthHistogram,int,0,4,4,0.00965212
EqualDistinctCountHistogram,string,1,4,4,0.0114405
EqualDistinctCountHistogram,string,1,12,5,0.00389188
EquiWidthHistogram,int,2,1.38004e+06,5,0.0124397
EquiWidthHistogram,int,0,12,5,0.00217027
EquiWidthHistogram,int,0,29997,14,0.021911
EquiWidthHistogram,int,2,2.96366e+06,22,0.0248742
EquiWidthHistogram,int,5,358440,100,0.00309178
EquiWidthHistogram,int,4,361472,6,0.0119029
EqualDistinctCountHistogram,string,3,2980,12,0.0159644
EqualDistinctCountHistogram,string,2,134132,67,0.0414787
EquiWidthHistogram,int,3,2.60913e+06,2,0.0315001
EqualDistinctCountHistogram,string,2,211073,100,0.0292654
EqualDistinctCountHistogram,string,2,28,6,0.0414212
EquiWidthHistogram,int,9,2593,100,0.0431355
EqualDistinctCountHistogram,string,5,211073,100,0.0648311
EquiWidthHistogram,int,8,2617,40,0.0550032
EquiWidthHistogram,int,7,2876,100,0.0590057
EqualDistinctCountHistogram,string,4,234961,100,0.0762423
EquiWidthHistogram,int,2,2.60913e+06,100,0.0902656
EqualDistinctCountHistogram,string,2,889029,100,0.104918
EqualDistinctCountHistogram,string,4,2.70113e+06,2,0.11786
EqualDistinctCountHistogram,string,6,356278,100,0.121774
EquiWidthHistogram,int,2,1.48357e+07,71,0.148526
EquiWidthHistogram,int,0,234997,100,0.198789
EqualDistinctCountHistogram,string,7,3.23158e+06,100,0.218831
EquiWidthHistogram,int,1,1.38004e+06,100,0.24362
EquiWidthHistogram,int,2,4.52393e+06,100,0.253971
EquiWidthHistogram,int,0,134170,67,0.250361
EqualDistinctCountHistogram,string,10,333504,100,0.248726
EqualDistinctCountHistogram,string,5,4.16748e+06,100,0.319201
EquiWidthHistogram,int,0,361472,100,0.0598916
EqualDistinctCountHistogram,string,6,4.06769e+06,100,0.347156
EqualDistinctCountHistogram,string,4,84183,100,0.364702
EqualDistinctCountHistogram,string,5,2.66966e+06,100,0.355653
EqualDistinctCountHistogram,string,1,134170,67,0.392262
EquiWidthHistogram,int,0,1.38004e+06,100,0.406854
EquiWidthHistogram,int,1,4.52393e+06,100,0.419161
EqualDistinctCountHistogram,string,3,1.38004e+06,100,0.436683
EquiWidthHistogram,int,0,4.16749e+06,100,0.457462
EqualDistinctCountHistogram,string,3,17,5,0.0144862
EquiWidthHistogram,int,1,2.60913e+06,100,0.472531
EquiWidthHistogram,int,0,2.60913e+06,100,0.47671
EqualDistinctCountHistogram,string,6,621097,100,0.0514425
EqualDistinctCountHistogram,string,4,3.13985e+06,100,0.472808
EquiWidthHistogram,int,0,901343,100,0.0818073
EquiWidthHistogram,int,0,2.96366e+06,100,0.529411
EqualDistinctCountHistogram,string,1,234997,100,0.525626
EqualDistinctCountHistogram,string,4,1.33714e+06,100,0.538859
EquiWidthHistogram,int,2,135086,2,0.000850151
EquiWidthHistogram,int,3,135086,2,0.000858738
EqualDistinctCountHistogram,string,4,901234,100,0.105756
EquiWidthHistogram,int,1,2.96366e+06,100,0.556776
EqualDistinctCountHistogram,string,1,18,5,9.5384e-05
EquiWidthHistogram,int,0,18,5,0.00120781
EquiWidthHistogram,int,1,135086,67,0.0298548
EquiWidthHistogram,int,0,135086,67,0.030419
EqualDistinctCountHistogram,string,5,792075,100,0.140136
EquiWidthHistogram,int,0,4.52393e+06,100,0.621634
EqualDistinctCountHistogram,string,1,4,4,0.000232391
EquiWidthHistogram,int,0,4,4,9.4496e-05
EquiWidthHistogram,int,0,3.14034e+06,100,0.659036
EqualDistinctCountHistogram,string,6,234997,100,0.793425
EquiWidthHistogram,int,0,7,5,2.9778e-05
EqualDistinctCountHistogram,string,1,7,5,0.000140828
EqualDistinctCountHistogram,string,11,361472,100,0.809485
EquiWidthHistogram,int,1,361472,100,0.0329556
EqualDistinctCountHistogram,string,4,1.43697e+06,100,0.891676
EqualDistinctCountHistogram,string,2,361472,100,0.942737
EquiWidthHistogram,int,0,1.48357e+07,100,1.07627
EquiWidthHistogram,int,1,1.48357e+07,100,1.07887
EquiWidthHistogram,int,1,901343,100,0.790593
EqualDistinctCountHistogram,string,7,901343,100,1.33537
EqualDistinctCountHistogram,string,2,901343,100,1.3667
EqualDistinctCountHistogram,string,3,2.96366e+06,100,5.02501
EqualDistinctCountHistogram,string,6,3.14034e+06,100,5.02899
EquiWidthHistogram,int,0,113,5,8.003e-05
EqualDistinctCountHistogram,string,1,113,5,0.000224024
EqualDistinctCountHistogram,string,1,4.16749e+06,100,5.22726
EqualDistinctCountHistogram,string,1,3.14034e+06,100,5.31751
EqualDistinctCountHistogram,string,8,4.16749e+06,100,7.01171
EquiWidthHistogram,int,5,1.07846e+07,100,0.139109
EquiWidthHistogram,int,6,3.62443e+07,11,0.21998
EquiWidthHistogram,int,1,3.53231e+07,100,0.536488
EquiWidthHistogram,int,3,1.73552e+07,100,0.575469
EqualDistinctCountHistogram,string,3,1.48357e+07,100,7.7901
EquiWidthHistogram,int,8,1.1038e+06,96,0.0238427
EquiWidthHistogram,int,3,2.52831e+06,6,0.0333165
EquiWidthHistogram,int,4,2.45622e+06,100,0.0338825
EquiWidthHistogram,int,9,1.10241e+06,100,0.0337761
EquiWidthHistogram,int,7,1.54326e+06,100,0.035921
EqualDistinctCountHistogram,string,2,26270,24,0.0374524
EqualDistinctCountHistogram,string,10,90875,100,0.0429658
EqualDistinctCountHistogram,string,6,1.81001e+06,100,0.222018
EquiWidthHistogram,int,0,2.52831e+06,100,0.260539
EquiWidthHistogram,int,2,3.62019e+07,100,1.22568
EqualDistinctCountHistogram,string,4,1.42371e+07,100,2.79855
EquiWidthHistogram,int,0,1.67772e+07,100,2.81787
EqualDistinctCountHistogram,string,11,2.52831e+06,100,4.11464
EqualDistinctCountHistogram,string,1,2.52831e+06,100,2.15948
