HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,int,3,29997,14,0.00147689
EqualDistinctCountHistogram,string,1,4,4,0.0024519
GDYHistogram,int,0,4,4,0.000430764
GDYHistogram,int,0,12,5,0.00056938
EqualDistinctCountHistogram,string,1,12,5,0.00104373
GDYHistogram,int,2,29997,14,0.0214958
GDYHistogram,int,0,29997,14,0.0234441
EqualDistinctCountHistogram,string,2,211073,100,0.0220399
GDYHistogram,int,9,2593,100,0.0042798
GDYHistogram,int,1,29997,14,0.0283276
EqualDistinctCountHistogram,string,2,134132,67,0.032522
GDYHistogram,int,2,1.38004e+06,5,0.0338391
EqualDistinctCountHistogram,string,3,2980,12,0.0169467
GDYHistogram,int,4,361472,6,0.0116728
GDYHistogram,int,2,2.96366e+06,22,0.0396391
GDYHistogram,int,8,2617,40,0.0161374
GDYHistogram,int,7,2876,100,0.020432
GDYHistogram,int,5,358440,100,0.0249036
EqualDistinctCountHistogram,string,5,211073,100,0.0577571
GDYHistogram,int,3,2.60913e+06,2,0.0546074
EqualDistinctCountHistogram,string,4,234961,100,0.0615747
EqualDistinctCountHistogram,string,2,28,6,0.0635615
EqualDistinctCountHistogram,string,2,889029,100,0.0996415
GDYHistogram,int,0,134170,67,0.127504
EqualDistinctCountHistogram,string,4,2.70113e+06,2,0.124048
EqualDistinctCountHistogram,string,10,333504,100,0.146798
EqualDistinctCountHistogram,string,6,356278,100,0.178634
GDYHistogram,int,2,1.48357e+07,71,0.202641
GDYHistogram,int,0,234997,100,0.208155
GDYHistogram,int,2,2.60913e+06,100,0.20834
EqualDistinctCountHistogram,string,7,3.23158e+06,100,0.234562
GDYHistogram,int,2,4.52393e+06,100,0.251526
GDYHistogram,int,0,1.38004e+06,100,0.293339
EqualDistinctCountHistogram,string,4,84183,100,0.297607
EqualDistinctCountHistogram,string,1,134170,67,0.322195
GDYHistogram,int,0,361472,100,0.152255
GDYHistogram,int,0,18,5,0.00194653
EqualDistinctCountHistogram,string,1,18,5,0.000148505
EqualDistinctCountHistogram,string,3,1.38004e+06,100,0.349917
EqualDistinctCountHistogram,string,4,3.13985e+06,100,0.318949
EqualDistinctCountHistogram,string,5,4.16748e+06,100,0.350039
EqualDistinctCountHistogram,string,6,4.06769e+06,100,0.420847
EqualDistinctCountHistogram,string,5,2.66966e+06,100,0.409285
GDYHistogram,int,1,1.38004e+06,100,0.469974
EqualDistinctCountHistogram,string,4,1.33714e+06,100,0.499034
EqualDistinctCountHistogram,string,6,234997,100,0.58845
GDYHistogram,int,0,2.60913e+06,100,0.659752
EqualDistinctCountHistogram,string,1,234997,100,0.678751
EqualDistinctCountHistogram,string,1,7,5,4.3004e-05
GDYHistogram,int,0,2.96366e+06,100,0.677333
GDYHistogram,int,0,7,5,0.000167426
GDYHistogram,int,0,4.16749e+06,100,0.687624
GDYHistogram,int,0,3.14034e+06,100,0.72248
EqualDistinctCountHistogram,string,4,1.43697e+06,100,0.77089
EqualDistinctCountHistogram,string,2,361472,100,0.870807
GDYHistogram,int,0,4.52393e+06,100,0.93864
EqualDistinctCountHistogram,string,11,361472,100,0.931787
GDYHistogram,int,1,4.52393e+06,100,0.996076
GDYHistogram,int,0,4,4,8.98e-05
EqualDistinctCountHistogram,string,1,4,4,8.5144e-05
GDYHistogram,int,1,2.60913e+06,100,1.02106
GDYHistogram,int,3,135086,2,0.0018306
GDYHistogram,int,2,135086,2,0.00199477
GDYHistogram,int,1,2.96366e+06,100,1.04714
GDYHistogram,int,0,135086,67,0.0329507
GDYHistogram,int,1,361472,100,0.146384
GDYHistogram,int,1,135086,67,0.0761536
GDYHistogram,int,0,1.48357e+07,100,1.91889
GDYHistogram,int,1,1.48357e+07,100,1.95573
EqualDistinctCountHistogram,string,1,3.14034e+06,100,4.68407
EqualDistinctCountHistogram,string,1,4.16749e+06,100,5.48455
EqualDistinctCountHistogram,string,3,2.96366e+06,100,5.869
EqualDistinctCountHistogram,string,1,113,5,0.000243439
GDYHistogram,int,0,113,5,0.000223811
EqualDistinctCountHistogram,string,6,3.14034e+06,100,6.26538
EqualDistinctCountHistogram,string,3,1.48357e+07,100,7.50342
GDYHistogram,int,8,1.1038e+06,96,0.0308715
GDYHistogram,int,3,2.52831e+06,6,0.0329218
GDYHistogram,int,4,2.45622e+06,100,0.0336454
EqualDistinctCountHistogram,string,2,26270,24,0.0340797
GDYHistogram,int,9,1.10241e+06,100,0.0422527
EqualDistinctCountHistogram,string,10,90875,100,0.0438931
GDYHistogram,int,7,1.54326e+06,100,0.0698157
EqualDistinctCountHistogram,string,8,4.16749e+06,100,7.65304
EqualDistinctCountHistogram,string,3,17,5,0.0178209
EqualDistinctCountHistogram,string,6,1.81001e+06,100,0.192387
EqualDistinctCountHistogram,string,6,621097,100,0.0727797
EqualDistinctCountHistogram,string,5,792075,100,0.0931093
EqualDistinctCountHistogram,string,4,901234,100,0.098251
GDYHistogram,int,0,901343,100,0.118711
GDYHistogram,int,5,1.07846e+07,100,0.296249
GDYHistogram,int,0,2.52831e+06,100,0.527984
GDYHistogram,int,6,3.62443e+07,11,0.451271
GDYHistogram,int,1,901343,100,1.15444
EqualDistinctCountHistogram,string,2,901343,100,1.17338
GDYHistogram,int,1,3.62443e+07,100,1.21703
EqualDistinctCountHistogram,string,7,901343,100,1.238
GDYHistogram,int,3,1.75715e+07,100,1.88017
GDYHistogram,int,2,3.62443e+07,100,2.60828
EqualDistinctCountHistogram,string,4,1.42371e+07,100,2.72775
EqualDistinctCountHistogram,string,11,2.52831e+06,100,4.35042
EqualDistinctCountHistogram,string,1,2.52831e+06,100,2.35629
GDYHistogram,int,0,3.62443e+07,100,22.786
GDYHistogram,int,3,29997,14,0.00579371
GDYHistogram,int,0,4,4,0.00323555
EqualDistinctCountHistogram,string,1,4,4,0.000419566
GDYHistogram,int,0,12,5,0.00048746
EqualDistinctCountHistogram,string,1,12,5,0.000888111
GDYHistogram,int,2,1.38004e+06,5,0.0201365
GDYHistogram,int,4,361472,6,0.0082371
EqualDistinctCountHistogram,string,2,211073,100,0.0190468
GDYHistogram,int,5,358440,100,0.00995981
GDYHistogram,int,0,29997,14,0.0323689
GDYHistogram,int,8,2617,40,0.00577125
GDYHistogram,int,7,2876,100,0.0149871
