HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,1,4,4,0.00027126
MaxDiffAreaHistogram,int,3,29997,14,0.000825214
MaxDiffAreaHistogram,int,0,4,4,0.00084753
MaxDiffAreaHistogram,int,2,29997,14,0.00876472
MaxDiffFrequencyHistogram,string,1,12,5,0.00350838
MaxDiffAreaHistogram,int,1,29997,14,0.00309223
MaxDiffAreaHistogram,int,0,12,5,0.00475569
MaxDiffAreaHistogram,int,0,29997,14,0.0159606
MaxDiffAreaHistogram,int,2,1.38004e+06,5,0.0134432
MaxDiffAreaHistogram,int,9,2593,100,0.00309752
MaxDiffAreaHistogram,int,4,361472,6,0.00256665
MaxDiffAreaHistogram,int,2,2.96366e+06,22,0.0294361
MaxDiffFrequencyHistogram,string,2,211073,100,0.029607
MaxDiffAreaHistogram,int,7,2876,100,0.0147697
MaxDiffAreaHistogram,int,3,2.60913e+06,2,0.0352101
MaxDiffAreaHistogram,int,8,2617,40,0.00831604
MaxDiffAreaHistogram,int,5,358440,100,0.0111215
MaxDiffFrequencyHistogram,string,3,2980,12,0.0133913
MaxDiffFrequencyHistogram,string,2,134132,67,0.0467834
MaxDiffFrequencyHistogram,string,4,234961,100,0.0564684
MaxDiffAreaHistogram,int,0,234997,100,0.081238
MaxDiffFrequencyHistogram,string,5,211073,100,0.0860682
MaxDiffFrequencyHistogram,string,2,28,6,0.0618293
MaxDiffAreaHistogram,int,2,1.48357e+07,71,0.126102
MaxDiffAreaHistogram,int,2,2.60913e+06,100,0.129005
MaxDiffFrequencyHistogram,string,10,333504,100,0.120732
MaxDiffAreaHistogram,int,0,134170,67,0.143072
MaxDiffFrequencyHistogram,string,4,2.70113e+06,2,0.159596
MaxDiffFrequencyHistogram,string,2,889029,100,0.165796
MaxDiffFrequencyHistogram,string,6,356278,100,0.179283
MaxDiffAreaHistogram,int,2,4.52393e+06,100,0.197457
MaxDiffAreaHistogram,int,0,361472,100,0.121503
MaxDiffFrequencyHistogram,string,7,3.23158e+06,100,0.269145
MaxDiffFrequencyHistogram,string,4,84183,100,0.295953
MaxDiffAreaHistogram,int,1,1.38004e+06,100,0.307262
MaxDiffFrequencyHistogram,string,5,2.66966e+06,100,0.30456
MaxDiffAreaHistogram,int,0,1.38004e+06,100,0.354272
MaxDiffFrequencyHistogram,string,4,3.13985e+06,100,0.326835
MaxDiffFrequencyHistogram,string,1,134170,67,0.408692
MaxDiffAreaHistogram,int,0,18,5,5.614e-05
MaxDiffFrequencyHistogram,string,1,18,5,0.000153144
MaxDiffFrequencyHistogram,string,3,1.38004e+06,100,0.432421
MaxDiffFrequencyHistogram,string,3,17,5,0.0133381
MaxDiffAreaHistogram,int,1,4.52393e+06,100,0.446577
MaxDiffFrequencyHistogram,string,6,4.06769e+06,100,0.47458
MaxDiffFrequencyHistogram,string,5,4.16748e+06,100,0.488045
MaxDiffFrequencyHistogram,string,6,621097,100,0.0507292
MaxDiffFrequencyHistogram,string,1,234997,100,0.49766
MaxDiffAreaHistogram,int,1,2.60913e+06,100,0.530416
MaxDiffFrequencyHistogram,string,4,901234,100,0.107809
MaxDiffAreaHistogram,int,0,901343,100,0.125496
MaxDiffFrequencyHistogram,string,5,792075,100,0.130805
MaxDiffAreaHistogram,int,0,2.96366e+06,100,0.581513
MaxDiffAreaHistogram,int,0,2.60913e+06,100,0.595736
MaxDiffAreaHistogram,int,1,2.96366e+06,100,0.608186
MaxDiffFrequencyHistogram,string,6,234997,100,0.643895
MaxDiffFrequencyHistogram,string,1,7,5,3.5345e-05
MaxDiffAreaHistogram,int,0,7,5,5.9511e-05
MaxDiffFrequencyHistogram,string,4,1.33714e+06,100,0.672894
MaxDiffAreaHistogram,int,3,135086,2,0.000891954
MaxDiffAreaHistogram,int,2,135086,2,0.00141969
MaxDiffAreaHistogram,int,0,4.16749e+06,100,0.694619
MaxDiffAreaHistogram,int,0,135086,67,0.0231211
