HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,int,0,4,4,0.000170609
MaxDiffFrequencyHistogram,string,1,4,4,0.000626797
MaxDiffFrequencyHistogram,string,1,12,5,0.000187728
MaxDiffFrequencyHistogram,int,2,1.38004e+06,5,0.0107747
MaxDiffFrequencyHistogram,int,2,29997,14,0.0127484
MaxDiffFrequencyHistogram,int,0,12,5,0.00102385
MaxDiffFrequencyHistogram,string,2,211073,100,0.0139455
MaxDiffFrequencyHistogram,int,3,29997,14,0.00583333
MaxDiffFrequencyHistogram,int,8,2617,40,0.00219237
MaxDiffFrequencyHistogram,int,3,2.60913e+06,2,0.0174107
MaxDiffFrequencyHistogram,int,0,29997,14,0.0222893
MaxDiffFrequencyHistogram,int,5,358440,100,0.00827948
MaxDiffFrequencyHistogram,int,4,361472,6,0.00534431
MaxDiffFrequencyHistogram,int,9,2593,100,0.00556183
MaxDiffFrequencyHistogram,string,3,2980,12,0.00806626
MaxDiffFrequencyHistogram,int,7,2876,100,0.00797285
MaxDiffFrequencyHistogram,int,1,29997,14,0.0202713
MaxDiffFrequencyHistogram,int,2,2.96366e+06,22,0.0254874
MaxDiffFrequencyHistogram,int,0,234997,100,0.0600632
MaxDiffFrequencyHistogram,string,4,234961,100,0.0768069
MaxDiffFrequencyHistogram,string,2,28,6,0.0505798
MaxDiffFrequencyHistogram,string,2,134132,67,0.102832
MaxDiffFrequencyHistogram,int,2,1.48357e+07,71,0.108611
MaxDiffFrequencyHistogram,string,2,889029,100,0.109935
MaxDiffFrequencyHistogram,int,0,134170,67,0.114267
MaxDiffFrequencyHistogram,int,2,2.60913e+06,100,0.116309
MaxDiffFrequencyHistogram,string,4,2.70113e+06,2,0.121343
MaxDiffFrequencyHistogram,string,6,356278,100,0.105849
MaxDiffFrequencyHistogram,string,5,211073,100,0.118165
MaxDiffFrequencyHistogram,string,10,333504,100,0.141079
MaxDiffFrequencyHistogram,int,1,1.38004e+06,100,0.192237
MaxDiffFrequencyHistogram,int,2,4.52393e+06,100,0.220195
MaxDiffFrequencyHistogram,int,0,361472,100,0.10575
MaxDiffFrequencyHistogram,int,0,1.38004e+06,100,0.269036
MaxDiffFrequencyHistogram,string,4,84183,100,0.279231
MaxDiffFrequencyHistogram,string,3,1.38004e+06,100,0.329824
MaxDiffFrequencyHistogram,string,7,3.23158e+06,100,0.357868
MaxDiffFrequencyHistogram,string,5,4.16748e+06,100,0.36566
MaxDiffFrequencyHistogram,string,6,4.06769e+06,100,0.37058
MaxDiffFrequencyHistogram,string,5,2.66966e+06,100,0.361669
MaxDiffFrequencyHistogram,string,1,134170,67,0.488708
MaxDiffFrequencyHistogram,string,1,18,5,0.000318007
MaxDiffFrequencyHistogram,int,0,18,5,0.000237511
MaxDiffFrequencyHistogram,int,1,2.60913e+06,100,0.494794
MaxDiffFrequencyHistogram,int,1,4.52393e+06,100,0.498661
MaxDiffFrequencyHistogram,string,1,234997,100,0.53492
MaxDiffFrequencyHistogram,string,6,234997,100,0.540642
MaxDiffFrequencyHistogram,string,4,1.33714e+06,100,0.569464
MaxDiffFrequencyHistogram,int,1,2.96366e+06,100,0.600209
MaxDiffFrequencyHistogram,int,0,2.96366e+06,100,0.627977
MaxDiffFrequencyHistogram,int,0,2.60913e+06,100,0.635622
MaxDiffFrequencyHistogram,int,2,135086,2,0.00126221
MaxDiffFrequencyHistogram,int,3,135086,2,0.000977764
MaxDiffFrequencyHistogram,string,4,3.13985e+06,100,0.623219
MaxDiffFrequencyHistogram,int,0,135086,67,0.0265904
MaxDiffFrequencyHistogram,int,0,3.14034e+06,100,0.632884
MaxDiffFrequencyHistogram,int,1,135086,67,0.0336863
MaxDiffFrequencyHistogram,string,4,1.43697e+06,100,0.69775
MaxDiffFrequencyHistogram,string,11,361472,100,0.710589
MaxDiffFrequencyHistogram,int,0,4.16749e+06,100,0.750704
MaxDiffFrequencyHistogram,int,1,361472,100,0.0425316
MaxDiffFrequencyHistogram,string,2,361472,100,0.90238
MaxDiffFrequencyHistogram,string,3,17,5,0.0132385
MaxDiffFrequencyHistogram,int,0,4.52393e+06,100,0.979552
MaxDiffFrequencyHistogram,string,1,4,4,5.9075e-05
MaxDiffFrequencyHistogram,int,0,4,4,6.5818e-05
MaxDiffFrequencyHistogram,string,6,621097,100,0.0772145
MaxDiffFrequencyHistogram,string,4,901234,100,0.0864454
MaxDiffFrequencyHistogram,string,5,792075,100,0.111241
MaxDiffFrequencyHistogram,int,0,901343,100,0.122442
MaxDiffFrequencyHistogram,int,1,1.48357e+07,100,1.1509
MaxDiffFrequencyHistogram,int,1,901343,100,0.848313
MaxDiffFrequencyHistogram,string,2,901343,100,1.10598
MaxDiffFrequencyHistogram,int,0,1.48357e+07,100,2.036
MaxDiffFrequencyHistogram,string,7,901343,100,1.82105
MaxDiffFrequencyHistogram,string,1,3.14034e+06,100,5.30622
MaxDiffFrequencyHistogram,string,3,2.96366e+06,100,5.61129
MaxDiffFrequencyHistogram,string,1,113,5,0.00244194
MaxDiffFrequencyHistogram,int,0,113,5,0.00106871
MaxDiffFrequencyHistogram,string,1,4.16749e+06,100,5.81261
MaxDiffFrequencyHistogram,string,6,3.14034e+06,100,6.50069
MaxDiffFrequencyHistogram,string,8,4.16749e+06,100,6.63363
MaxDiffFrequencyHistogram,int,5,1.07846e+07,100,0.136579
MaxDiffFrequencyHistogram,int,6,3.62443e+07,11,0.227394
MaxDiffFrequencyHistogram,int,3,1.73552e+07,100,0.652444
MaxDiffFrequencyHistogram,int,1,3.53231e+07,100,0.768422
MaxDiffFrequencyHistogram,int,2,3.62019e+07,100,1.4586
MaxDiffFrequencyHistogram,string,3,1.48357e+07,100,8.35517
MaxDiffFrequencyHistogram,string,1,7,5,3.4481e-05
MaxDiffFrequencyHistogram,int,0,7,5,7.896e-05
MaxDiffFrequencyHistogram,int,3,2.52831e+06,6,0.0447521
MaxDiffFrequencyHistogram,int,8,1.1038e+06,96,0.0434068
MaxDiffFrequencyHistogram,int,4,2.45622e+06,100,0.0447839
MaxDiffFrequencyHistogram,int,9,1.10241e+06,100,0.0455297
MaxDiffFrequencyHistogram,string,2,26270,24,0.0456164
MaxDiffFrequencyHistogram,string,10,90875,100,0.0464595
MaxDiffFrequencyHistogram,int,7,1.54326e+06,100,0.052429
MaxDiffFrequencyHistogram,string,6,1.81001e+06,100,0.22463
MaxDiffFrequencyHistogram,int,0,2.52831e+06,100,0.408569
MaxDiffFrequencyHistogram,string,4,1.42371e+07,100,2.99395
MaxDiffFrequencyHistogram,int,0,1.67772e+07,100,5.94683
MaxDiffFrequencyHistogram,string,11,2.52831e+06,100,4.27078
MaxDiffFrequencyHistogram,string,1,2.52831e+06,100,2.21979
