HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,int,0,90000,45,0.00167503
EqualDistinctCountHistogram,int,10,100,1,5.3396e-05
EqualDistinctCountHistogram,int,6,300000,11,0.00214997
EqualDistinctCountHistogram,float,3,100000,50,0.00572485
EqualDistinctCountHistogram,float,9,100,1,7.0464e-05
EqualDistinctCountHistogram,int,0,100,5,0.00501522
EqualDistinctCountHistogram,int,7,300000,1,0.00512074
EqualDistinctCountHistogram,int,18,300000,1,0.00510808
EqualDistinctCountHistogram,int,4,300000,1,0.00513863
EqualDistinctCountHistogram,int,19,300000,1,0.00513873
EqualDistinctCountHistogram,string,6,100,5,0.00170339
EqualDistinctCountHistogram,float,17,300000,1,0.00524036
EqualDistinctCountHistogram,int,1,100,5,0.00379088
EqualDistinctCountHistogram,int,1,90000,10,0.00587538
EqualDistinctCountHistogram,int,12,300000,1,0.00518895
EqualDistinctCountHistogram,int,1,300000,10,0.00735146
EqualDistinctCountHistogram,string,5,100,5,0.00733752
EqualDistinctCountHistogram,int,5,210000,10,0.00515803
EqualDistinctCountHistogram,float,8,100,5,0.00730517
EqualDistinctCountHistogram,int,2,90000,10,0.00638246
EqualDistinctCountHistogram,string,2,100,5,0.00128463
EqualDistinctCountHistogram,string,7,100,5,0.00769125
EqualDistinctCountHistogram,int,2,300000,10,0.00774418
EqualDistinctCountHistogram,string,4,100,5,0.00784993
EqualDistinctCountHistogram,string,3,100,5,0.00423543
EqualDistinctCountHistogram,float,16,300000,1,0.00398313
EqualDistinctCountHistogram,float,14,300000,1,0.00405456
EqualDistinctCountHistogram,int,0,300000,100,0.00936551
EqualDistinctCountHistogram,int,3,300000,100,0.00349065
EqualDistinctCountHistogram,int,15,1e+06,1,0.00679114
EqualDistinctCountHistogram,int,3,300000,10,0.00316586
EqualDistinctCountHistogram,int,1,300000,10,0.00323198
EqualDistinctCountHistogram,int,5,300000,1,0.00320981
EqualDistinctCountHistogram,int,14,1e+06,1,0.00706826
EqualDistinctCountHistogram,int,0,10,5,0.000128607
EqualDistinctCountHistogram,float,8,10,1,7.1134e-05
EqualDistinctCountHistogram,string,1,10,5,0.00020768
EqualDistinctCountHistogram,int,13,1e+06,1,0.00821108
EqualDistinctCountHistogram,float,7,10,5,0.000154262
EqualDistinctCountHistogram,string,4,10,5,0.000190076
EqualDistinctCountHistogram,string,5,10,5,0.000161394
EqualDistinctCountHistogram,string,6,10,5,0.000207897
EqualDistinctCountHistogram,string,2,10,5,0.000220336
EqualDistinctCountHistogram,int,2,300000,10,0.00336656
EqualDistinctCountHistogram,int,4,300000,10,0.00356137
EqualDistinctCountHistogram,int,2,300000,10,0.00361064
EqualDistinctCountHistogram,int,1,100000,50,0.0147613
EqualDistinctCountHistogram,int,0,300000,100,0.00237918
EqualDistinctCountHistogram,string,3,10,5,0.000547369
EqualDistinctCountHistogram,string,13,300000,2,0.0142221
EqualDistinctCountHistogram,float,6,300000,1,0.005783
EqualDistinctCountHistogram,float,15,300000,100,0.018151
EqualDistinctCountHistogram,int,6,2.10079e+06,1,0.0183745
EqualDistinctCountHistogram,int,3,3.00156e+06,15,0.0204734
EqualDistinctCountHistogram,int,2,3.00156e+06,10,0.0224537
EqualDistinctCountHistogram,string,4,300000,1,0.0138911
EqualDistinctCountHistogram,int,1,3.00156e+06,10,0.0192461
EqualDistinctCountHistogram,int,0,100000,50,0.0334953
EqualDistinctCountHistogram,int,7,3.00156e+06,1,0.0328673
EqualDistinctCountHistogram,int,5,3.00156e+06,10,0.0337276
EqualDistinctCountHistogram,string,9,300000,100,0.0288669
EqualDistinctCountHistogram,string,5,300000,100,0.0260485
EqualDistinctCountHistogram,int,0,3.00156e+06,100,0.0460313
EqualDistinctCountHistogram,int,4,3.00156e+06,100,0.0702721
EqualDistinctCountHistogram,string,2,100000,50,0.169709
EqualDistinctCountHistogram,string,4,100000,50,0.21496
EqualDistinctCountHistogram,float,8,3.00156e+06,100,0.219335
EqualDistinctCountHistogram,string,3,300000,100,0.409103
EqualDistinctCountHistogram,string,7,300000,100,0.470387
EqualDistinctCountHistogram,string,6,300000,100,0.470326
EqualDistinctCountHistogram,string,8,300000,100,0.488085
EqualDistinctCountHistogram,string,7,300000,100,0.572097
EqualDistinctCountHistogram,string,11,300000,100,0.626257
EqualDistinctCountHistogram,int,1,300000,10,0.00198111
EqualDistinctCountHistogram,string,20,300000,100,0.980842
EqualDistinctCountHistogram,string,10,300000,100,0.0380558
EqualDistinctCountHistogram,int,0,300000,100,0.00199427
EqualDistinctCountHistogram,string,4,1e+06,100,1.37761
EqualDistinctCountHistogram,string,8,1e+06,100,1.67628
EqualDistinctCountHistogram,string,11,1e+06,100,1.75393
EqualDistinctCountHistogram,int,1,1e+06,10,0.00642785
EqualDistinctCountHistogram,string,12,1e+06,100,1.89723
EqualDistinctCountHistogram,int,2,1e+06,91,0.00706712
EqualDistinctCountHistogram,string,7,1e+06,100,1.91027
EqualDistinctCountHistogram,string,3,1e+06,100,1.9276
EqualDistinctCountHistogram,string,9,1e+06,100,1.9443
EqualDistinctCountHistogram,string,5,1e+06,100,1.96667
EqualDistinctCountHistogram,string,10,1e+06,100,2.00186
EqualDistinctCountHistogram,int,0,1e+06,100,0.0128946
EqualDistinctCountHistogram,string,16,1e+06,100,2.10692
EqualDistinctCountHistogram,string,6,1e+06,100,1.47909
EqualDistinctCountHistogram,string,9,3.00156e+06,100,4.37595
