HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,string,1,10,5,0.000112575
EquiHeightHistogram,string,3,10,5,0.00126471
EquiHeightHistogram,string,6,10,5,0.0012868
EquiHeightHistogram,string,2,10,5,0.00129013
EquiHeightHistogram,float,7,10,5,0.00125921
EquiHeightHistogram,float,8,10,1,0.00122416
EquiHeightHistogram,string,3,100,5,8.4945e-05
EquiHeightHistogram,float,9,100,1,3.7067e-05
EquiHeightHistogram,string,4,100,5,0.000162853
EquiHeightHistogram,string,5,100,5,0.000163469
EquiHeightHistogram,int,10,100,1,9.3996e-05
EquiHeightHistogram,string,2,100,5,0.000246415
EquiHeightHistogram,int,1,100,5,0.000120729
EquiHeightHistogram,string,6,100,5,0.000221976
EquiHeightHistogram,int,0,10,5,0.00137739
EquiHeightHistogram,int,0,100,5,7.5319e-05
EquiHeightHistogram,float,8,100,5,0.000263583
EquiHeightHistogram,string,4,10,5,0.00147341
EquiHeightHistogram,string,5,10,5,0.000364552
EquiHeightHistogram,int,1,90000,10,0.000961615
EquiHeightHistogram,int,0,90000,45,0.00105846
EquiHeightHistogram,int,2,90000,10,0.00105541
EquiHeightHistogram,int,4,300000,10,0.00286297
EquiHeightHistogram,int,2,300000,10,0.00289853
EquiHeightHistogram,int,0,300000,100,0.0032071
EquiHeightHistogram,int,7,300000,1,0.00185267
EquiHeightHistogram,int,1,300000,10,0.00187158
EquiHeightHistogram,int,4,300000,1,0.00190834
EquiHeightHistogram,int,12,300000,1,0.00196401
EquiHeightHistogram,int,19,300000,1,0.00207908
EquiHeightHistogram,int,18,300000,1,0.00196205
EquiHeightHistogram,int,6,300000,11,0.00205451
EquiHeightHistogram,int,0,300000,100,0.00226976
EquiHeightHistogram,int,2,300000,10,0.00220212
EquiHeightHistogram,float,6,300000,1,0.00391518
EquiHeightHistogram,int,5,210000,10,0.00252393
EquiHeightHistogram,int,1,300000,10,0.00417627
EquiHeightHistogram,int,3,300000,10,0.00428101
EquiHeightHistogram,int,1,100000,50,0.00341701
EquiHeightHistogram,string,7,100,5,0.000117148
EquiHeightHistogram,float,16,300000,1,0.00388056
EquiHeightHistogram,int,2,300000,10,0.00198672
EquiHeightHistogram,float,14,300000,1,0.00475486
EquiHeightHistogram,float,17,300000,1,0.00472178
EquiHeightHistogram,int,3,300000,100,0.00479732
EquiHeightHistogram,float,3,100000,50,0.00570158
EquiHeightHistogram,int,5,300000,1,0.00495781
EquiHeightHistogram,int,13,1e+06,1,0.00660163
EquiHeightHistogram,float,15,300000,100,0.00842773
EquiHeightHistogram,string,13,300000,2,0.0138465
EquiHeightHistogram,int,0,100000,50,0.0162813
EquiHeightHistogram,string,9,300000,100,0.0153203
EquiHeightHistogram,int,14,1e+06,1,0.0142177
EquiHeightHistogram,int,15,1e+06,1,0.0150066
EquiHeightHistogram,string,4,300000,1,0.0146428
EquiHeightHistogram,int,6,2.10079e+06,1,0.0198608
EquiHeightHistogram,int,1,3.00156e+06,10,0.0216498
EquiHeightHistogram,int,3,3.00156e+06,15,0.0215477
EquiHeightHistogram,int,5,3.00156e+06,10,0.0216044
EquiHeightHistogram,int,7,3.00156e+06,1,0.0214994
EquiHeightHistogram,int,0,3.00156e+06,100,0.0235399
EquiHeightHistogram,int,2,3.00156e+06,10,0.0250594
EquiHeightHistogram,string,5,300000,100,0.0237189
EquiHeightHistogram,int,4,3.00156e+06,100,0.08231
EquiHeightHistogram,string,4,100000,50,0.195813
EquiHeightHistogram,string,2,100000,50,0.199834
EquiHeightHistogram,float,8,3.00156e+06,100,0.260298
EquiHeightHistogram,string,3,300000,100,0.374446
EquiHeightHistogram,string,6,300000,100,0.464671
EquiHeightHistogram,string,11,300000,100,0.502372
EquiHeightHistogram,int,1,300000,10,0.0018179
EquiHeightHistogram,string,7,300000,100,0.543022
EquiHeightHistogram,string,7,300000,100,0.562167
EquiHeightHistogram,string,8,300000,100,0.572464
EquiHeightHistogram,string,20,300000,100,1.21177
EquiHeightHistogram,string,10,300000,100,0.0349059
EquiHeightHistogram,int,0,300000,100,0.00234496
EquiHeightHistogram,string,10,1e+06,100,1.42646
EquiHeightHistogram,int,0,1e+06,100,0.00895063
EquiHeightHistogram,string,16,1e+06,100,1.60395
EquiHeightHistogram,string,9,1e+06,100,1.70427
EquiHeightHistogram,string,12,1e+06,100,1.72954
EquiHeightHistogram,int,2,1e+06,91,0.00613832
EquiHeightHistogram,string,11,1e+06,100,1.73862
EquiHeightHistogram,int,1,1e+06,10,0.00606567
EquiHeightHistogram,string,3,1e+06,100,1.81286
EquiHeightHistogram,string,7,1e+06,100,1.90099
EquiHeightHistogram,string,5,1e+06,100,1.97826
EquiHeightHistogram,string,8,1e+06,100,2.5735
EquiHeightHistogram,string,4,1e+06,100,2.58056
EquiHeightHistogram,string,6,1e+06,100,1.29675
EquiHeightHistogram,string,9,3.00156e+06,100,5.53533
