benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
,EquiHeightHistogram,,0,TableScan,10,1,10.000000,1.000000
,EquiHeightHistogram,,1,TableScan,100,10,100.000000,10.000000
,EquiHeightHistogram,,2,TableScan,100,10,100.000000,10.000000
,EquiHeightHistogram,,3,TableScan,65535,21,65535.000000,21.845001
,EquiHeightHistogram,,4,TableScan,65535,1,65535.000000,0.655519
,EquiHeightHistogram,,5,TableScan,131070,100000,0.000000,0.000000
,EquiHeightHistogram,,6,TableScan,131070,100000,0.000000,0.000000
,EquiHeightHistogram,,7,TableScan,65535,1,65535.000000,0.655519
,EquiHeightHistogram,,8,TableScan,65535,65535,0.000000,0.000000
,EquiHeightHistogram,,9,TableScan,65535,65535,0.000000,0.000000
,EquiHeightHistogram,,10,TableScan,65535,1,65535.000000,0.655519
,EquiHeightHistogram,,11,TableScan,65535,65535,0.000000,0.000000
,EquiHeightHistogram,,12,TableScan,65535,65535,0.000000,0.000000
,EquiHeightHistogram,,13,TableScan,34465,1,34465.000000,0.344971
,EquiHeightHistogram,,14,TableScan,65538,34468,0.000000,0.000000
,EquiHeightHistogram,,15,TableScan,65538,34468,0.000000,0.000000
,EquiHeightHistogram,,16,TableScan,65535,1,65535.000000,0.655519
,EquiHeightHistogram,,17,TableScan,65536,65536,0.000000,0.000000
,EquiHeightHistogram,,18,TableScan,65536,65536,0.000000,0.000000
,EquiHeightHistogram,,19,TableScan,65535,1,65535.000000,0.655519
,EquiHeightHistogram,,20,TableScan,65540,51955,0.000000,0.000000
,EquiHeightHistogram,,21,TableScan,65540,51955,0.000000,0.000000
,EquiHeightHistogram,,22,TableScan,65535,1,65535.000000,0.655519
,EquiHeightHistogram,,23,TableScan,65537,65536,0.000000,0.000000
,EquiHeightHistogram,,24,TableScan,65537,65536,0.000000,0.000000
