HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiWidthHistogram,float,8,10,1,0.000140101
EquiWidthHistogram,float,7,10,5,0.00119647
EqualDistinctCountHistogram,string,4,10,5,0.00128469
EqualDistinctCountHistogram,string,1,10,5,0.00125917
EqualDistinctCountHistogram,string,6,10,5,0.0012776
EqualDistinctCountHistogram,string,3,10,5,0.00125412
EqualDistinctCountHistogram,string,2,10,5,0.00124712
EquiWidthHistogram,float,8,100,5,5.2549e-05
EqualDistinctCountHistogram,string,6,100,5,0.000216464
EquiWidthHistogram,int,1,100,5,0.000182492
EquiWidthHistogram,int,1,90000,10,0.00057402
EquiWidthHistogram,int,19,300000,1,0.00195947
EqualDistinctCountHistogram,string,2,100,5,0.000466002
EqualDistinctCountHistogram,string,7,100,5,0.000425074
EqualDistinctCountHistogram,string,4,100,5,0.000497399
EquiWidthHistogram,int,0,10,5,0.00132412
EqualDistinctCountHistogram,string,5,10,5,0.000575079
EqualDistinctCountHistogram,string,3,100,5,0.00036272
EquiWidthHistogram,float,9,100,1,0.000191528
EquiWidthHistogram,int,2,300000,10,0.00186972
EquiWidthHistogram,int,6,300000,11,0.00251437
EquiWidthHistogram,int,5,300000,1,0.00353888
EquiWidthHistogram,int,18,300000,1,0.00278665
EquiWidthHistogram,int,3,300000,10,0.00368857
EquiWidthHistogram,int,0,90000,45,0.00379301
EquiWidthHistogram,int,2,90000,10,0.000827238
EquiWidthHistogram,int,1,300000,10,0.00355519
EquiWidthHistogram,int,5,210000,10,0.00352984
EquiWidthHistogram,float,14,300000,1,0.00511468
EquiWidthHistogram,int,4,300000,1,0.00356693
EquiWidthHistogram,int,12,300000,1,0.0020407
EquiWidthHistogram,float,16,300000,1,0.00515056
EquiWidthHistogram,int,7,300000,1,0.00365187
EquiWidthHistogram,int,4,300000,10,0.00480101
EquiWidthHistogram,int,10,100,1,0.000114496
EquiWidthHistogram,int,0,100,5,3.382e-05
EquiWidthHistogram,int,0,300000,100,0.00590591
EquiWidthHistogram,int,2,300000,10,0.00215474
EquiWidthHistogram,int,13,1e+06,1,0.00620816
EquiWidthHistogram,int,14,1e+06,1,0.00620089
EquiWidthHistogram,int,0,300000,100,0.0029353
EquiWidthHistogram,int,15,1e+06,1,0.00641057
EqualDistinctCountHistogram,string,5,100,5,0.00042143
EquiWidthHistogram,float,3,100000,50,0.00887988
EquiWidthHistogram,int,3,300000,100,0.00301574
EquiWidthHistogram,float,15,300000,100,0.0109701
EquiWidthHistogram,int,1,300000,10,0.00225107
EquiWidthHistogram,float,17,300000,1,0.00785253
EquiWidthHistogram,float,6,300000,1,0.0041153
EquiWidthHistogram,int,2,300000,10,0.00627299
EqualDistinctCountHistogram,string,13,300000,2,0.0147379
EquiWidthHistogram,int,1,100000,50,0.0142884
EquiWidthHistogram,int,0,100000,50,0.0156234
EqualDistinctCountHistogram,string,9,300000,100,0.0150545
EqualDistinctCountHistogram,string,4,300000,1,0.0145592
EquiWidthHistogram,int,6,2.10079e+06,1,0.0172259
EquiWidthHistogram,int,1,3.00156e+06,10,0.0211754
EquiWidthHistogram,int,5,3.00156e+06,10,0.0219284
EquiWidthHistogram,int,7,3.00156e+06,1,0.0229046
EquiWidthHistogram,int,0,3.00156e+06,100,0.0246246
EquiWidthHistogram,int,3,3.00156e+06,15,0.0229957
EquiWidthHistogram,int,2,3.00156e+06,10,0.0206303
EqualDistinctCountHistogram,string,5,300000,100,0.0248516
EquiWidthHistogram,int,4,3.00156e+06,100,0.0917714
EquiWidthHistogram,float,8,3.00156e+06,100,0.241371
EqualDistinctCountHistogram,string,2,100000,50,0.252959
EqualDistinctCountHistogram,string,4,100000,50,0.296964
EqualDistinctCountHistogram,string,3,300000,100,0.407413
EqualDistinctCountHistogram,string,8,300000,100,0.471322
EqualDistinctCountHistogram,string,7,300000,100,0.482315
EqualDistinctCountHistogram,string,7,300000,100,0.503222
EqualDistinctCountHistogram,string,6,300000,100,0.535206
EqualDistinctCountHistogram,string,11,300000,100,0.716736
EquiWidthHistogram,int,1,300000,10,0.00193447
EqualDistinctCountHistogram,string,20,300000,100,0.961564
EqualDistinctCountHistogram,string,10,300000,100,0.0288904
EquiWidthHistogram,int,0,300000,100,0.00240637
EqualDistinctCountHistogram,string,3,1e+06,100,1.53589
EqualDistinctCountHistogram,string,12,1e+06,100,1.59189
EquiWidthHistogram,int,2,1e+06,91,0.00602437
EqualDistinctCountHistogram,string,10,1e+06,100,1.71058
EqualDistinctCountHistogram,string,4,1e+06,100,1.7104
EquiWidthHistogram,int,0,1e+06,100,0.00930711
EqualDistinctCountHistogram,string,5,1e+06,100,1.71822
EqualDistinctCountHistogram,string,11,1e+06,100,1.74193
EquiWidthHistogram,int,1,1e+06,10,0.00599206
EqualDistinctCountHistogram,string,7,1e+06,100,1.75189
EqualDistinctCountHistogram,string,9,1e+06,100,1.78002
EqualDistinctCountHistogram,string,8,1e+06,100,1.81098
EqualDistinctCountHistogram,string,16,1e+06,100,1.86196
EqualDistinctCountHistogram,string,6,1e+06,100,1.34404
EqualDistinctCountHistogram,string,9,3.00156e+06,100,4.62283
