HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,5,10,5,0.000140471
GDYHistogram,float,9,100,1,0.000102071
EqualDistinctCountHistogram,string,3,100,5,0.00048031
EqualDistinctCountHistogram,string,6,10,5,0.00017132
EqualDistinctCountHistogram,string,3,10,5,0.00018064
GDYHistogram,float,8,10,1,5.8631e-05
EqualDistinctCountHistogram,string,2,10,5,0.000174169
EqualDistinctCountHistogram,string,6,100,5,0.000422809
GDYHistogram,float,7,10,5,0.000533408
EqualDistinctCountHistogram,string,4,10,5,0.000415727
EqualDistinctCountHistogram,string,2,100,5,0.000702561
EqualDistinctCountHistogram,string,5,100,5,0.000736055
GDYHistogram,int,1,100,5,0.00067996
GDYHistogram,int,18,300000,1,0.00180551
GDYHistogram,int,12,300000,1,0.00188259
GDYHistogram,int,2,90000,10,0.00251414
GDYHistogram,int,1,90000,10,0.00263097
GDYHistogram,int,0,90000,45,0.00268853
GDYHistogram,float,17,300000,1,0.00443131
GDYHistogram,int,5,300000,1,0.0027119
EqualDistinctCountHistogram,string,7,100,5,0.000124132
GDYHistogram,float,16,300000,1,0.00444985
GDYHistogram,float,14,300000,1,0.00447539
GDYHistogram,float,8,100,5,0.000571392
GDYHistogram,int,10,100,1,0.000451442
GDYHistogram,int,4,300000,1,0.00182068
GDYHistogram,int,2,300000,10,0.00468387
GDYHistogram,int,14,1e+06,1,0.0077231
GDYHistogram,int,4,300000,10,0.00800723
GDYHistogram,int,0,10,5,0.00218873
EqualDistinctCountHistogram,string,1,10,5,0.00386661
GDYHistogram,int,13,1e+06,1,0.00788352
GDYHistogram,int,1,300000,10,0.00795658
GDYHistogram,int,0,100,5,0.00168594
GDYHistogram,int,3,300000,10,0.00800113
GDYHistogram,int,2,300000,10,0.00811378
GDYHistogram,int,19,300000,1,0.00226294
GDYHistogram,float,6,300000,1,0.00554444
EqualDistinctCountHistogram,string,4,100,5,0.00578571
GDYHistogram,int,15,1e+06,1,0.00790027
GDYHistogram,int,5,210000,10,0.00496689
GDYHistogram,int,1,300000,10,0.00544481
GDYHistogram,int,7,300000,1,0.00331728
GDYHistogram,int,0,300000,100,0.011557
GDYHistogram,int,2,300000,10,0.00712023
GDYHistogram,int,6,2.10079e+06,1,0.0160942
GDYHistogram,int,6,300000,11,0.00529004
GDYHistogram,float,15,300000,100,0.0163224
GDYHistogram,int,3,300000,100,0.00560355
EqualDistinctCountHistogram,string,4,300000,1,0.0135192
EqualDistinctCountHistogram,string,13,300000,2,0.0161906
GDYHistogram,int,7,3.00156e+06,1,0.0223707
GDYHistogram,int,0,300000,100,0.0146959
EqualDistinctCountHistogram,string,9,300000,100,0.0162364
GDYHistogram,int,0,100000,50,0.0354449
GDYHistogram,int,5,3.00156e+06,10,0.0399398
EqualDistinctCountHistogram,string,5,300000,100,0.0255051
GDYHistogram,int,2,3.00156e+06,10,0.0419748
GDYHistogram,int,1,3.00156e+06,10,0.040102
GDYHistogram,int,1,100000,50,0.0450356
GDYHistogram,float,3,100000,50,0.049873
GDYHistogram,int,3,3.00156e+06,15,0.0478874
GDYHistogram,int,0,3.00156e+06,100,0.0871758
GDYHistogram,int,4,3.00156e+06,100,0.194416
EqualDistinctCountHistogram,string,2,100000,50,0.204238
EqualDistinctCountHistogram,string,4,100000,50,0.226655
EqualDistinctCountHistogram,string,8,300000,100,0.435152
EqualDistinctCountHistogram,string,3,300000,100,0.454868
EqualDistinctCountHistogram,string,7,300000,100,0.543928
EqualDistinctCountHistogram,string,6,300000,100,0.560947
EqualDistinctCountHistogram,string,11,300000,100,0.639839
GDYHistogram,int,1,300000,10,0.0036362
EqualDistinctCountHistogram,string,7,300000,100,0.701482
GDYHistogram,float,8,3.00156e+06,100,1.01758
EqualDistinctCountHistogram,string,20,300000,100,1.04191
EqualDistinctCountHistogram,string,10,300000,100,0.0289345
GDYHistogram,int,0,300000,100,0.00385171
EqualDistinctCountHistogram,string,3,1e+06,100,1.61561
EqualDistinctCountHistogram,string,12,1e+06,100,1.63724
GDYHistogram,int,2,1e+06,91,0.0125821
EqualDistinctCountHistogram,string,11,1e+06,100,1.66943
GDYHistogram,int,1,1e+06,10,0.0121197
EqualDistinctCountHistogram,string,8,1e+06,100,1.83536
EqualDistinctCountHistogram,string,4,1e+06,100,1.83695
EqualDistinctCountHistogram,string,16,1e+06,100,1.87864
EqualDistinctCountHistogram,string,7,1e+06,100,1.91267
EqualDistinctCountHistogram,string,5,1e+06,100,1.94244
EqualDistinctCountHistogram,string,10,1e+06,100,2.46348
EqualDistinctCountHistogram,string,9,1e+06,100,2.47707
GDYHistogram,int,0,1e+06,100,0.0244662
EqualDistinctCountHistogram,string,6,1e+06,100,1.24729
EqualDistinctCountHistogram,string,9,3.00156e+06,100,5.66764
