HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,int,1,300000,10,0.00210738
MaxDiffAreaHistogram,int,3,300000,100,0.00300551
MaxDiffAreaHistogram,float,3,100000,50,0.00682222
MaxDiffAreaHistogram,int,5,210000,10,0.00625955
MaxDiffAreaHistogram,int,12,300000,1,0.00377927
MaxDiffAreaHistogram,int,19,300000,1,0.00626379
MaxDiffAreaHistogram,float,16,300000,1,0.00636535
MaxDiffAreaHistogram,int,18,300000,1,0.00628649
MaxDiffAreaHistogram,float,14,300000,1,0.00638797
MaxDiffFrequencyHistogram,string,6,10,5,0.00462206
MaxDiffFrequencyHistogram,string,5,10,5,0.00265762
MaxDiffFrequencyHistogram,string,3,10,5,0.00266227
MaxDiffAreaHistogram,float,17,300000,1,0.00638544
MaxDiffAreaHistogram,int,4,300000,1,0.00494819
MaxDiffAreaHistogram,int,2,300000,10,0.0066928
MaxDiffAreaHistogram,int,7,300000,1,0.00477169
MaxDiffAreaHistogram,float,7,10,5,0.00267073
MaxDiffFrequencyHistogram,string,4,10,5,0.00278893
MaxDiffAreaHistogram,int,2,90000,10,0.0030163
MaxDiffFrequencyHistogram,string,1,10,5,0.000721439
MaxDiffAreaHistogram,int,0,10,5,0.000304448
MaxDiffAreaHistogram,int,0,90000,45,0.00573079
MaxDiffAreaHistogram,int,15,1e+06,1,0.00625728
MaxDiffAreaHistogram,int,14,1e+06,1,0.00627657
MaxDiffAreaHistogram,int,13,1e+06,1,0.00629731
MaxDiffAreaHistogram,int,2,300000,10,0.00193242
MaxDiffAreaHistogram,int,0,300000,100,0.00878951
MaxDiffAreaHistogram,int,1,90000,10,0.000769825
MaxDiffAreaHistogram,int,6,300000,11,0.00710093
MaxDiffAreaHistogram,float,8,10,1,0.00108118
MaxDiffFrequencyHistogram,string,2,10,5,0.00113662
MaxDiffAreaHistogram,float,15,300000,100,0.0132794
MaxDiffFrequencyHistogram,string,13,300000,2,0.0160659
MaxDiffAreaHistogram,float,9,100,1,6.2208e-05
MaxDiffAreaHistogram,int,1,100,5,0.000106856
MaxDiffFrequencyHistogram,string,4,100,5,0.000368759
MaxDiffAreaHistogram,int,1,300000,10,0.00193382
MaxDiffAreaHistogram,int,5,300000,1,0.00330366
MaxDiffFrequencyHistogram,string,4,300000,1,0.0153036
MaxDiffAreaHistogram,int,3,300000,10,0.0060955
MaxDiffAreaHistogram,int,10,100,1,0.000682431
MaxDiffFrequencyHistogram,string,5,100,5,0.00057949
MaxDiffFrequencyHistogram,string,2,100,5,0.00143141
MaxDiffAreaHistogram,float,8,100,5,0.000931549
MaxDiffFrequencyHistogram,string,7,100,5,0.0063002
MaxDiffAreaHistogram,int,0,100,5,2.1772e-05
MaxDiffAreaHistogram,int,2,300000,10,0.00674238
