HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,int,2,300000,10,0.00191227
MaxDiffFrequencyHistogram,int,18,300000,1,0.00207298
MaxDiffFrequencyHistogram,float,17,300000,1,0.00406751
MaxDiffFrequencyHistogram,int,2,90000,10,0.000662794
MaxDiffFrequencyHistogram,int,7,300000,1,0.00322274
MaxDiffFrequencyHistogram,int,6,300000,11,0.00314409
MaxDiffFrequencyHistogram,int,5,210000,10,0.00203288
MaxDiffFrequencyHistogram,float,14,300000,1,0.00503161
MaxDiffFrequencyHistogram,int,4,300000,1,0.00354836
MaxDiffFrequencyHistogram,int,19,300000,1,0.00215528
MaxDiffFrequencyHistogram,float,16,300000,1,0.00403179
MaxDiffFrequencyHistogram,int,1,90000,10,0.00511497
MaxDiffFrequencyHistogram,int,12,300000,1,0.00483318
MaxDiffFrequencyHistogram,int,10,100,1,0.00205722
MaxDiffFrequencyHistogram,int,1,300000,10,0.00698471
MaxDiffFrequencyHistogram,float,9,100,1,0.00333039
MaxDiffFrequencyHistogram,int,5,300000,1,0.0031827
MaxDiffFrequencyHistogram,string,2,100,5,0.000145187
MaxDiffFrequencyHistogram,string,5,10,5,0.000212079
MaxDiffFrequencyHistogram,int,0,100,5,8.0791e-05
MaxDiffFrequencyHistogram,string,1,10,5,0.00354825
MaxDiffFrequencyHistogram,float,8,100,5,0.00344994
MaxDiffFrequencyHistogram,string,6,100,5,0.00361543
MaxDiffFrequencyHistogram,int,3,300000,10,0.00702093
MaxDiffFrequencyHistogram,float,6,300000,1,0.00720017
MaxDiffFrequencyHistogram,string,7,100,5,0.000350967
MaxDiffFrequencyHistogram,string,5,100,5,0.00166691
MaxDiffFrequencyHistogram,string,3,100,5,0.00376749
MaxDiffFrequencyHistogram,int,4,300000,10,0.00753142
MaxDiffFrequencyHistogram,int,1,300000,10,0.00526795
MaxDiffFrequencyHistogram,int,0,10,5,0.00392762
MaxDiffFrequencyHistogram,float,8,10,1,0.000326895
MaxDiffFrequencyHistogram,int,1,100,5,0.00083297
MaxDiffFrequencyHistogram,int,0,90000,45,0.00981406
MaxDiffFrequencyHistogram,string,4,100,5,0.00131756
MaxDiffFrequencyHistogram,int,2,300000,10,0.00674423
MaxDiffFrequencyHistogram,string,3,10,5,0.00133575
MaxDiffFrequencyHistogram,int,2,300000,10,0.00332588
MaxDiffFrequencyHistogram,int,0,300000,100,0.00937435
MaxDiffFrequencyHistogram,string,6,10,5,7.4114e-05
MaxDiffFrequencyHistogram,string,4,10,5,5.88e-05
MaxDiffFrequencyHistogram,float,7,10,5,6.1e-05
MaxDiffFrequencyHistogram,string,2,10,5,5.9273e-05
MaxDiffFrequencyHistogram,int,0,300000,100,0.0090146
MaxDiffFrequencyHistogram,int,3,300000,100,0.0092983
MaxDiffFrequencyHistogram,int,6,2.10079e+06,1,0.014622
MaxDiffFrequencyHistogram,float,3,100000,50,0.00794084
MaxDiffFrequencyHistogram,string,13,300000,2,0.0161416
MaxDiffFrequencyHistogram,float,15,300000,100,0.0185182
MaxDiffFrequencyHistogram,string,4,300000,1,0.0136778
MaxDiffFrequencyHistogram,int,14,1e+06,1,0.00671055
MaxDiffFrequencyHistogram,int,3,3.00156e+06,15,0.0207486
MaxDiffFrequencyHistogram,int,15,1e+06,1,0.00877977
MaxDiffFrequencyHistogram,int,5,3.00156e+06,10,0.0212141
MaxDiffFrequencyHistogram,string,9,300000,100,0.0160455
MaxDiffFrequencyHistogram,int,7,3.00156e+06,1,0.0200804
MaxDiffFrequencyHistogram,int,1,3.00156e+06,10,0.0249002
MaxDiffFrequencyHistogram,int,13,1e+06,1,0.0103481
MaxDiffFrequencyHistogram,int,2,3.00156e+06,10,0.0270107
MaxDiffFrequencyHistogram,int,0,3.00156e+06,100,0.0319209
MaxDiffFrequencyHistogram,int,0,100000,50,0.0273478
MaxDiffFrequencyHistogram,int,1,100000,50,0.0331178
MaxDiffFrequencyHistogram,string,5,300000,100,0.0294659
MaxDiffFrequencyHistogram,int,4,3.00156e+06,100,0.108819
MaxDiffFrequencyHistogram,float,8,3.00156e+06,100,0.277723
MaxDiffFrequencyHistogram,string,2,100000,50,0.266539
MaxDiffFrequencyHistogram,string,4,100000,50,0.285143
MaxDiffFrequencyHistogram,string,3,300000,100,0.442818
MaxDiffFrequencyHistogram,string,7,300000,100,0.496164
MaxDiffFrequencyHistogram,string,8,300000,100,0.517162
MaxDiffFrequencyHistogram,string,11,300000,100,0.551788
MaxDiffFrequencyHistogram,int,1,300000,10,0.00185632
MaxDiffFrequencyHistogram,string,7,300000,100,0.564167
MaxDiffFrequencyHistogram,string,6,300000,100,0.581534
MaxDiffFrequencyHistogram,string,20,300000,100,1.03064
MaxDiffFrequencyHistogram,string,10,300000,100,0.0297462
MaxDiffFrequencyHistogram,int,0,300000,100,0.00205374
MaxDiffFrequencyHistogram,string,7,1e+06,100,1.44637
MaxDiffFrequencyHistogram,string,10,1e+06,100,1.456
MaxDiffFrequencyHistogram,int,0,1e+06,100,0.013015
