HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,int,11,198,5,0.00016281
EqualDistinctCountHistogram,string,24,24,5,0.00044541
EqualDistinctCountHistogram,float,30,24,5,0.000217975
EqualDistinctCountHistogram,string,22,24,5,0.000342826
EqualDistinctCountHistogram,float,29,24,2,0.000200482
EqualDistinctCountHistogram,string,10,495,1,7.3541e-05
EqualDistinctCountHistogram,string,17,42,5,0.000418439
EqualDistinctCountHistogram,int,12,24,5,5.4156e-05
EqualDistinctCountHistogram,string,19,42,5,0.000340728
EqualDistinctCountHistogram,int,5,200,5,0.000290501
EqualDistinctCountHistogram,float,24,42,2,0.00039631
EqualDistinctCountHistogram,string,18,490,1,0.000247868
EqualDistinctCountHistogram,string,19,24,5,8.3343e-05
EqualDistinctCountHistogram,string,2,20,5,0.000754435
EqualDistinctCountHistogram,string,12,492,1,0.000358116
EqualDistinctCountHistogram,int,12,199,5,0.000482535
EqualDistinctCountHistogram,string,14,24,5,0.000159455
EqualDistinctCountHistogram,string,2,24,4,3.5975e-05
EqualDistinctCountHistogram,string,9,10,2,0.000138909
EqualDistinctCountHistogram,string,5,9,5,0.000287774
EqualDistinctCountHistogram,string,22,42,5,0.000683962
EqualDistinctCountHistogram,int,0,500,5,0.000143953
EqualDistinctCountHistogram,string,23,42,1,0.000218257
EqualDistinctCountHistogram,string,1,200,5,0.000292207
EqualDistinctCountHistogram,string,14,42,5,9.7902e-05
EqualDistinctCountHistogram,int,9,24,5,7.2034e-05
EqualDistinctCountHistogram,string,8,493,2,7.672e-05
EqualDistinctCountHistogram,string,7,42,1,6.842e-05
EqualDistinctCountHistogram,string,20,24,5,2.7145e-05
EqualDistinctCountHistogram,int,10,198,5,0.00088399
EqualDistinctCountHistogram,int,9,42,5,3.0622e-05
EqualDistinctCountHistogram,string,10,24,3,8.937e-06
EqualDistinctCountHistogram,float,13,9,1,0.000472831
EqualDistinctCountHistogram,string,10,10,2,0.000440162
EqualDistinctCountHistogram,string,4,42,5,3.0109e-05
EqualDistinctCountHistogram,string,12,42,5,0.000166879
EqualDistinctCountHistogram,string,4,9,5,0.00063104
EqualDistinctCountHistogram,int,0,24,5,2.6644e-05
EqualDistinctCountHistogram,int,0,200,5,3.7609e-05
EqualDistinctCountHistogram,int,13,42,5,0.000122984
EqualDistinctCountHistogram,string,11,492,1,0.000455999
EqualDistinctCountHistogram,string,27,24,5,0.000121085
EqualDistinctCountHistogram,int,3,9,5,0.000179965
EqualDistinctCountHistogram,int,2,493,5,0.000385452
EqualDistinctCountHistogram,int,0,10,5,9.1804e-05
EqualDistinctCountHistogram,string,2,42,4,0.000138994
EqualDistinctCountHistogram,string,2,200,4,0.000445992
EqualDistinctCountHistogram,string,3,21,3,7.6098e-05
EqualDistinctCountHistogram,string,9,494,1,0.000948439
EqualDistinctCountHistogram,float,25,42,5,0.000273049
EqualDistinctCountHistogram,string,5,20,5,0.000372638
EqualDistinctCountHistogram,string,17,24,5,3.0776e-05
EqualDistinctCountHistogram,string,7,24,3,4.3513e-05
EqualDistinctCountHistogram,string,15,42,5,0.000133917
EqualDistinctCountHistogram,int,5,42,5,3.3051e-05
EqualDistinctCountHistogram,string,21,24,5,0.000138616
EqualDistinctCountHistogram,string,12,10,1,0.000156978
EqualDistinctCountHistogram,string,11,24,5,3.168e-05
EqualDistinctCountHistogram,string,2,9,5,9.0686e-05
EqualDistinctCountHistogram,string,8,200,1,0.000585599
EqualDistinctCountHistogram,string,1,24,5,3.2734e-05
EqualDistinctCountHistogram,string,16,497,5,0.00209851
EqualDistinctCountHistogram,string,20,42,3,0.00038967
EqualDistinctCountHistogram,string,21,42,3,0.000273878
EqualDistinctCountHistogram,int,6,490,1,0.000113455
EqualDistinctCountHistogram,string,10,42,5,0.000151425
EqualDistinctCountHistogram,string,11,42,5,0.000157577
EqualDistinctCountHistogram,int,0,42,5,8.7631e-05
EqualDistinctCountHistogram,string,26,24,3,0.000281272
EqualDistinctCountHistogram,string,1,42,5,6.4889e-05
EqualDistinctCountHistogram,int,16,24,5,0.000103124
EqualDistinctCountHistogram,string,6,24,5,5.6609e-05
EqualDistinctCountHistogram,string,6,9,5,0.000717617
EqualDistinctCountHistogram,int,13,198,5,0.00026496
EqualDistinctCountHistogram,string,25,24,3,0.000331231
EqualDistinctCountHistogram,string,1,500,5,0.00172126
EqualDistinctCountHistogram,string,3,100,3,9.9784e-05
EqualDistinctCountHistogram,string,15,24,5,0.000117683
EqualDistinctCountHistogram,string,23,24,5,0.000370492
EqualDistinctCountHistogram,string,8,10,4,0.000162645
EqualDistinctCountHistogram,string,13,24,5,0.00011515
EqualDistinctCountHistogram,int,5,24,5,0.000140877
EqualDistinctCountHistogram,string,3,12,3,5.3679e-05
EqualDistinctCountHistogram,string,7,9,5,0.000299076
EqualDistinctCountHistogram,int,3,86400,24,0.000855507
EqualDistinctCountHistogram,string,11,10,5,0.000513678
EqualDistinctCountHistogram,string,1,20,5,0.000650466
EqualDistinctCountHistogram,string,1,10,5,4.4865e-05
EqualDistinctCountHistogram,string,3,20,4,0.000701271
EqualDistinctCountHistogram,int,4,86400,43,0.00118443
EqualDistinctCountHistogram,int,5,86400,43,0.000929629
EqualDistinctCountHistogram,int,0,20,5,8.1717e-05
EqualDistinctCountHistogram,string,4,20,5,0.00149904
EqualDistinctCountHistogram,int,4,199,5,0.000452482
EqualDistinctCountHistogram,int,2,20,5,0.000346704
EqualDistinctCountHistogram,int,1,20,5,0.000415967
EqualDistinctCountHistogram,string,6,199,2,0.000429194
EqualDistinctCountHistogram,string,9,36000,3,0.00293011
EqualDistinctCountHistogram,string,13,491,1,0.000361281
EqualDistinctCountHistogram,string,16,42,5,0.000671003
EqualDistinctCountHistogram,string,7,86400,3,0.00770422
EqualDistinctCountHistogram,int,3,493,5,0.00480216
EqualDistinctCountHistogram,int,6,35,5,0.00230403
EqualDistinctCountHistogram,string,17,494,1,0.00457552
EqualDistinctCountHistogram,string,7,490,5,0.000275979
EqualDistinctCountHistogram,string,18,42,5,0.0056375
EqualDistinctCountHistogram,string,15,494,1,0.00353164
EqualDistinctCountHistogram,string,9,199,5,0.00385855
EqualDistinctCountHistogram,int,7,53,5,0.0030209
EqualDistinctCountHistogram,string,28,24,1,0.00357608
EqualDistinctCountHistogram,string,14,493,1,0.00288959
EqualDistinctCountHistogram,int,0,20,5,0.00539482
EqualDistinctCountHistogram,string,8,42,5,7.545e-05
EqualDistinctCountHistogram,float,5,492,1,5.5519e-05
EqualDistinctCountHistogram,int,18,24,5,7.2225e-05
EqualDistinctCountHistogram,int,8,24,5,1.2796e-05
EqualDistinctCountHistogram,int,4,491,5,0.000147417
EqualDistinctCountHistogram,int,19,73049,36,0.00102808
EqualDistinctCountHistogram,int,9,73049,31,0.000500309
EqualDistinctCountHistogram,string,26,73049,2,0.00263202
EqualDistinctCountHistogram,int,12,482614,12,0.00325032
EqualDistinctCountHistogram,string,18,73049,2,0.00408318
EqualDistinctCountHistogram,int,17,482335,100,0.00394011
EqualDistinctCountHistogram,int,8,73049,12,0.000497088
EqualDistinctCountHistogram,string,16,73049,2,0.00259094
EqualDistinctCountHistogram,float,11,242496,6,0.0103464
EqualDistinctCountHistogram,int,6,73049,36,0.000526404
EqualDistinctCountHistogram,string,19,101760,1,0.00692075
EqualDistinctCountHistogram,string,18,101749,21,0.00711859
EqualDistinctCountHistogram,string,12,242461,3,0.0196211
EqualDistinctCountHistogram,string,23,73049,1,0.00653034
EqualDistinctCountHistogram,string,6,242493,100,0.0199143
EqualDistinctCountHistogram,string,8,86400,4,0.0114268
EqualDistinctCountHistogram,int,20,73049,36,0.00726779
EqualDistinctCountHistogram,int,10,73049,4,0.000474675
EqualDistinctCountHistogram,string,27,73049,2,0.00681984
EqualDistinctCountHistogram,string,4,242490,20,0.0170514
EqualDistinctCountHistogram,string,15,101750,7,0.00706282
EqualDistinctCountHistogram,int,9,101758,16,0.00218648
EqualDistinctCountHistogram,string,24,73049,1,0.0029602
EqualDistinctCountHistogram,string,6,86400,2,0.0083922
