HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,float,13,9,1,5.306e-05
EquiHeightHistogram,string,22,42,5,0.000192056
EquiHeightHistogram,string,20,42,3,0.000406729
EquiHeightHistogram,string,14,493,1,0.000349766
EquiHeightHistogram,string,8,10,4,0.00040487
EquiHeightHistogram,string,12,10,1,0.000269012
EquiHeightHistogram,string,12,42,5,8.532e-05
EquiHeightHistogram,int,3,9,5,2.5498e-05
EquiHeightHistogram,string,5,9,5,0.000389928
EquiHeightHistogram,string,12,492,1,0.000197451
EquiHeightHistogram,string,21,42,3,0.00037251
EquiHeightHistogram,string,10,42,5,0.000145963
EquiHeightHistogram,string,11,492,1,0.000355996
EquiHeightHistogram,string,2,42,4,4.0861e-05
EquiHeightHistogram,string,2,9,5,5.3483e-05
EquiHeightHistogram,int,0,42,5,6.7313e-05
EquiHeightHistogram,string,11,42,5,0.00012582
EquiHeightHistogram,string,1,42,5,4.6693e-05
EquiHeightHistogram,int,4,491,5,0.000321141
EquiHeightHistogram,string,18,490,1,0.000120696
EquiHeightHistogram,int,2,493,5,0.00028858
EquiHeightHistogram,string,6,9,5,0.000625338
EquiHeightHistogram,string,8,493,2,8.225e-05
EquiHeightHistogram,int,5,86400,43,0.000991194
EquiHeightHistogram,string,10,10,2,0.000337171
EquiHeightHistogram,int,0,20,5,0.000714849
EquiHeightHistogram,int,0,10,5,0.000129617
EquiHeightHistogram,int,4,86400,43,0.00192269
EquiHeightHistogram,string,19,42,5,0.000175038
EquiHeightHistogram,string,11,10,5,0.000220636
EquiHeightHistogram,string,4,20,5,0.000194683
EquiHeightHistogram,string,17,494,1,0.000277804
EquiHeightHistogram,int,9,42,5,4.1392e-05
EquiHeightHistogram,string,1,10,5,4.5993e-05
EquiHeightHistogram,string,16,42,5,0.00043679
EquiHeightHistogram,string,7,490,5,0.000144981
EquiHeightHistogram,int,6,35,5,5.0769e-05
EquiHeightHistogram,string,13,491,1,0.000245455
EquiHeightHistogram,int,4,199,5,3.6126e-05
EquiHeightHistogram,string,6,199,2,5.7198e-05
EquiHeightHistogram,string,7,9,5,0.000238713
EquiHeightHistogram,string,26,24,3,2.7703e-05
EquiHeightHistogram,string,3,20,4,0.000319842
EquiHeightHistogram,string,5,20,5,0.00102582
EquiHeightHistogram,int,3,493,5,0.000334193
EquiHeightHistogram,int,16,24,5,5.6202e-05
EquiHeightHistogram,string,9,10,2,0.00020533
EquiHeightHistogram,string,6,24,5,6.3873e-05
EquiHeightHistogram,float,30,24,5,0.000140746
EquiHeightHistogram,string,10,495,1,0.000326935
EquiHeightHistogram,int,7,53,5,0.000524963
EquiHeightHistogram,string,2,20,5,0.000464614
EquiHeightHistogram,int,12,199,5,0.000414302
EquiHeightHistogram,string,20,24,5,0.000107646
EquiHeightHistogram,string,1,20,5,0.00104611
EquiHeightHistogram,string,9,36000,3,0.00366601
EquiHeightHistogram,string,10,24,3,4.7061e-05
EquiHeightHistogram,int,0,500,5,0.000230023
EquiHeightHistogram,int,0,24,5,1.4618e-05
EquiHeightHistogram,string,2,200,4,0.000192138
EquiHeightHistogram,string,17,42,5,0.000949155
EquiHeightHistogram,string,16,497,5,0.00155763
EquiHeightHistogram,string,7,42,1,0.000296533
EquiHeightHistogram,int,6,490,1,2.5944e-05
EquiHeightHistogram,string,25,24,3,0.000381517
EquiHeightHistogram,string,8,200,1,0.000203285
EquiHeightHistogram,string,27,24,5,0.000965148
EquiHeightHistogram,string,15,24,5,6.9086e-05
EquiHeightHistogram,string,18,42,5,0.00126237
EquiHeightHistogram,float,24,42,2,0.000465137
EquiHeightHistogram,float,29,24,2,0.00117913
EquiHeightHistogram,string,8,86400,4,0.00530878
EquiHeightHistogram,string,14,42,5,2.7783e-05
EquiHeightHistogram,string,4,42,5,1.3878e-05
EquiHeightHistogram,string,23,42,1,0.000693606
EquiHeightHistogram,string,6,86400,2,0.00655731
EquiHeightHistogram,int,5,24,5,0.00167268
EquiHeightHistogram,float,25,42,5,0.000930569
EquiHeightHistogram,int,13,42,5,0.000299199
EquiHeightHistogram,string,17,24,5,0.000504409
EquiHeightHistogram,string,19,24,5,0.00180391
EquiHeightHistogram,string,7,24,3,3.4413e-05
