HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,22,42,5,0.000262582
EqualDistinctCountHistogram,string,6,199,2,0.000377978
EqualDistinctCountHistogram,string,9,199,5,0.000452617
EquiWidthHistogram,int,13,198,5,0.000233745
EquiWidthHistogram,int,11,198,5,0.000245954
EqualDistinctCountHistogram,string,8,200,1,0.000572124
EqualDistinctCountHistogram,string,21,24,5,0.000376189
EqualDistinctCountHistogram,string,22,24,5,0.00038887
EqualDistinctCountHistogram,string,17,42,5,0.000420147
EqualDistinctCountHistogram,string,3,100,3,3.329e-05
EquiWidthHistogram,int,4,199,5,0.000923639
EqualDistinctCountHistogram,string,16,42,5,0.000698002
EqualDistinctCountHistogram,string,7,42,1,5.1435e-05
EqualDistinctCountHistogram,string,2,20,5,0.000503344
EquiWidthHistogram,int,12,24,5,5.6052e-05
EqualDistinctCountHistogram,string,11,24,5,6.6981e-05
EqualDistinctCountHistogram,string,1,200,5,0.000179725
EqualDistinctCountHistogram,string,28,24,1,0.000218356
EqualDistinctCountHistogram,string,18,42,5,0.000874077
EquiWidthHistogram,int,5,200,5,0.00105426
EqualDistinctCountHistogram,string,4,20,5,0.000924025
EquiWidthHistogram,int,5,86400,43,0.00107081
EqualDistinctCountHistogram,string,5,20,5,0.00103579
EquiWidthHistogram,int,6,35,5,7.0898e-05
EqualDistinctCountHistogram,string,2,24,4,3.4327e-05
EqualDistinctCountHistogram,string,1,24,5,3.6354e-05
EqualDistinctCountHistogram,string,8,42,5,2.8864e-05
EquiWidthHistogram,int,12,199,5,0.000213604
EqualDistinctCountHistogram,string,25,24,3,0.000850764
EquiWidthHistogram,int,3,86400,24,0.00131079
EqualDistinctCountHistogram,string,20,42,3,0.000899488
EquiWidthHistogram,float,24,42,2,0.000850136
EqualDistinctCountHistogram,string,2,200,4,5.2919e-05
EqualDistinctCountHistogram,string,14,493,1,7.9034e-05
EqualDistinctCountHistogram,string,12,492,1,0.000128293
EqualDistinctCountHistogram,string,17,494,1,0.000155322
EquiWidthHistogram,int,18,24,5,6.7355e-05
EqualDistinctCountHistogram,string,15,24,5,0.000141575
EqualDistinctCountHistogram,string,10,495,1,0.00022725
EqualDistinctCountHistogram,string,7,490,5,0.000113053
EquiWidthHistogram,int,8,24,5,7.5705e-05
EquiWidthHistogram,int,5,24,5,0.000110944
EqualDistinctCountHistogram,string,14,42,5,0.000190875
EqualDistinctCountHistogram,string,10,42,5,0.00031911
EqualDistinctCountHistogram,string,4,42,5,5.2677e-05
EquiWidthHistogram,int,4,86400,43,0.0016596
EquiWidthHistogram,int,0,500,5,0.000135197
EquiWidthHistogram,int,0,42,5,8.168e-05
EquiWidthHistogram,int,4,491,5,0.00074662
EquiWidthHistogram,int,7,53,5,0.000556691
EqualDistinctCountHistogram,string,4,9,5,1.4659e-05
EqualDistinctCountHistogram,string,8,10,4,1.02e-05
EqualDistinctCountHistogram,string,3,20,4,0.000424564
EqualDistinctCountHistogram,string,11,10,5,0.000136448
EqualDistinctCountHistogram,string,7,9,5,0.0001785
EqualDistinctCountHistogram,string,1,10,5,0.00010315
EquiWidthHistogram,int,10,198,5,0.000893553
EqualDistinctCountHistogram,string,18,490,1,0.000371798
EquiWidthHistogram,int,0,20,5,0.000460129
EquiWidthHistogram,int,0,200,5,0.000104683
EqualDistinctCountHistogram,string,8,493,2,0.000188144
EqualDistinctCountHistogram,string,12,42,5,0.00260237
EqualDistinctCountHistogram,string,2,42,4,4.8728e-05
EqualDistinctCountHistogram,string,12,10,1,0.000177067
EqualDistinctCountHistogram,string,27,24,5,0.000315497
EqualDistinctCountHistogram,string,13,491,1,0.000603245
EqualDistinctCountHistogram,string,17,24,5,3.5442e-05
EqualDistinctCountHistogram,string,2,9,5,0.000115203
EqualDistinctCountHistogram,string,1,20,5,0.000571647
EquiWidthHistogram,float,13,9,1,0.000635331
EquiWidthHistogram,int,2,493,5,0.00220626
EqualDistinctCountHistogram,string,9,10,2,0.00046066
EqualDistinctCountHistogram,string,7,24,3,7.253e-05
EqualDistinctCountHistogram,string,10,10,2,0.000205349
EquiWidthHistogram,int,3,9,5,0.00027629
EquiWidthHistogram,int,0,10,5,5.2268e-05
EqualDistinctCountHistogram,string,23,24,5,0.000438784
EqualDistinctCountHistogram,string,13,24,5,0.000102961
EqualDistinctCountHistogram,string,3,12,3,6.6286e-05
EquiWidthHistogram,int,3,493,5,0.00121281
EqualDistinctCountHistogram,string,7,86400,3,0.00523318
EqualDistinctCountHistogram,string,5,9,5,0.000758189
EquiWidthHistogram,float,30,24,5,0.000958143
EquiWidthHistogram,float,29,24,2,0.000946747
EqualDistinctCountHistogram,string,26,24,3,0.0008376
EquiWidthHistogram,float,25,42,5,0.000482222
EqualDistinctCountHistogram,string,15,494,1,0.000619066
EqualDistinctCountHistogram,string,20,24,5,0.000270687
EqualDistinctCountHistogram,string,19,42,5,0.00106232
EquiWidthHistogram,float,5,492,1,2.7153e-05
EqualDistinctCountHistogram,string,15,42,5,7.6855e-05
EquiWidthHistogram,int,5,42,5,3.5473e-05
EqualDistinctCountHistogram,string,23,42,1,0.000483171
EquiWidthHistogram,float,11,242496,6,0.00341285
EqualDistinctCountHistogram,string,21,42,3,0.000419776
EquiWidthHistogram,int,16,24,5,0.0016222
EqualDistinctCountHistogram,string,24,24,5,0.000896263
EquiWidthHistogram,int,9,42,5,0.00161039
EqualDistinctCountHistogram,string,10,24,3,0.00162429
EquiWidthHistogram,int,19,73049,36,0.000791205
EquiWidthHistogram,int,9,73049,31,0.000448991
EquiWidthHistogram,int,0,24,5,0.00188747
EquiWidthHistogram,int,13,42,5,0.0018961
EqualDistinctCountHistogram,string,24,73049,1,0.00249736
EqualDistinctCountHistogram,string,19,24,5,0.0052193
EqualDistinctCountHistogram,string,6,24,5,0.00327293
EqualDistinctCountHistogram,string,6,86400,2,0.00519379
EqualDistinctCountHistogram,string,6,9,5,0.00402766
EqualDistinctCountHistogram,string,9,36000,3,0.00516517
EqualDistinctCountHistogram,string,27,73049,2,0.00342875
EqualDistinctCountHistogram,string,23,73049,1,0.00573752
EqualDistinctCountHistogram,string,3,21,3,0.00360426
EqualDistinctCountHistogram,string,18,73049,2,0.00557123
EqualDistinctCountHistogram,string,14,24,5,0.00646383
EquiWidthHistogram,int,9,24,5,0.00314251
EqualDistinctCountHistogram,string,14,73049,7,0.00429477
EqualDistinctCountHistogram,string,11,42,5,0.00657404
EqualDistinctCountHistogram,string,8,86400,4,0.00970636
EqualDistinctCountHistogram,string,11,492,1,0.00447509
EqualDistinctCountHistogram,string,9,494,1,0.00650844
EqualDistinctCountHistogram,string,1,42,5,0.00016411
EquiWidthHistogram,int,2,20,5,0.000114378
EquiWidthHistogram,int,8,73049,12,0.000534814
EquiWidthHistogram,int,17,1.41102e+06,100,0.0119142
EquiWidthHistogram,int,0,20,5,0.000171264
EquiWidthHistogram,int,1,20,5,0.000316514
EqualDistinctCountHistogram,string,16,497,5,0.00885506
EqualDistinctCountHistogram,string,17,73049,2,0.00249157
EquiWidthHistogram,int,20,73049,36,0.00254309
EqualDistinctCountHistogram,string,1,500,5,0.000973072
EquiWidthHistogram,int,6,490,1,0.000100653
EquiWidthHistogram,int,10,73049,4,0.000468934
EqualDistinctCountHistogram,string,25,73049,2,0.00329079
EqualDistinctCountHistogram,string,8,242446,51,0.015017
EquiWidthHistogram,int,7,73049,7,0.00275085
EqualDistinctCountHistogram,string,10,242351,1,0.0191406
