HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,float,13,9,1,0.000352741
EqualDistinctCountHistogram,string,17,42,5,0.000398907
GDYHistogram,int,12,199,5,0.000692071
GDYHistogram,int,4,199,5,0.000423374
EqualDistinctCountHistogram,string,12,492,1,2.9666e-05
GDYHistogram,int,5,200,5,0.000704357
GDYHistogram,int,7,53,5,0.000530251
EqualDistinctCountHistogram,string,11,10,5,0.000456238
EqualDistinctCountHistogram,string,18,490,1,0.000179575
EqualDistinctCountHistogram,string,20,42,3,0.000445228
EqualDistinctCountHistogram,string,6,9,5,0.000470784
EqualDistinctCountHistogram,string,12,10,1,0.000476316
EqualDistinctCountHistogram,string,7,9,5,0.00034942
EqualDistinctCountHistogram,string,10,495,1,0.000190263
EqualDistinctCountHistogram,string,11,492,1,0.000102843
EqualDistinctCountHistogram,string,22,42,5,0.000305652
GDYHistogram,float,25,42,5,0.000807392
GDYHistogram,int,11,198,5,0.000876057
EqualDistinctCountHistogram,string,2,200,4,6.0726e-05
EqualDistinctCountHistogram,string,7,42,1,4.0711e-05
GDYHistogram,int,3,9,5,9.2571e-05
EqualDistinctCountHistogram,string,19,42,5,0.000610097
GDYHistogram,float,24,42,2,0.000457255
GDYHistogram,int,13,198,5,0.000796691
EqualDistinctCountHistogram,string,1,10,5,4.6553e-05
EqualDistinctCountHistogram,string,2,9,5,4.9262e-05
EqualDistinctCountHistogram,string,10,42,5,0.000112159
EqualDistinctCountHistogram,string,8,493,2,5.3693e-05
EqualDistinctCountHistogram,string,12,42,5,0.000105881
EqualDistinctCountHistogram,string,14,493,1,0.000114161
GDYHistogram,int,0,500,5,0.000173202
GDYHistogram,int,2,493,5,0.000212666
EqualDistinctCountHistogram,string,2,42,4,4.2475e-05
GDYHistogram,int,0,42,5,6.5691e-05
EqualDistinctCountHistogram,string,15,42,5,0.000212918
EqualDistinctCountHistogram,string,8,10,4,0.000649029
EqualDistinctCountHistogram,string,3,100,3,0.000174087
GDYHistogram,int,9,42,5,0.000253175
GDYHistogram,int,5,42,5,7.7886e-05
EqualDistinctCountHistogram,string,14,42,5,0.000296142
EqualDistinctCountHistogram,string,1,200,5,0.00047444
EqualDistinctCountHistogram,string,4,42,5,5.7666e-05
