HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,int,7,53,5,0.000352058
MaxDiffAreaHistogram,int,3,86400,24,0.000983801
MaxDiffAreaHistogram,int,0,20,5,0.000231209
MaxDiffAreaHistogram,float,24,42,2,0.000150673
MaxDiffAreaHistogram,int,4,199,5,0.000340848
MaxDiffFrequencyHistogram,string,22,24,5,5.1616e-05
MaxDiffFrequencyHistogram,string,19,42,5,0.000231421
MaxDiffAreaHistogram,float,25,42,5,0.000202798
MaxDiffFrequencyHistogram,string,5,20,5,0.000873674
MaxDiffAreaHistogram,int,12,24,5,1.3578e-05
MaxDiffAreaHistogram,int,9,42,5,3.1977e-05
MaxDiffFrequencyHistogram,string,2,24,4,1.1369e-05
MaxDiffFrequencyHistogram,string,6,199,2,0.000536511
MaxDiffFrequencyHistogram,string,14,42,5,9.1822e-05
MaxDiffFrequencyHistogram,string,11,10,5,0.000327514
MaxDiffFrequencyHistogram,string,17,42,5,0.000556747
MaxDiffFrequencyHistogram,string,4,42,5,3.7864e-05
MaxDiffFrequencyHistogram,string,8,10,4,0.000412152
MaxDiffFrequencyHistogram,string,15,42,5,0.000193051
MaxDiffFrequencyHistogram,string,7,42,1,6.7166e-05
MaxDiffFrequencyHistogram,string,1,10,5,8.946e-05
MaxDiffAreaHistogram,int,5,42,5,4.5948e-05
MaxDiffFrequencyHistogram,string,21,24,5,0.000446346
MaxDiffFrequencyHistogram,string,8,200,1,0.001007
MaxDiffAreaHistogram,float,13,9,1,0.00031566
MaxDiffFrequencyHistogram,string,25,24,3,0.000607464
MaxDiffFrequencyHistogram,string,11,24,5,5.3581e-05
MaxDiffFrequencyHistogram,string,4,9,5,0.000875897
MaxDiffFrequencyHistogram,string,26,24,3,0.000299678
MaxDiffFrequencyHistogram,string,1,24,5,1.7067e-05
MaxDiffFrequencyHistogram,string,15,24,5,0.000114302
MaxDiffAreaHistogram,int,16,24,5,6.1795e-05
MaxDiffAreaHistogram,int,3,9,5,0.000159855
MaxDiffAreaHistogram,int,5,24,5,6.29e-05
MaxDiffFrequencyHistogram,string,22,42,5,0.000939692
MaxDiffFrequencyHistogram,string,6,24,5,3.5577e-05
MaxDiffAreaHistogram,int,5,86400,43,0.00393426
MaxDiffFrequencyHistogram,string,23,24,5,0.000626098
