benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,MaxDiffAreaHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,3639.135986
TPC-DS,MaxDiffAreaHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,12455.021484
TPC-DS,MaxDiffAreaHistogram,01,2,TableScan,102,32,102.000000,32.000000
TPC-DS,MaxDiffAreaHistogram,01,3,TableScan,65535,366,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000
TPC-DS,MaxDiffAreaHistogram,03,1,TableScan,102000,180,102000.000000,140.615021
TPC-DS,MaxDiffAreaHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,39704.324219
TPC-DS,MaxDiffAreaHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000
TPC-DS,MaxDiffAreaHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,500000.000000
TPC-DS,MaxDiffAreaHistogram,06,2,JoinHashRight,250000,500000,250000.000000,500000.000000
TPC-DS,MaxDiffAreaHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,319304.750000
TPC-DS,MaxDiffAreaHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000
TPC-DS,MaxDiffAreaHistogram,06,5,JoinHashLeft,73049,31,73049.000000,846.596252
TPC-DS,MaxDiffAreaHistogram,06,6,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,07,0,JoinHashLeft,102000,75601,102000.000000,25890.160156
TPC-DS,MaxDiffAreaHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,123651.875000
TPC-DS,MaxDiffAreaHistogram,07,2,TableScan,500,494,500.000000,494.000000
TPC-DS,MaxDiffAreaHistogram,07,3,TableScan,500,493,500.000000,493.000000
TPC-DS,MaxDiffAreaHistogram,07,4,TableScan,65535,366,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,MaxDiffAreaHistogram,09,0,TableScan,45,1,45.000000,1.000000
TPC-DS,MaxDiffAreaHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,45321.527344
TPC-DS,MaxDiffAreaHistogram,10,1,JoinHashLeft,7197566,280942,7197566.000000,11856.976562
TPC-DS,MaxDiffAreaHistogram,10,2,JoinHashLeft,1920800,4499,1920800.000000,5383.751953
TPC-DS,MaxDiffAreaHistogram,10,3,JoinHashLeft,500000,4651,500000.000000,5576.734375
TPC-DS,MaxDiffAreaHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,23611.003906
TPC-DS,MaxDiffAreaHistogram,10,5,TableScan,65535,365,65535.000000,365.000000
TPC-DS,MaxDiffAreaHistogram,10,6,TableScan,250000,2319,250000.000000,2412.867920
TPC-DS,MaxDiffAreaHistogram,13,0,JoinHashLeft,7200,677,7200.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,13,1,JoinHashRight,102,65470,102.000000,0.019077
TPC-DS,MaxDiffAreaHistogram,13,2,JoinHashLeft,1920800,48408,1920800.000000,0.019078
TPC-DS,MaxDiffAreaHistogram,13,3,JoinHashLeft,250000,166058,250000.000000,504.722351
TPC-DS,MaxDiffAreaHistogram,13,4,JoinHashLeft,28800991,5470761,28800992.000000,123651.875000
TPC-DS,MaxDiffAreaHistogram,13,5,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,15,3,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,16,0,JoinHashLeft,14401261,1164433,14401261.000000,0.000232
TPC-DS,MaxDiffAreaHistogram,16,1,JoinHashLeft,1439749,115908,1439749.000000,0.000039
TPC-DS,MaxDiffAreaHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.000026
TPC-DS,MaxDiffAreaHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.000026
TPC-DS,MaxDiffAreaHistogram,16,4,TableScan,65535,61,65535.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,16,5,JoinHashLeft,24,16,24.000000,0.000026
TPC-DS,MaxDiffAreaHistogram,17,0,JoinHashLeft,102000,0,102000.000000,3218.768555
TPC-DS,MaxDiffAreaHistogram,17,1,JoinHashRight,102,57980,102.000000,3219.912842
TPC-DS,MaxDiffAreaHistogram,17,2,JoinHashLeft,14401261,1594247,14401261.000000,18077.025391
TPC-DS,MaxDiffAreaHistogram,17,3,TableScan,73049,91,73049.000000,91.000000
TPC-DS,MaxDiffAreaHistogram,17,4,JoinHashLeft,28800991,803599,28800992.000000,32554.330078
TPC-DS,MaxDiffAreaHistogram,17,5,JoinHashLeft,2875432,404102,2875432.000000,3495.107666
TPC-DS,MaxDiffAreaHistogram,17,6,TableScan,73049,92,73049.000000,92.000000
TPC-DS,MaxDiffAreaHistogram,17,7,TableScan,73049,91,73049.000000,91.000000
TPC-DS,MaxDiffAreaHistogram,17,8,TableScan,65535,91,65535.000000,86.313919
TPC-DS,MaxDiffAreaHistogram,19,0,JoinHashRight,102,15563,102.000000,1401.473389
TPC-DS,MaxDiffAreaHistogram,19,1,JoinHashLeft,250000,13546,250000.000000,1401.474365
TPC-DS,MaxDiffAreaHistogram,19,2,JoinHashLeft,500000,14107,500000.000000,1467.516357
TPC-DS,MaxDiffAreaHistogram,19,3,TableScan,102000,1836,102000.000000,1536.680054
TPC-DS,MaxDiffAreaHistogram,19,4,JoinHashLeft,28800991,883317,28800992.000000,10156.329102
TPC-DS,MaxDiffAreaHistogram,19,5,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,25,0,JoinHashRight,102,18941,102.000000,6652.991211
TPC-DS,MaxDiffAreaHistogram,25,1,JoinHashLeft,14401261,1498602,14401261.000000,37743.367188
TPC-DS,MaxDiffAreaHistogram,25,2,JoinHashLeft,102000,15860,102000.000000,6652.994629
TPC-DS,MaxDiffAreaHistogram,25,3,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,25,4,JoinHashLeft,28800991,262336,28800992.000000,10156.329102
TPC-DS,MaxDiffAreaHistogram,25,5,JoinHashLeft,2875432,259123,2875432.000000,7297.529297
TPC-DS,MaxDiffAreaHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,26973.542969
TPC-DS,MaxDiffAreaHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,64418.714844
TPC-DS,MaxDiffAreaHistogram,26,2,TableScan,500,494,500.000000,494.000000
TPC-DS,MaxDiffAreaHistogram,26,3,TableScan,500,493,500.000000,493.000000
TPC-DS,MaxDiffAreaHistogram,26,4,TableScan,65535,366,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,MaxDiffAreaHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1374815.000000
TPC-DS,MaxDiffAreaHistogram,28,1,TableScan,28800991,1373693,28800992.000000,1373693.000000
TPC-DS,MaxDiffAreaHistogram,28,2,TableScan,28800991,1374966,28800992.000000,1374966.000000
TPC-DS,MaxDiffAreaHistogram,28,3,TableScan,28800991,1374768,28800992.000000,1374768.000000
TPC-DS,MaxDiffAreaHistogram,28,4,TableScan,28800991,1375524,28800992.000000,1375524.000000
TPC-DS,MaxDiffAreaHistogram,28,5,TableScan,28800991,1372592,28800992.000000,1253908.375000
TPC-DS,MaxDiffAreaHistogram,29,0,JoinHashRight,102,3,102.000000,544.934082
TPC-DS,MaxDiffAreaHistogram,29,1,JoinHashLeft,102000,3,102000.000000,544.934021
TPC-DS,MaxDiffAreaHistogram,29,2,JoinHashLeft,28800991,590830,28800992.000000,10156.329102
TPC-DS,MaxDiffAreaHistogram,29,3,JoinHashLeft,2875432,182689,2875432.000000,4160.253906
TPC-DS,MaxDiffAreaHistogram,29,4,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,29,5,JoinHashLeft,14401261,3776379,14401261.000000,119984.992188
TPC-DS,MaxDiffAreaHistogram,29,6,TableScan,73049,365,73049.000000,365.235291
TPC-DS,MaxDiffAreaHistogram,29,7,TableScan,73049,366,73049.000000,365.235291
TPC-DS,MaxDiffAreaHistogram,29,8,TableScan,73049,365,73049.000000,365.235291
TPC-DS,MaxDiffAreaHistogram,31,0,JoinHashRight,250000,819477,250000.000000,29419.011719
TPC-DS,MaxDiffAreaHistogram,31,1,JoinHashRight,250000,1431454,250000.000000,29744.015625
TPC-DS,MaxDiffAreaHistogram,31,2,JoinHashRight,250000,772166,250000.000000,29420.585938
TPC-DS,MaxDiffAreaHistogram,31,3,JoinHashLeft,250000,30140,250000.000000,8146.475586
TPC-DS,MaxDiffAreaHistogram,31,4,JoinHashLeft,28800991,839034,28800992.000000,30805.892578
TPC-DS,MaxDiffAreaHistogram,31,5,TableScan,65535,366,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,31,6,JoinHashLeft,250000,16757,250000.000000,8057.895020
TPC-DS,MaxDiffAreaHistogram,31,7,JoinHashLeft,250000,17668,250000.000000,8057.462402
TPC-DS,MaxDiffAreaHistogram,31,8,JoinHashLeft,7197566,384845,7197566.000000,8148.448730
TPC-DS,MaxDiffAreaHistogram,31,9,JoinHashLeft,28800991,1465918,28800992.000000,31146.220703
TPC-DS,MaxDiffAreaHistogram,31,10,JoinHashLeft,28800991,790723,28800992.000000,30807.542969
TPC-DS,MaxDiffAreaHistogram,31,11,JoinHashLeft,7197566,208405,7197566.000000,8059.844238
TPC-DS,MaxDiffAreaHistogram,31,12,JoinHashLeft,7197566,218552,7197566.000000,8059.411133
TPC-DS,MaxDiffAreaHistogram,32,0,JoinHashLeft,14401261,412149,14401261.000000,0.000039
TPC-DS,MaxDiffAreaHistogram,32,1,JoinHashLeft,102000,50979,102000.000000,0.000039
TPC-DS,MaxDiffAreaHistogram,32,2,TableScan,65535,91,65535.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,34,0,JoinHashLeft,500000,1200,500000.000000,221.744659
TPC-DS,MaxDiffAreaHistogram,34,1,TableScan,102,31,102.000000,31.000002
TPC-DS,MaxDiffAreaHistogram,34,2,JoinHashLeft,28800991,3793832,28800992.000000,4525.829102
TPC-DS,MaxDiffAreaHistogram,34,3,TableScan,7200,4800,7200.000000,4800.000000
TPC-DS,MaxDiffAreaHistogram,34,4,TableScan,73049,365,73049.000000,365.235291
TPC-DS,MaxDiffAreaHistogram,34,5,TableScan,73049,366,73049.000000,365.235291
TPC-DS,MaxDiffAreaHistogram,34,6,TableScan,73049,365,73049.000000,365.235291
TPC-DS,MaxDiffAreaHistogram,35,0,JoinHashLeft,28800991,3099118,28800992.000000,103271.296875
TPC-DS,MaxDiffAreaHistogram,35,1,JoinHashRight,250000,482697,250000.000000,482697.531250
TPC-DS,MaxDiffAreaHistogram,35,2,JoinHashRight,500000,482697,500000.000000,482697.000000
TPC-DS,MaxDiffAreaHistogram,35,3,JoinHashLeft,7197566,804611,7197566.000000,27017.740234
TPC-DS,MaxDiffAreaHistogram,35,4,JoinHashLeft,14401261,1592130,14401261.000000,53801.046875
TPC-DS,MaxDiffAreaHistogram,35,5,TableScan,65535,365,65535.000000,365.000000
TPC-DS,MaxDiffAreaHistogram,35,6,JoinHashLeft,1920800,426807,1920800.000000,426807.000000
TPC-DS,MaxDiffAreaHistogram,35,7,JoinHashRight,500000,426807,500000.000000,426807.000000
TPC-DS,MaxDiffAreaHistogram,37,0,JoinHashLeft,14401261,536,14401261.000000,0.002011
TPC-DS,MaxDiffAreaHistogram,37,1,JoinHashLeft,133110000,4590000,133110000.000000,0.001124
TPC-DS,MaxDiffAreaHistogram,37,2,JoinHashLeft,102000,51000,102000.000000,0.000428
TPC-DS,MaxDiffAreaHistogram,37,3,TableScan,65535,61,65535.000000,0.000000
TPC-DS,MaxDiffAreaHistogram,39a,0,JoinHashRight,10,2040000,10.000000,238280.296875
TPC-DS,MaxDiffAreaHistogram,39a,1,JoinHashRight,10,2040000,10.000000,217103.656250
TPC-DS,MaxDiffAreaHistogram,39a,2,JoinHashRight,102000,2040000,102000.000000,238280.281250
TPC-DS,MaxDiffAreaHistogram,39a,3,JoinHashRight,102000,2040000,102000.000000,217103.656250
TPC-DS,MaxDiffAreaHistogram,39a,4,JoinHashLeft,133110000,2040000,133110000.000000,238370.765625
TPC-DS,MaxDiffAreaHistogram,39a,5,JoinHashLeft,133110000,2040000,133110000.000000,217185.828125
TPC-DS,MaxDiffAreaHistogram,39a,6,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,39b,0,JoinHashRight,10,2040000,10.000000,217103.656250
TPC-DS,MaxDiffAreaHistogram,39b,1,JoinHashRight,10,2040000,10.000000,238280.296875
TPC-DS,MaxDiffAreaHistogram,39b,2,JoinHashRight,102000,2040000,102000.000000,217103.656250
TPC-DS,MaxDiffAreaHistogram,39b,3,JoinHashRight,102000,2040000,102000.000000,238280.281250
TPC-DS,MaxDiffAreaHistogram,39b,4,JoinHashLeft,133110000,2040000,133110000.000000,217185.828125
TPC-DS,MaxDiffAreaHistogram,39b,5,JoinHashLeft,133110000,2040000,133110000.000000,238370.765625
TPC-DS,MaxDiffAreaHistogram,39b,6,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,41,0,TableScan,102000,1328,102000.000000,1248.397461
TPC-DS,MaxDiffAreaHistogram,42,0,TableScan,102000,1847,102000.000000,1536.680054
TPC-DS,MaxDiffAreaHistogram,42,1,TableScan,65535,366,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,42,2,JoinHashLeft,28800991,881977,28800992.000000,10156.329102
TPC-DS,MaxDiffAreaHistogram,43,0,TableScan,102,30,102.000000,102.000000
TPC-DS,MaxDiffAreaHistogram,43,1,JoinHashLeft,28800991,5519143,28800992.000000,123651.875000
TPC-DS,MaxDiffAreaHistogram,43,2,TableScan,65535,366,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,45,0,JoinHashRight,250000,17238,250000.000000,8057.891602
TPC-DS,MaxDiffAreaHistogram,45,1,JoinHashLeft,102000,50202,102000.000000,8059.844727
TPC-DS,MaxDiffAreaHistogram,45,2,TableScan,102000,10,102000.000000,10.000000
TPC-DS,MaxDiffAreaHistogram,45,3,JoinHashLeft,7197566,211088,7197566.000000,8059.844238
TPC-DS,MaxDiffAreaHistogram,45,4,JoinHashLeft,500000,17238,500000.000000,8057.893555
TPC-DS,MaxDiffAreaHistogram,45,5,TableScan,65535,365,65535.000000,327.847687
TPC-DS,MaxDiffAreaHistogram,48,0,JoinHashLeft,1920800,120388,1920800.000000,127.227112
TPC-DS,MaxDiffAreaHistogram,48,1,TableScan,250000,242351,250000.000000,242351.000000
