HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,25,24,3,0.00602517
MaxDiffFrequencyHistogram,float,30,24,5,0.00402599
MaxDiffFrequencyHistogram,string,5,9,5,0.0062112
MaxDiffFrequencyHistogram,string,9,10,2,0.00410876
MaxDiffFrequencyHistogram,string,8,10,4,0.00620064
MaxDiffFrequencyHistogram,float,13,9,1,0.00628652
MaxDiffFrequencyHistogram,string,14,493,1,0.00175369
MaxDiffFrequencyHistogram,string,15,24,5,5.6346e-05
MaxDiffFrequencyHistogram,string,2,20,5,3.756e-05
MaxDiffFrequencyHistogram,string,20,24,5,5.84e-05
MaxDiffFrequencyHistogram,string,28,24,1,0.00050163
MaxDiffFrequencyHistogram,string,22,24,5,0.00665708
MaxDiffFrequencyHistogram,string,26,24,3,0.000641463
MaxDiffFrequencyHistogram,string,11,10,5,0.0065701
MaxDiffFrequencyHistogram,string,9,494,1,0.000592322
MaxDiffFrequencyHistogram,float,29,24,2,0.000281625
MaxDiffFrequencyHistogram,string,12,10,1,0.00444984
MaxDiffFrequencyHistogram,string,10,24,3,2.6579e-05
MaxDiffFrequencyHistogram,float,25,42,5,3.7642e-05
MaxDiffFrequencyHistogram,int,5,24,5,3.5137e-05
MaxDiffFrequencyHistogram,string,17,494,1,0.000339396
MaxDiffFrequencyHistogram,int,18,24,5,5.4853e-05
MaxDiffFrequencyHistogram,int,12,24,5,5.0903e-05
MaxDiffFrequencyHistogram,int,0,24,5,1.9798e-05
MaxDiffFrequencyHistogram,int,16,24,5,3.9764e-05
MaxDiffFrequencyHistogram,string,1,10,5,5.4196e-05
MaxDiffFrequencyHistogram,string,18,42,5,0.000208703
MaxDiffFrequencyHistogram,string,21,42,3,0.000147118
MaxDiffFrequencyHistogram,string,22,42,5,0.00014786
MaxDiffFrequencyHistogram,string,2,9,5,9.178e-05
MaxDiffFrequencyHistogram,string,21,24,5,0.00245785
MaxDiffFrequencyHistogram,string,15,42,5,9.8008e-05
MaxDiffFrequencyHistogram,int,8,24,5,3.5775e-05
MaxDiffFrequencyHistogram,string,19,24,5,0.000104363
MaxDiffFrequencyHistogram,string,8,42,5,2.8641e-05
MaxDiffFrequencyHistogram,string,12,42,5,8.3939e-05
MaxDiffFrequencyHistogram,int,5,42,5,2.7526e-05
MaxDiffFrequencyHistogram,string,6,24,5,5.4882e-05
MaxDiffFrequencyHistogram,string,2,24,4,3.8911e-05
MaxDiffFrequencyHistogram,int,3,9,5,0.000537938
MaxDiffFrequencyHistogram,int,9,24,5,6.4599e-05
MaxDiffFrequencyHistogram,string,2,42,4,3.0968e-05
MaxDiffFrequencyHistogram,string,11,492,1,0.000458179
MaxDiffFrequencyHistogram,string,6,9,5,0.00491725
MaxDiffFrequencyHistogram,string,11,42,5,0.000143861
MaxDiffFrequencyHistogram,int,4,491,5,0.000587893
MaxDiffFrequencyHistogram,string,23,24,5,0.00275941
MaxDiffFrequencyHistogram,string,20,42,3,0.000396778
MaxDiffFrequencyHistogram,string,7,490,5,0.000187171
MaxDiffFrequencyHistogram,string,11,24,5,9.2796e-05
MaxDiffFrequencyHistogram,string,1,42,5,4.2583e-05
MaxDiffFrequencyHistogram,string,24,24,5,0.00107136
MaxDiffFrequencyHistogram,string,10,42,5,0.00014009
MaxDiffFrequencyHistogram,string,1,24,5,3.3779e-05
MaxDiffFrequencyHistogram,string,4,20,5,0.000636715
MaxDiffFrequencyHistogram,string,13,24,5,0.000183816
MaxDiffFrequencyHistogram,string,27,24,5,0.00100442
MaxDiffFrequencyHistogram,string,13,491,1,0.000987968
MaxDiffFrequencyHistogram,int,0,42,5,5.7247e-05
MaxDiffFrequencyHistogram,string,15,494,1,0.000967895
MaxDiffFrequencyHistogram,string,3,12,3,5.5312e-05
MaxDiffFrequencyHistogram,string,17,24,5,0.000186334
MaxDiffFrequencyHistogram,string,10,10,2,0.00121835
MaxDiffFrequencyHistogram,int,3,86400,24,0.00134943
MaxDiffFrequencyHistogram,float,5,492,1,7.2782e-05
MaxDiffFrequencyHistogram,string,14,24,5,0.000388884
MaxDiffFrequencyHistogram,string,7,24,3,0.000151636
MaxDiffFrequencyHistogram,string,4,9,5,0.00340291
MaxDiffFrequencyHistogram,string,7,9,5,0.00565737
MaxDiffFrequencyHistogram,string,16,497,5,0.00181774
MaxDiffFrequencyHistogram,string,17,42,5,0.000996915
MaxDiffFrequencyHistogram,string,10,495,1,0.000231023
MaxDiffFrequencyHistogram,int,0,10,5,0.000375426
MaxDiffFrequencyHistogram,int,6,490,1,3.7104e-05
MaxDiffFrequencyHistogram,string,7,42,1,0.000251417
MaxDiffFrequencyHistogram,int,0,500,5,0.000379399
MaxDiffFrequencyHistogram,int,3,493,5,0.00126752
MaxDiffFrequencyHistogram,float,24,42,2,0.00062233
MaxDiffFrequencyHistogram,int,4,199,5,1.6181e-05
MaxDiffFrequencyHistogram,string,5,20,5,0.000510629
MaxDiffFrequencyHistogram,string,18,490,1,0.000346068
MaxDiffFrequencyHistogram,string,8,493,2,5.825e-05
MaxDiffFrequencyHistogram,string,12,492,1,0.000370005
MaxDiffFrequencyHistogram,string,14,42,5,0.00056349
MaxDiffFrequencyHistogram,string,1,20,5,0.000560714
MaxDiffFrequencyHistogram,int,0,20,5,0.000363259
MaxDiffFrequencyHistogram,string,1,500,5,0.002579
MaxDiffFrequencyHistogram,int,5,86400,43,0.00120143
MaxDiffFrequencyHistogram,string,4,42,5,0.000127951
MaxDiffFrequencyHistogram,string,23,42,1,0.000406257
MaxDiffFrequencyHistogram,int,2,493,5,0.000301654
MaxDiffFrequencyHistogram,int,13,42,5,4.8369e-05
