benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,MaxDiffFrequencyHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,4062.649170
TPC-DS,MaxDiffFrequencyHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,13904.540039
TPC-DS,MaxDiffFrequencyHistogram,01,2,TableScan,102,32,102.000000,32.000000
TPC-DS,MaxDiffFrequencyHistogram,01,3,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000
TPC-DS,MaxDiffFrequencyHistogram,03,1,TableScan,102000,180,102000.000000,185.461533
TPC-DS,MaxDiffFrequencyHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,52367.339844
TPC-DS,MaxDiffFrequencyHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000
TPC-DS,MaxDiffFrequencyHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,499998.812500
TPC-DS,MaxDiffFrequencyHistogram,06,2,JoinHashRight,250000,500000,250000.000000,499998.812500
TPC-DS,MaxDiffFrequencyHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,330984.781250
TPC-DS,MaxDiffFrequencyHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000
TPC-DS,MaxDiffFrequencyHistogram,06,5,JoinHashLeft,73049,31,73049.000000,877.947998
TPC-DS,MaxDiffFrequencyHistogram,06,6,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,07,0,JoinHashLeft,102000,75601,102000.000000,25890.158203
TPC-DS,MaxDiffFrequencyHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,137983.328125
TPC-DS,MaxDiffFrequencyHistogram,07,2,TableScan,500,494,500.000000,494.000000
TPC-DS,MaxDiffFrequencyHistogram,07,3,TableScan,500,493,500.000000,493.000000
TPC-DS,MaxDiffFrequencyHistogram,07,4,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,MaxDiffFrequencyHistogram,09,0,TableScan,45,1,45.000000,1.000000
TPC-DS,MaxDiffFrequencyHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,42180.058594
TPC-DS,MaxDiffFrequencyHistogram,10,1,JoinHashLeft,7197566,280942,7197566.000000,11034.953125
TPC-DS,MaxDiffFrequencyHistogram,10,2,JoinHashLeft,1920800,4499,1920800.000000,5383.556641
TPC-DS,MaxDiffFrequencyHistogram,10,3,JoinHashLeft,500000,4651,500000.000000,5576.529297
TPC-DS,MaxDiffFrequencyHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,21974.677734
TPC-DS,MaxDiffFrequencyHistogram,10,5,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,10,6,TableScan,250000,2319,250000.000000,2412.867920
TPC-DS,MaxDiffFrequencyHistogram,13,0,JoinHashLeft,7200,677,7200.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,13,1,JoinHashLeft,102,51,102.000000,0.010726
TPC-DS,MaxDiffFrequencyHistogram,13,2,JoinHashLeft,1920800,48313,1920800.000000,0.000033
TPC-DS,MaxDiffFrequencyHistogram,13,3,JoinHashLeft,250000,166058,250000.000000,283.789429
TPC-DS,MaxDiffFrequencyHistogram,13,4,JoinHashLeft,28800991,5470761,28800992.000000,128123.335938
TPC-DS,MaxDiffFrequencyHistogram,13,5,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,15,3,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,16,0,JoinHashLeft,14401261,1164433,14401261.000000,0.000232
TPC-DS,MaxDiffFrequencyHistogram,16,1,JoinHashLeft,1439749,115908,1439749.000000,0.000039
TPC-DS,MaxDiffFrequencyHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.000026
TPC-DS,MaxDiffFrequencyHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.000026
TPC-DS,MaxDiffFrequencyHistogram,16,4,TableScan,65535,61,65535.000000,0.000000
TPC-DS,MaxDiffFrequencyHistogram,16,5,JoinHashLeft,24,16,24.000000,0.000026
TPC-DS,MaxDiffFrequencyHistogram,17,0,JoinHashLeft,102000,0,102000.000000,3204.092041
TPC-DS,MaxDiffFrequencyHistogram,17,1,JoinHashRight,102,57980,102.000000,3209.534424
TPC-DS,MaxDiffFrequencyHistogram,17,2,JoinHashLeft,14401261,1594247,14401261.000000,18069.634766
TPC-DS,MaxDiffFrequencyHistogram,17,3,TableScan,73049,91,73049.000000,91.000000
TPC-DS,MaxDiffFrequencyHistogram,17,4,JoinHashLeft,28800991,803599,28800992.000000,32540.658203
TPC-DS,MaxDiffFrequencyHistogram,17,5,JoinHashLeft,2875432,404102,2875432.000000,3495.091553
TPC-DS,MaxDiffFrequencyHistogram,17,6,TableScan,73049,92,73049.000000,92.000000
TPC-DS,MaxDiffFrequencyHistogram,17,7,TableScan,73049,91,73049.000000,91.000000
TPC-DS,MaxDiffFrequencyHistogram,17,8,TableScan,65535,91,65535.000000,86.313919
TPC-DS,MaxDiffFrequencyHistogram,19,0,JoinHashRight,102,15563,102.000000,1679.208008
TPC-DS,MaxDiffFrequencyHistogram,19,1,JoinHashLeft,250000,13546,250000.000000,1679.204468
TPC-DS,MaxDiffFrequencyHistogram,19,2,JoinHashLeft,500000,14107,500000.000000,1758.338745
TPC-DS,MaxDiffFrequencyHistogram,19,3,TableScan,102000,1836,102000.000000,1841.199951
TPC-DS,MaxDiffFrequencyHistogram,19,4,JoinHashLeft,28800991,883317,28800992.000000,10523.580078
TPC-DS,MaxDiffFrequencyHistogram,19,5,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,25,0,JoinHashRight,102,18941,102.000000,6882.080078
TPC-DS,MaxDiffFrequencyHistogram,25,1,JoinHashLeft,14401261,1498602,14401261.000000,39108.273438
TPC-DS,MaxDiffFrequencyHistogram,25,2,JoinHashLeft,102000,15860,102000.000000,6882.074707
TPC-DS,MaxDiffFrequencyHistogram,25,3,TableScan,65535,365,65535.000000,339.844452
TPC-DS,MaxDiffFrequencyHistogram,25,4,JoinHashLeft,28800991,262336,28800992.000000,10523.580078
TPC-DS,MaxDiffFrequencyHistogram,25,5,JoinHashLeft,2875432,259123,2875432.000000,7564.600098
TPC-DS,MaxDiffFrequencyHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,26973.275391
TPC-DS,MaxDiffFrequencyHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,71886.007812
TPC-DS,MaxDiffFrequencyHistogram,26,2,TableScan,500,494,500.000000,494.000000
TPC-DS,MaxDiffFrequencyHistogram,26,3,TableScan,500,493,500.000000,493.000000
TPC-DS,MaxDiffFrequencyHistogram,26,4,TableScan,65535,366,65535.000000,366.000000
TPC-DS,MaxDiffFrequencyHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,MaxDiffFrequencyHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1374815.000000
TPC-DS,MaxDiffFrequencyHistogram,28,1,TableScan,28800991,1373693,28800992.000000,1373693.000000
TPC-DS,MaxDiffFrequencyHistogram,28,2,TableScan,28800991,1374966,28800992.000000,1374966.000000
