HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,3,25,5,0.000910219
EqualDistinctCountHistogram,int,0,25,5,0.000733592
EqualDistinctCountHistogram,int,0,5,5,0.0001135
EqualDistinctCountHistogram,string,2,5,5,0.00037791
EqualDistinctCountHistogram,string,1,5,5,0.000377624
EqualDistinctCountHistogram,int,2,25,5,0.000434438
EqualDistinctCountHistogram,string,1,25,5,0.00531553
EqualDistinctCountHistogram,int,3,100000,25,0.00206894
EqualDistinctCountHistogram,int,3,1.5e+06,25,0.0130619
EqualDistinctCountHistogram,int,5,2e+06,50,0.0175414
EqualDistinctCountHistogram,float,7,2e+06,100,0.0720305
EqualDistinctCountHistogram,int,2,8e+06,100,0.0835363
EqualDistinctCountHistogram,float,5,100000,50,0.0836846
EqualDistinctCountHistogram,string,6,1.5e+06,5,0.0888112
EqualDistinctCountHistogram,int,1,8e+06,100,0.104915
EqualDistinctCountHistogram,int,7,1.5e+07,1,0.103414
EqualDistinctCountHistogram,string,3,2e+06,25,0.115057
EqualDistinctCountHistogram,int,0,100000,50,0.115705
EqualDistinctCountHistogram,string,2,2e+06,5,0.125418
EqualDistinctCountHistogram,int,0,1.5e+06,100,0.170731
EqualDistinctCountHistogram,string,6,2e+06,40,0.173967
EqualDistinctCountHistogram,int,0,8e+06,100,0.202838
EqualDistinctCountHistogram,string,4,100000,50,0.21394
EqualDistinctCountHistogram,string,4,2e+06,100,0.224189
EqualDistinctCountHistogram,int,0,2e+06,100,0.250045
EqualDistinctCountHistogram,string,2,100000,50,0.263479
EqualDistinctCountHistogram,string,1,100000,50,0.291452
EqualDistinctCountHistogram,float,5,1.5e+06,100,0.310239
EqualDistinctCountHistogram,string,6,100000,50,0.329553
EqualDistinctCountHistogram,float,3,8e+06,100,0.390271
EqualDistinctCountHistogram,string,2,1.5e+07,3,0.52446
EqualDistinctCountHistogram,float,7,5.99861e+07,9,0.806261
EqualDistinctCountHistogram,string,4,1.5e+07,100,0.928156
EqualDistinctCountHistogram,string,6,1.5e+07,100,1.26707
EqualDistinctCountHistogram,float,6,5.99861e+07,11,1.37393
EqualDistinctCountHistogram,string,4,1.5e+06,100,1.45347
EqualDistinctCountHistogram,int,1,1.5e+07,100,1.56922
EqualDistinctCountHistogram,string,5,1.5e+07,5,1.57036
EqualDistinctCountHistogram,string,8,2e+06,100,1.8558
EqualDistinctCountHistogram,string,9,3.35544e+07,2,2.03178
EqualDistinctCountHistogram,string,1,1.5e+06,100,2.26707
EqualDistinctCountHistogram,string,8,4.63895e+07,3,2.27386
EqualDistinctCountHistogram,int,0,1.5e+07,100,2.29478
EqualDistinctCountHistogram,string,2,1.5e+06,100,2.92551
EqualDistinctCountHistogram,string,7,1.5e+06,100,3.0865
EqualDistinctCountHistogram,float,3,1.5e+07,100,3.83031
EqualDistinctCountHistogram,string,12,5.99861e+07,100,3.84577
EqualDistinctCountHistogram,string,11,5.9986e+07,100,3.84571
EqualDistinctCountHistogram,string,1,2e+06,100,3.8921
EqualDistinctCountHistogram,string,10,5.99861e+07,100,3.90879
EqualDistinctCountHistogram,string,14,5.99861e+07,7,3.91895
EqualDistinctCountHistogram,string,13,5.99861e+07,4,4.5147
EqualDistinctCountHistogram,float,4,5.9986e+07,50,0.901159
EqualDistinctCountHistogram,int,3,5.99861e+07,7,0.415734
EqualDistinctCountHistogram,int,2,5.99861e+07,100,1.7482
EqualDistinctCountHistogram,int,1,5.9986e+07,100,2.20228
EqualDistinctCountHistogram,int,0,5.9986e+07,100,2.60609
EqualDistinctCountHistogram,string,4,8e+06,100,21.003
EqualDistinctCountHistogram,string,8,1.5e+07,100,28.2501
EqualDistinctCountHistogram,string,15,5.9986e+07,100,86.3257
EqualDistinctCountHistogram,float,5,5.9986e+07,100,4.88676
