HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,int,2,25,5,0.000217716
EquiHeightHistogram,int,0,5,5,0.00010816
EquiHeightHistogram,int,0,25,5,0.0017614
EquiHeightHistogram,string,3,25,5,0.000652607
EquiHeightHistogram,string,1,25,5,0.000286567
EquiHeightHistogram,string,2,5,5,0.000322599
EquiHeightHistogram,int,3,100000,25,0.00325356
EquiHeightHistogram,string,1,5,5,0.000591094
EquiHeightHistogram,int,3,1.5e+06,25,0.0182145
EquiHeightHistogram,float,5,100000,50,0.0408717
EquiHeightHistogram,string,6,1.5e+06,5,0.0865273
EquiHeightHistogram,int,2,8e+06,100,0.0792608
EquiHeightHistogram,int,0,100000,50,0.0894211
EquiHeightHistogram,int,7,1.5e+07,1,0.102126
EquiHeightHistogram,int,1,8e+06,100,0.140205
EquiHeightHistogram,int,5,2e+06,50,0.143122
EquiHeightHistogram,string,3,2e+06,25,0.143751
EquiHeightHistogram,float,7,2e+06,100,0.144489
EquiHeightHistogram,string,2,2e+06,5,0.14746
EquiHeightHistogram,string,6,2e+06,40,0.147027
EquiHeightHistogram,int,0,1.5e+06,100,0.236147
EquiHeightHistogram,int,0,2e+06,100,0.219347
EquiHeightHistogram,string,4,100000,50,0.248619
EquiHeightHistogram,string,2,100000,50,0.251674
EquiHeightHistogram,string,4,2e+06,100,0.228895
EquiHeightHistogram,string,1,100000,50,0.262757
EquiHeightHistogram,int,0,8e+06,100,0.26988
EquiHeightHistogram,float,5,1.5e+06,100,0.281742
EquiHeightHistogram,float,3,8e+06,100,0.382276
EquiHeightHistogram,string,6,100000,50,0.412788
EquiHeightHistogram,string,2,1.5e+07,3,0.515388
EquiHeightHistogram,int,1,1.5e+07,100,0.630744
EquiHeightHistogram,float,7,5.99861e+07,9,0.835194
EquiHeightHistogram,float,6,5.99861e+07,11,0.900455
EquiHeightHistogram,string,4,1.5e+07,100,0.996152
EquiHeightHistogram,string,5,1.5e+07,5,1.2077
EquiHeightHistogram,string,4,1.5e+06,100,1.74965
EquiHeightHistogram,string,8,2e+06,100,1.85501
EquiHeightHistogram,int,0,1.5e+07,100,1.93204
EquiHeightHistogram,string,9,3.35544e+07,2,2.32458
EquiHeightHistogram,string,8,4.63895e+07,3,2.32961
EquiHeightHistogram,string,6,1.5e+07,100,2.35363
EquiHeightHistogram,string,1,1.5e+06,100,2.50964
EquiHeightHistogram,string,2,1.5e+06,100,2.62277
EquiHeightHistogram,string,7,1.5e+06,100,3.10036
EquiHeightHistogram,string,1,2e+06,100,3.48707
EquiHeightHistogram,string,14,5.99861e+07,7,3.81623
EquiHeightHistogram,string,11,5.99861e+07,100,3.8259
EquiHeightHistogram,string,10,5.99861e+07,100,3.82281
EquiHeightHistogram,string,12,5.99861e+07,100,3.82972
EquiHeightHistogram,float,3,1.5e+07,100,3.98463
EquiHeightHistogram,float,4,5.9986e+07,50,1.71705
EquiHeightHistogram,int,2,5.99864e+07,100,1.73721
EquiHeightHistogram,string,13,5.99861e+07,4,5.82465
EquiHeightHistogram,int,1,5.99862e+07,100,1.94933
EquiHeightHistogram,int,3,5.99861e+07,7,0.364671
EquiHeightHistogram,int,0,5.99804e+07,100,2.40662
EquiHeightHistogram,string,4,8e+06,100,19.3959
EquiHeightHistogram,string,8,1.5e+07,100,36.1235
EquiHeightHistogram,string,15,4.09454e+07,100,88.103
EquiHeightHistogram,float,5,5.99781e+07,100,4.3578
