HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,1,25,5,0.000405527
EqualDistinctCountHistogram,string,3,25,5,0.000533522
EquiWidthHistogram,int,2,25,5,0.000232031
EquiWidthHistogram,int,0,25,5,0.00100048
EquiWidthHistogram,int,3,100000,25,0.00348559
EquiWidthHistogram,int,5,2e+06,50,0.0131636
EquiWidthHistogram,int,0,5,5,7.6849e-05
EquiWidthHistogram,int,3,1.5e+06,25,0.0177878
EqualDistinctCountHistogram,string,2,5,5,0.00442152
EqualDistinctCountHistogram,string,1,5,5,0.0065702
EquiWidthHistogram,float,5,100000,50,0.0326352
EquiWidthHistogram,int,0,100000,50,0.0318927
EquiWidthHistogram,float,7,2e+06,100,0.0693715
EquiWidthHistogram,int,2,8e+06,100,0.0804862
EqualDistinctCountHistogram,string,6,1.5e+06,5,0.0835353
EquiWidthHistogram,int,1,8e+06,100,0.107493
EqualDistinctCountHistogram,string,3,2e+06,25,0.116894
EqualDistinctCountHistogram,string,2,2e+06,5,0.129712
EqualDistinctCountHistogram,string,4,100000,50,0.125372
EqualDistinctCountHistogram,string,6,2e+06,40,0.148963
EquiWidthHistogram,int,7,1.5e+07,1,0.174554
EquiWidthHistogram,int,0,2e+06,100,0.202905
EquiWidthHistogram,int,0,1.5e+06,100,0.211846
EqualDistinctCountHistogram,string,4,2e+06,100,0.229997
EquiWidthHistogram,int,0,8e+06,100,0.245557
EqualDistinctCountHistogram,string,2,100000,50,0.26559
EquiWidthHistogram,float,5,1.5e+06,100,0.360492
EqualDistinctCountHistogram,string,1,100000,50,0.362097
EquiWidthHistogram,float,3,8e+06,100,0.388227
EqualDistinctCountHistogram,string,6,100000,50,0.419339
EqualDistinctCountHistogram,string,2,1.5e+07,3,0.504226
EquiWidthHistogram,int,1,1.5e+07,100,0.613369
EquiWidthHistogram,float,7,5.99861e+07,9,0.806203
EqualDistinctCountHistogram,string,4,1.5e+07,100,1.02056
EqualDistinctCountHistogram,string,6,1.5e+07,100,1.22865
EquiWidthHistogram,float,6,5.99861e+07,11,1.23328
EqualDistinctCountHistogram,string,5,1.5e+07,5,1.26291
EquiWidthHistogram,int,0,1.5e+07,100,1.72637
EqualDistinctCountHistogram,string,4,1.5e+06,100,1.77104
EqualDistinctCountHistogram,string,9,3.35544e+07,2,2.08804
EqualDistinctCountHistogram,string,8,2e+06,100,2.11026
EqualDistinctCountHistogram,string,8,4.63895e+07,3,2.25601
EqualDistinctCountHistogram,string,1,1.5e+06,100,2.37824
EqualDistinctCountHistogram,string,2,1.5e+06,100,2.59467
EqualDistinctCountHistogram,string,11,5.99861e+07,100,3.68484
EqualDistinctCountHistogram,string,14,5.99861e+07,7,3.69749
EqualDistinctCountHistogram,string,1,2e+06,100,3.71412
EqualDistinctCountHistogram,string,10,5.99861e+07,100,3.76059
EqualDistinctCountHistogram,string,7,1.5e+06,100,3.7775
EqualDistinctCountHistogram,string,12,5.99861e+07,100,3.86508
EquiWidthHistogram,float,3,1.5e+07,100,4.01562
EquiWidthHistogram,float,4,5.9986e+07,50,1.1345
EqualDistinctCountHistogram,string,13,5.99861e+07,4,4.99262
EquiWidthHistogram,int,3,5.99861e+07,7,0.456256
EquiWidthHistogram,int,1,5.99862e+07,100,1.82722
EquiWidthHistogram,int,2,5.99864e+07,100,1.68086
EquiWidthHistogram,int,0,5.99804e+07,100,2.45791
EqualDistinctCountHistogram,string,4,8e+06,100,19.3833
EqualDistinctCountHistogram,string,8,1.5e+07,100,29.7108
EqualDistinctCountHistogram,string,15,4.09454e+07,100,89.667
EquiWidthHistogram,float,5,5.99781e+07,100,4.90992
