HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,int,2,25,5,0.00025711
GDYHistogram,int,0,25,5,0.00085685
EqualDistinctCountHistogram,string,2,5,5,0.00108894
EqualDistinctCountHistogram,string,1,5,5,0.000153007
EqualDistinctCountHistogram,string,3,25,5,0.00141222
GDYHistogram,int,3,100000,25,0.00185383
GDYHistogram,int,0,5,5,0.00235628
EqualDistinctCountHistogram,string,1,25,5,0.00363162
GDYHistogram,int,3,1.5e+06,25,0.0238051
GDYHistogram,int,5,2e+06,50,0.0387663
GDYHistogram,int,0,100000,50,0.0536977
EqualDistinctCountHistogram,string,6,1.5e+06,5,0.0903869
EqualDistinctCountHistogram,string,3,2e+06,25,0.112732
GDYHistogram,int,7,1.5e+07,1,0.112569
EqualDistinctCountHistogram,string,2,2e+06,5,0.126744
EqualDistinctCountHistogram,string,6,2e+06,40,0.14
GDYHistogram,float,7,2e+06,100,0.152737
GDYHistogram,float,5,100000,50,0.167232
EqualDistinctCountHistogram,string,4,100000,50,0.176529
GDYHistogram,int,2,8e+06,100,0.20165
EqualDistinctCountHistogram,string,2,100000,50,0.212835
EqualDistinctCountHistogram,string,4,2e+06,100,0.239022
EqualDistinctCountHistogram,string,1,100000,50,0.256785
GDYHistogram,int,0,1.5e+06,100,0.284118
GDYHistogram,int,1,8e+06,100,0.288934
GDYHistogram,int,0,2e+06,100,0.310009
EqualDistinctCountHistogram,string,6,100000,50,0.315155
GDYHistogram,int,0,8e+06,100,0.367419
EqualDistinctCountHistogram,string,2,1.5e+07,3,0.517831
GDYHistogram,float,5,1.5e+06,100,0.567021
GDYHistogram,float,3,8e+06,100,0.653001
EqualDistinctCountHistogram,string,4,1.5e+07,100,0.98949
EqualDistinctCountHistogram,string,5,1.5e+07,5,1.00048
EqualDistinctCountHistogram,string,4,1.5e+06,100,1.35374
EqualDistinctCountHistogram,string,6,1.5e+07,100,1.39574
GDYHistogram,int,1,1.5e+07,100,1.39977
EqualDistinctCountHistogram,string,8,2e+06,100,1.62315
GDYHistogram,float,7,5.99861e+07,9,1.63233
GDYHistogram,float,6,5.99861e+07,11,1.77285
EqualDistinctCountHistogram,string,9,3.35544e+07,2,2.02266
EqualDistinctCountHistogram,string,8,4.63895e+07,3,2.26096
EqualDistinctCountHistogram,string,1,1.5e+06,100,2.36867
EqualDistinctCountHistogram,string,2,1.5e+06,100,2.37389
EqualDistinctCountHistogram,string,7,1.5e+06,100,3.16571
GDYHistogram,int,0,1.5e+07,100,3.28749
EqualDistinctCountHistogram,string,1,2e+06,100,3.52649
EqualDistinctCountHistogram,string,11,5.99861e+07,100,3.63644
EqualDistinctCountHistogram,string,10,5.99861e+07,100,3.64218
EqualDistinctCountHistogram,string,14,5.99861e+07,7,3.75534
EqualDistinctCountHistogram,string,12,5.99861e+07,100,4.03152
EqualDistinctCountHistogram,string,13,5.99861e+07,4,4.5452
GDYHistogram,int,3,5.99861e+07,7,0.729815
GDYHistogram,float,4,5.9986e+07,50,1.82432
GDYHistogram,int,2,5.9986e+07,100,3.27383
GDYHistogram,int,1,5.99861e+07,100,3.72324
GDYHistogram,int,0,5.9986e+07,100,4.61239
GDYHistogram,float,3,1.5e+07,100,11.4409
EqualDistinctCountHistogram,string,4,8e+06,100,19.2938
EqualDistinctCountHistogram,string,8,1.5e+07,100,31.0873
EqualDistinctCountHistogram,string,15,4.09454e+07,100,82.9522
GDYHistogram,float,5,5.99861e+07,100,6.76663
