HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,int,3,100000,25,0.000967531
MaxDiffFrequencyHistogram,string,2,5,5,0.000280444
MaxDiffFrequencyHistogram,string,3,25,5,0.000342858
MaxDiffAreaHistogram,int,0,25,5,0.000155821
MaxDiffAreaHistogram,int,2,25,5,0.00027387
MaxDiffFrequencyHistogram,string,1,25,5,0.000570138
MaxDiffAreaHistogram,int,0,5,5,0.000354312
MaxDiffFrequencyHistogram,string,1,5,5,0.000763607
MaxDiffAreaHistogram,int,3,1.5e+06,25,0.0176567
MaxDiffAreaHistogram,int,5,2e+06,50,0.0211695
MaxDiffAreaHistogram,int,0,100000,50,0.0612105
MaxDiffAreaHistogram,float,5,100000,50,0.0800753
MaxDiffAreaHistogram,float,7,2e+06,100,0.0883187
MaxDiffFrequencyHistogram,string,6,1.5e+06,5,0.0895742
MaxDiffAreaHistogram,int,7,1.5e+07,1,0.112608
MaxDiffFrequencyHistogram,string,2,2e+06,5,0.125312
MaxDiffFrequencyHistogram,string,3,2e+06,25,0.122946
MaxDiffFrequencyHistogram,string,4,100000,50,0.132993
MaxDiffAreaHistogram,int,1,8e+06,100,0.135829
MaxDiffFrequencyHistogram,string,6,2e+06,40,0.143321
MaxDiffAreaHistogram,int,2,8e+06,100,0.206479
MaxDiffFrequencyHistogram,string,4,2e+06,100,0.23859
MaxDiffFrequencyHistogram,string,1,100000,50,0.276054
MaxDiffAreaHistogram,float,3,8e+06,100,0.286227
MaxDiffAreaHistogram,int,0,1.5e+06,100,0.296322
MaxDiffFrequencyHistogram,string,2,100000,50,0.335324
MaxDiffAreaHistogram,int,0,8e+06,100,0.334139
MaxDiffAreaHistogram,float,5,1.5e+06,100,0.332392
MaxDiffFrequencyHistogram,string,6,100000,50,0.370639
MaxDiffAreaHistogram,int,0,2e+06,100,0.387235
MaxDiffFrequencyHistogram,string,2,1.5e+07,3,0.509014
MaxDiffAreaHistogram,int,1,1.5e+07,100,0.66067
MaxDiffAreaHistogram,float,6,5.99861e+07,11,0.871555
MaxDiffAreaHistogram,float,7,5.99861e+07,9,0.906987
MaxDiffFrequencyHistogram,string,4,1.5e+07,100,1.07096
MaxDiffFrequencyHistogram,string,5,1.5e+07,5,1.29693
MaxDiffFrequencyHistogram,string,6,1.5e+07,100,1.5708
MaxDiffFrequencyHistogram,string,4,1.5e+06,100,1.58751
MaxDiffFrequencyHistogram,string,8,2e+06,100,1.59652
MaxDiffFrequencyHistogram,string,9,3.35544e+07,2,1.99599
MaxDiffFrequencyHistogram,string,8,4.63895e+07,3,2.26427
MaxDiffFrequencyHistogram,string,1,1.5e+06,100,2.39345
MaxDiffAreaHistogram,int,0,1.5e+07,100,2.84452
MaxDiffFrequencyHistogram,string,2,1.5e+06,100,2.93012
MaxDiffFrequencyHistogram,string,11,5.99861e+07,100,3.65424
MaxDiffFrequencyHistogram,string,12,5.99861e+07,100,3.67931
MaxDiffFrequencyHistogram,string,14,5.99861e+07,7,3.68323
MaxDiffFrequencyHistogram,string,1,2e+06,100,3.7072
MaxDiffFrequencyHistogram,string,7,1.5e+06,100,3.76594
MaxDiffFrequencyHistogram,string,10,5.99861e+07,100,3.9581
MaxDiffAreaHistogram,float,3,1.5e+07,100,4.56008
MaxDiffAreaHistogram,float,4,5.9986e+07,50,0.890268
MaxDiffFrequencyHistogram,string,13,5.99861e+07,4,4.65692
MaxDiffAreaHistogram,int,3,5.99861e+07,7,0.36646
MaxDiffAreaHistogram,int,2,5.99864e+07,100,1.50455
MaxDiffAreaHistogram,int,1,5.99862e+07,100,2.04409
MaxDiffAreaHistogram,int,0,5.99804e+07,100,3.15713
MaxDiffFrequencyHistogram,string,4,8e+06,100,18.236
MaxDiffFrequencyHistogram,string,8,1.5e+07,100,30.2158
MaxDiffFrequencyHistogram,string,15,4.09454e+07,100,85.8547
MaxDiffAreaHistogram,float,5,5.99781e+07,100,3.78739
