HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,2,5,5,0.000255945
MaxDiffFrequencyHistogram,string,1,5,5,0.000319241
MaxDiffFrequencyHistogram,int,0,5,5,0.00027476
MaxDiffFrequencyHistogram,int,3,100000,25,0.000917857
MaxDiffFrequencyHistogram,int,2,25,5,0.000174466
MaxDiffFrequencyHistogram,string,1,25,5,0.00100747
MaxDiffFrequencyHistogram,int,0,25,5,0.00339944
MaxDiffFrequencyHistogram,string,3,25,5,0.00237574
MaxDiffFrequencyHistogram,int,3,1.5e+06,25,0.0138432
MaxDiffFrequencyHistogram,int,0,100000,50,0.0321451
MaxDiffFrequencyHistogram,int,5,2e+06,50,0.0275377
MaxDiffFrequencyHistogram,float,5,100000,50,0.0409123
MaxDiffFrequencyHistogram,string,6,1.5e+06,5,0.0859487
MaxDiffFrequencyHistogram,string,3,2e+06,25,0.112418
MaxDiffFrequencyHistogram,string,2,2e+06,5,0.120053
MaxDiffFrequencyHistogram,int,2,8e+06,100,0.108366
MaxDiffFrequencyHistogram,string,6,2e+06,40,0.13773
MaxDiffFrequencyHistogram,int,1,8e+06,100,0.123901
MaxDiffFrequencyHistogram,float,7,2e+06,100,0.158137
MaxDiffFrequencyHistogram,int,7,1.5e+07,1,0.157388
MaxDiffFrequencyHistogram,string,4,100000,50,0.199565
MaxDiffFrequencyHistogram,string,1,100000,50,0.235654
MaxDiffFrequencyHistogram,string,6,100000,50,0.268502
MaxDiffFrequencyHistogram,int,0,1.5e+06,100,0.266231
MaxDiffFrequencyHistogram,string,2,100000,50,0.2795
MaxDiffFrequencyHistogram,string,4,2e+06,100,0.287419
MaxDiffFrequencyHistogram,int,0,2e+06,100,0.310158
MaxDiffFrequencyHistogram,float,5,1.5e+06,100,0.399452
MaxDiffFrequencyHistogram,float,3,8e+06,100,0.392279
MaxDiffFrequencyHistogram,int,0,8e+06,100,0.399257
MaxDiffFrequencyHistogram,string,2,1.5e+07,3,0.749472
MaxDiffFrequencyHistogram,float,7,5.99861e+07,9,0.80007
MaxDiffFrequencyHistogram,float,6,5.99861e+07,11,0.876513
MaxDiffFrequencyHistogram,int,1,1.5e+07,100,0.932913
MaxDiffFrequencyHistogram,string,4,1.5e+07,100,0.978605
MaxDiffFrequencyHistogram,string,5,1.5e+07,5,0.994949
MaxDiffFrequencyHistogram,string,4,1.5e+06,100,1.69231
MaxDiffFrequencyHistogram,string,8,2e+06,100,1.73419
MaxDiffFrequencyHistogram,string,1,1.5e+06,100,2.16238
MaxDiffFrequencyHistogram,string,6,1.5e+07,100,2.14791
MaxDiffFrequencyHistogram,string,2,1.5e+06,100,2.52173
MaxDiffFrequencyHistogram,int,0,1.5e+07,100,2.54026
MaxDiffFrequencyHistogram,string,9,3.35544e+07,2,2.81112
MaxDiffFrequencyHistogram,string,8,4.63895e+07,3,3.02874
MaxDiffFrequencyHistogram,string,11,5.99861e+07,100,3.6139
MaxDiffFrequencyHistogram,string,12,5.99861e+07,100,3.62932
MaxDiffFrequencyHistogram,string,7,1.5e+06,100,3.70473
MaxDiffFrequencyHistogram,string,14,5.99861e+07,7,3.83262
MaxDiffFrequencyHistogram,string,1,2e+06,100,3.8595
MaxDiffFrequencyHistogram,string,10,5.99861e+07,100,3.93846
MaxDiffFrequencyHistogram,int,2,5.99864e+07,100,1.02046
MaxDiffFrequencyHistogram,float,3,1.5e+07,100,4.63896
MaxDiffFrequencyHistogram,float,4,5.9986e+07,50,0.882372
MaxDiffFrequencyHistogram,int,1,5.99862e+07,100,1.45899
MaxDiffFrequencyHistogram,string,13,5.99861e+07,4,5.50794
MaxDiffFrequencyHistogram,int,3,5.99861e+07,7,0.36466
MaxDiffFrequencyHistogram,int,0,5.99804e+07,100,3.38735
MaxDiffFrequencyHistogram,string,4,8e+06,100,19.701
MaxDiffFrequencyHistogram,string,8,1.5e+07,100,31.5268
MaxDiffFrequencyHistogram,string,15,4.09454e+07,100,99.2841
MaxDiffFrequencyHistogram,float,5,5.99781e+07,100,3.43544
