HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,float,7,10,5,4.9662e-05
EquiHeightHistogram,string,4,10,5,0.00223244
EquiHeightHistogram,string,6,10,5,0.00217962
EquiHeightHistogram,int,0,10,5,6.2532e-05
EquiHeightHistogram,string,2,10,5,4.7705e-05
EquiHeightHistogram,int,6,300000,11,0.00186587
EquiHeightHistogram,string,5,10,5,0.00440901
EquiHeightHistogram,string,3,10,5,0.00438976
EquiHeightHistogram,int,18,300000,1,0.00231868
EquiHeightHistogram,float,8,10,1,6.2067e-05
EquiHeightHistogram,string,1,10,5,0.00463644
EquiHeightHistogram,int,2,90000,10,0.000860846
EquiHeightHistogram,int,19,300000,1,0.0022217
EquiHeightHistogram,int,1,90000,10,0.00272962
EquiHeightHistogram,float,14,300000,1,0.00721867
EquiHeightHistogram,float,17,300000,1,0.00421148
EquiHeightHistogram,int,12,300000,1,0.00568322
EquiHeightHistogram,int,1,300000,10,0.00380742
EquiHeightHistogram,float,6,300000,1,0.00396454
EquiHeightHistogram,int,15,1e+06,1,0.00632638
EquiHeightHistogram,int,1,300000,10,0.00201036
EquiHeightHistogram,float,16,300000,1,0.00663134
EquiHeightHistogram,int,10,100,1,2.7194e-05
EquiHeightHistogram,int,0,100,5,1.7014e-05
EquiHeightHistogram,string,3,100,5,0.000291225
EquiHeightHistogram,string,4,100,5,0.00031941
EquiHeightHistogram,int,3,300000,10,0.00214552
EquiHeightHistogram,int,2,300000,10,0.00219122
EquiHeightHistogram,int,4,300000,10,0.0022415
EquiHeightHistogram,int,0,90000,45,0.00151588
EquiHeightHistogram,int,0,300000,100,0.00609497
EquiHeightHistogram,int,5,210000,10,0.00150168
EquiHeightHistogram,int,0,300000,100,0.00235538
EquiHeightHistogram,int,1,100000,50,0.00286398
EquiHeightHistogram,int,7,300000,1,0.00201693
EquiHeightHistogram,int,3,300000,100,0.0040523
EquiHeightHistogram,int,2,300000,10,0.0020051
EquiHeightHistogram,float,9,100,1,4.4358e-05
EquiHeightHistogram,int,2,300000,10,0.0046515
EquiHeightHistogram,string,2,100,5,0.000141867
EquiHeightHistogram,float,15,300000,100,0.0121368
EquiHeightHistogram,int,3,3.00156e+06,15,0.0186344
EquiHeightHistogram,int,1,3.00156e+06,10,0.0203927
EquiHeightHistogram,int,6,2.10079e+06,1,0.0186916
EquiHeightHistogram,float,8,100,5,0.00567021
EquiHeightHistogram,int,14,1e+06,1,0.011314
EquiHeightHistogram,int,4,300000,1,0.0073052
EquiHeightHistogram,string,9,300000,100,0.0158312
EquiHeightHistogram,string,4,300000,1,0.0156753
EquiHeightHistogram,int,2,3.00156e+06,10,0.0253775
EquiHeightHistogram,int,7,3.00156e+06,1,0.0230586
EquiHeightHistogram,int,5,300000,1,0.0105965
EquiHeightHistogram,int,13,1e+06,1,0.0108764
EquiHeightHistogram,string,13,300000,2,0.0206877
EquiHeightHistogram,int,1,100,5,0.0025414
EquiHeightHistogram,string,6,100,5,0.00477331
EquiHeightHistogram,string,7,100,5,0.00921752
EquiHeightHistogram,string,5,100,5,0.00505778
EquiHeightHistogram,int,5,3.00156e+06,10,0.0192792
EquiHeightHistogram,int,0,3.00156e+06,100,0.0317492
EquiHeightHistogram,string,5,300000,100,0.0325326
EquiHeightHistogram,float,3,100000,50,0.0316826
EquiHeightHistogram,int,0,100000,50,0.041258
EquiHeightHistogram,int,4,3.00156e+06,100,0.102122
EquiHeightHistogram,string,4,100000,50,0.186586
EquiHeightHistogram,float,8,3.00156e+06,100,0.221712
EquiHeightHistogram,string,2,100000,50,0.272169
EquiHeightHistogram,string,3,300000,100,0.486228
EquiHeightHistogram,string,7,300000,100,0.55698
EquiHeightHistogram,string,7,300000,100,0.565816
EquiHeightHistogram,string,8,300000,100,0.59293
EquiHeightHistogram,string,6,300000,100,0.613592
EquiHeightHistogram,string,11,300000,100,0.660806
EquiHeightHistogram,int,1,300000,10,0.00188838
EquiHeightHistogram,string,20,300000,100,1.11338
EquiHeightHistogram,string,10,300000,100,0.0346789
EquiHeightHistogram,int,0,300000,100,0.00227136
EquiHeightHistogram,string,7,1e+06,100,1.65941
EquiHeightHistogram,string,5,1e+06,100,1.67777
EquiHeightHistogram,string,16,1e+06,100,1.79164
EquiHeightHistogram,string,3,1e+06,100,1.85207
EquiHeightHistogram,string,11,1e+06,100,1.91803
EquiHeightHistogram,int,1,1e+06,10,0.00620525
EquiHeightHistogram,string,12,1e+06,100,1.96766
EquiHeightHistogram,int,2,1e+06,91,0.00621774
EquiHeightHistogram,string,8,1e+06,100,1.97688
EquiHeightHistogram,string,4,1e+06,100,1.96759
EquiHeightHistogram,string,9,1e+06,100,2.21808
EquiHeightHistogram,string,10,1e+06,100,2.25837
EquiHeightHistogram,int,0,1e+06,100,0.00887679
EquiHeightHistogram,string,6,1e+06,100,1.39942
EquiHeightHistogram,string,9,3.00156e+06,100,4.97577
