benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
,MaxDiffFrequencyHistogram,,0,TableScan,10,1,10.000000,1.000000
,MaxDiffFrequencyHistogram,,1,TableScan,100,10,100.000000,10.000000
,MaxDiffFrequencyHistogram,,2,TableScan,100,10,100.000000,10.000000
,MaxDiffFrequencyHistogram,,3,TableScan,65535,21,65535.000000,21.845001
,MaxDiffFrequencyHistogram,,4,TableScan,65535,1,65535.000000,0.655352
,MaxDiffFrequencyHistogram,,5,TableScan,131070,100000,0.000000,0.000000
,MaxDiffFrequencyHistogram,,6,TableScan,131070,100000,0.000000,0.000000
,MaxDiffFrequencyHistogram,,7,TableScan,65535,1,65535.000000,0.655352
,MaxDiffFrequencyHistogram,,8,TableScan,65535,65535,0.000000,0.000000
,MaxDiffFrequencyHistogram,,9,TableScan,65535,65535,0.000000,0.000000
,MaxDiffFrequencyHistogram,,10,TableScan,65535,1,65535.000000,0.655352
,MaxDiffFrequencyHistogram,,11,TableScan,65535,65535,0.000000,0.000000
,MaxDiffFrequencyHistogram,,12,TableScan,65535,65535,0.000000,0.000000
,MaxDiffFrequencyHistogram,,13,TableScan,34465,1,34465.000000,0.344663
,MaxDiffFrequencyHistogram,,14,TableScan,65538,34468,0.000000,0.000000
,MaxDiffFrequencyHistogram,,15,TableScan,65538,34468,0.000000,0.000000
,MaxDiffFrequencyHistogram,,16,TableScan,65535,1,65535.000000,0.655352
,MaxDiffFrequencyHistogram,,17,TableScan,65536,65536,0.000000,0.000000
,MaxDiffFrequencyHistogram,,18,TableScan,65536,65536,0.000000,0.000000
,MaxDiffFrequencyHistogram,,19,TableScan,65535,1,65535.000000,0.655352
,MaxDiffFrequencyHistogram,,20,TableScan,65540,51955,0.000000,0.000000
,MaxDiffFrequencyHistogram,,21,TableScan,65540,51955,0.000000,0.000000
,MaxDiffFrequencyHistogram,,22,TableScan,65535,1,65535.000000,0.655352
,MaxDiffFrequencyHistogram,,23,TableScan,65537,65536,0.000000,0.000000
,MaxDiffFrequencyHistogram,,24,TableScan,65537,65536,0.000000,0.000000
