benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,EqualDistinctCountHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,3705.881592
TPC-DS,EqualDistinctCountHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,12683.463867
TPC-DS,EqualDistinctCountHistogram,01,2,TableScan,102,32,102.000000,32.000000
TPC-DS,EqualDistinctCountHistogram,01,3,TableScan,65535,366,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,03,0,TableScan,73049,6000,73049.000000,6000.000000
TPC-DS,EqualDistinctCountHistogram,03,1,TableScan,102000,180,102000.000000,187.399994
TPC-DS,EqualDistinctCountHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,52914.773438
TPC-DS,EqualDistinctCountHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000
TPC-DS,EqualDistinctCountHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,500000.000000
TPC-DS,EqualDistinctCountHistogram,06,2,JoinHashRight,250000,500000,250000.000000,500000.000000
TPC-DS,EqualDistinctCountHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,324918.843750
TPC-DS,EqualDistinctCountHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000
TPC-DS,EqualDistinctCountHistogram,06,5,JoinHashLeft,73049,31,73049.000000,862.117432
TPC-DS,EqualDistinctCountHistogram,06,6,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,07,0,JoinHashLeft,102000,75601,102000.000000,25890.089844
TPC-DS,EqualDistinctCountHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,125826.726562
TPC-DS,EqualDistinctCountHistogram,07,2,TableScan,500,494,500.000000,494.000000
TPC-DS,EqualDistinctCountHistogram,07,3,TableScan,500,493,500.000000,493.000000
TPC-DS,EqualDistinctCountHistogram,07,4,TableScan,65535,366,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,EqualDistinctCountHistogram,09,0,TableScan,45,1,45.000000,1.000000
TPC-DS,EqualDistinctCountHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,41405.500000
TPC-DS,EqualDistinctCountHistogram,10,1,JoinHashLeft,1920800,4499,1920800.000000,1486.885742
TPC-DS,EqualDistinctCountHistogram,10,2,JoinHashLeft,500000,4651,500000.000000,1540.185181
TPC-DS,EqualDistinctCountHistogram,10,3,JoinHashLeft,7197566,280942,7197566.000000,10832.376953
TPC-DS,EqualDistinctCountHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,21577.921875
TPC-DS,EqualDistinctCountHistogram,10,5,TableScan,65535,365,65535.000000,333.707794
TPC-DS,EqualDistinctCountHistogram,10,6,TableScan,250000,2319,250000.000000,666.397644
TPC-DS,EqualDistinctCountHistogram,13,0,JoinHashLeft,7200,779,7200.000000,0.000000
TPC-DS,EqualDistinctCountHistogram,13,1,JoinHashRight,7200,65291,7200.000000,0.000386
TPC-DS,EqualDistinctCountHistogram,13,2,JoinHashLeft,102,51,102.000000,0.130159
TPC-DS,EqualDistinctCountHistogram,13,3,JoinHashLeft,1920800,48313,1920800.000000,0.000386
TPC-DS,EqualDistinctCountHistogram,13,4,JoinHashLeft,250000,166058,250000.000000,3596.342773
TPC-DS,EqualDistinctCountHistogram,13,5,JoinHashLeft,28800991,5470761,28800992.000000,125826.726562
TPC-DS,EqualDistinctCountHistogram,13,6,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000
TPC-DS,EqualDistinctCountHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000
TPC-DS,EqualDistinctCountHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000
TPC-DS,EqualDistinctCountHistogram,15,3,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EqualDistinctCountHistogram,16,0,JoinHashLeft,1439749,115908,1439749.000000,0.253935
TPC-DS,EqualDistinctCountHistogram,16,1,JoinHashLeft,14401261,1164433,14401261.000000,1.499512
TPC-DS,EqualDistinctCountHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.166597
TPC-DS,EqualDistinctCountHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.165767
