benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
TPC-DS,EquiWidthHistogram,01,0,JoinHashLeft,500000,147716,500000.000000,5325.417969
TPC-DS,EquiWidthHistogram,01,1,JoinHashLeft,2875432,557993,2875432.000000,12716.889648
TPC-DS,EquiWidthHistogram,01,2,TableScan,102,32,102.000000,32.000000
TPC-DS,EquiWidthHistogram,01,3,TableScan,65535,366,65535.000000,334.844116
TPC-DS,EquiWidthHistogram,03,0,TableScan,73049,6000,73049.000000,6200.000000
TPC-DS,EquiWidthHistogram,03,1,TableScan,102000,180,102000.000000,186.399994
TPC-DS,EquiWidthHistogram,03,2,JoinHashLeft,28800991,51799,28800992.000000,52606.609375
TPC-DS,EquiWidthHistogram,06,0,JoinHashLeft,102000,10174,102000.000000,102000.000000
TPC-DS,EquiWidthHistogram,06,1,JoinHashLeft,500000,500000,500000.000000,499802.000000
TPC-DS,EquiWidthHistogram,06,2,JoinHashRight,250000,500000,250000.000000,499802.000000
TPC-DS,EquiWidthHistogram,06,3,JoinHashLeft,28800991,288747,28800992.000000,320474.125000
TPC-DS,EquiWidthHistogram,06,4,Aggregate,102000,11,102000.000000,102000.000000
TPC-DS,EquiWidthHistogram,06,5,JoinHashLeft,73049,31,73049.000000,849.729919
TPC-DS,EquiWidthHistogram,06,6,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EquiWidthHistogram,07,0,JoinHashLeft,102000,39559,102000.000000,21855.732422
TPC-DS,EquiWidthHistogram,07,1,JoinHashLeft,28800991,5519143,28800992.000000,126285.945312
TPC-DS,EquiWidthHistogram,07,2,TableScan,500,494,500.000000,494.000000
TPC-DS,EquiWidthHistogram,07,3,TableScan,500,493,500.000000,493.000000
TPC-DS,EquiWidthHistogram,07,4,TableScan,65535,366,65535.000000,334.844116
TPC-DS,EquiWidthHistogram,07,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,EquiWidthHistogram,09,0,TableScan,45,1,45.000000,1.000000
TPC-DS,EquiWidthHistogram,10,0,JoinHashLeft,28800991,1092669,28800992.000000,46796.757812
TPC-DS,EquiWidthHistogram,10,1,JoinHashLeft,1920800,4499,1920800.000000,2176.898193
TPC-DS,EquiWidthHistogram,10,2,JoinHashLeft,500000,4651,500000.000000,2255.051270
TPC-DS,EquiWidthHistogram,10,3,JoinHashLeft,7197566,280942,7197566.000000,12242.729492
TPC-DS,EquiWidthHistogram,10,4,JoinHashLeft,14401261,540591,14401261.000000,24366.794922
TPC-DS,EquiWidthHistogram,10,5,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EquiWidthHistogram,10,6,TableScan,250000,2319,250000.000000,976.020020
TPC-DS,EquiWidthHistogram,13,0,JoinHashLeft,1920800,2545,1920800.000000,0.000661
TPC-DS,EquiWidthHistogram,13,1,JoinHashLeft,250000,14832,250000.000000,0.412383
TPC-DS,EquiWidthHistogram,13,2,JoinHashRight,7200,396359,7200.000000,2002.356689
TPC-DS,EquiWidthHistogram,13,3,JoinHashRight,7200,5278261,7200.000000,75785.812500
TPC-DS,EquiWidthHistogram,13,4,JoinHashRight,102,5342168,102.000000,80448.156250
TPC-DS,EquiWidthHistogram,13,5,JoinHashLeft,28800991,5470761,28800992.000000,125914.648438
TPC-DS,EquiWidthHistogram,13,6,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EquiWidthHistogram,15,0,JoinHashLeft,14401261,412620,0.000000,0.000000
TPC-DS,EquiWidthHistogram,15,1,JoinHashRight,250000,44146,250000.000000,0.000000
TPC-DS,EquiWidthHistogram,15,2,JoinHashLeft,500000,44146,500000.000000,0.000000
TPC-DS,EquiWidthHistogram,15,3,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EquiWidthHistogram,16,0,JoinHashLeft,1439749,1952,1439749.000000,0.136113
TPC-DS,EquiWidthHistogram,16,1,JoinHashLeft,14401261,18925,14401261.000000,0.803724
TPC-DS,EquiWidthHistogram,16,2,JoinHashLeft,14401261,496369,14401261.000000,0.166623
TPC-DS,EquiWidthHistogram,16,3,JoinHashLeft,250000,99110,250000.000000,0.165727
TPC-DS,EquiWidthHistogram,16,4,JoinHashLeft,24,16,24.000000,0.089782
TPC-DS,EquiWidthHistogram,16,5,TableScan,65535,61,65535.000000,0.000850
TPC-DS,EquiWidthHistogram,17,0,JoinHashLeft,102000,0,102000.000000,2119.975342
TPC-DS,EquiWidthHistogram,17,1,JoinHashRight,102,57980,102.000000,2125.082764
TPC-DS,EquiWidthHistogram,17,2,JoinHashLeft,14401261,1594247,14401261.000000,17924.039062
TPC-DS,EquiWidthHistogram,17,3,TableScan,73049,91,73049.000000,91.272728
TPC-DS,EquiWidthHistogram,17,4,JoinHashLeft,28800991,803599,28800992.000000,31039.179688
TPC-DS,EquiWidthHistogram,17,5,JoinHashLeft,2875432,404102,2875432.000000,3466.408691
TPC-DS,EquiWidthHistogram,17,6,TableScan,73049,92,73049.000000,91.272728
TPC-DS,EquiWidthHistogram,17,7,TableScan,73049,91,73049.000000,91.272728
TPC-DS,EquiWidthHistogram,17,8,TableScan,65535,91,65535.000000,82.299728
TPC-DS,EquiWidthHistogram,19,0,JoinHashLeft,250000,13546,250000.000000,1125.427368
TPC-DS,EquiWidthHistogram,19,1,JoinHashRight,102,15762,102.000000,1179.167114
TPC-DS,EquiWidthHistogram,19,2,JoinHashLeft,500000,13948,500000.000000,1125.873047
TPC-DS,EquiWidthHistogram,19,3,TableScan,102000,1836,102000.000000,1846.500122
TPC-DS,EquiWidthHistogram,19,4,JoinHashLeft,28800991,883317,28800992.000000,10377.418945
TPC-DS,EquiWidthHistogram,19,5,TableScan,65535,365,65535.000000,334.996704
TPC-DS,EquiWidthHistogram,25,0,JoinHashLeft,14401261,1498602,14401261.000000,38413.914062
TPC-DS,EquiWidthHistogram,25,1,JoinHashLeft,102000,15860,102000.000000,6288.087891
TPC-DS,EquiWidthHistogram,25,2,JoinHashRight,102,256243,102.000000,6607.743652
TPC-DS,EquiWidthHistogram,25,3,TableScan,65535,365,65535.000000,333.860016
TPC-DS,EquiWidthHistogram,25,4,JoinHashLeft,2875432,259123,2875432.000000,7429.040039
TPC-DS,EquiWidthHistogram,25,5,JoinHashLeft,28800991,262336,28800992.000000,10342.209961
TPC-DS,EquiWidthHistogram,26,0,JoinHashLeft,102000,39769,102000.000000,22770.769531
TPC-DS,EquiWidthHistogram,26,1,JoinHashLeft,14401261,2867400,14401261.000000,65756.304688
TPC-DS,EquiWidthHistogram,26,2,TableScan,500,494,500.000000,494.000000
TPC-DS,EquiWidthHistogram,26,3,TableScan,500,493,500.000000,493.000000
TPC-DS,EquiWidthHistogram,26,4,TableScan,65535,366,65535.000000,334.844116
TPC-DS,EquiWidthHistogram,26,5,TableScan,1920800,274400,1920800.000000,274400.000000
TPC-DS,EquiWidthHistogram,28,0,TableScan,28800991,1374815,28800992.000000,1512516.000000
TPC-DS,EquiWidthHistogram,28,1,TableScan,28800991,1373693,28800992.000000,1236087.500000
TPC-DS,EquiWidthHistogram,28,2,TableScan,28800991,1374966,28800992.000000,1236389.500000
TPC-DS,EquiWidthHistogram,28,3,TableScan,28800991,1374768,28800992.000000,1236477.000000
TPC-DS,EquiWidthHistogram,28,4,TableScan,28800991,1375524,28800992.000000,1237604.000000
TPC-DS,EquiWidthHistogram,28,5,TableScan,28800991,1372592,28800992.000000,1254788.625000
TPC-DS,EquiWidthHistogram,29,0,JoinHashRight,102,3,102.000000,324.697876
TPC-DS,EquiWidthHistogram,29,1,JoinHashLeft,102000,3,102000.000000,324.697876
TPC-DS,EquiWidthHistogram,29,2,JoinHashLeft,28800991,590830,28800992.000000,10377.418945
TPC-DS,EquiWidthHistogram,29,3,JoinHashLeft,2875432,182689,2875432.000000,3727.164307
TPC-DS,EquiWidthHistogram,29,4,TableScan,65535,365,65535.000000,334.996704
TPC-DS,EquiWidthHistogram,29,5,JoinHashLeft,14401261,3776379,14401261.000000,107476.257812
TPC-DS,EquiWidthHistogram,29,6,TableScan,73049,365,73049.000000,365.200012
TPC-DS,EquiWidthHistogram,29,7,TableScan,73049,366,73049.000000,365.333344
TPC-DS,EquiWidthHistogram,29,8,TableScan,73049,365,73049.000000,365.333344
TPC-DS,EquiWidthHistogram,31,0,JoinHashLeft,250000,63379,250000.000000,30033.875000
TPC-DS,EquiWidthHistogram,31,1,JoinHashLeft,250000,30140,250000.000000,8316.553711
TPC-DS,EquiWidthHistogram,31,2,JoinHashLeft,250000,100122,250000.000000,30365.578125
TPC-DS,EquiWidthHistogram,31,3,JoinHashLeft,250000,60373,250000.000000,30035.513672
TPC-DS,EquiWidthHistogram,31,4,JoinHashLeft,28800991,839034,28800992.000000,31462.113281
TPC-DS,EquiWidthHistogram,31,5,JoinHashLeft,250000,16757,250000.000000,8226.155273
TPC-DS,EquiWidthHistogram,31,6,JoinHashLeft,250000,17668,250000.000000,8225.702148
TPC-DS,EquiWidthHistogram,31,7,JoinHashLeft,7197566,384845,7197566.000000,8321.863281
