HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,int,0,5,5,0.000215055
EquiHeightHistogram,string,3,25,5,0.000737568
EquiHeightHistogram,string,2,5,5,0.000403459
EquiHeightHistogram,int,2,25,5,0.00086165
EquiHeightHistogram,string,1,25,5,0.00160507
EquiHeightHistogram,int,0,25,5,0.00170277
EquiHeightHistogram,int,3,100000,25,0.00198684
EquiHeightHistogram,string,1,5,5,0.00221102
EquiHeightHistogram,int,5,2e+06,50,0.0162246
EquiHeightHistogram,int,3,1.5e+06,25,0.0142241
EquiHeightHistogram,float,5,100000,50,0.0382316
EquiHeightHistogram,int,0,100000,50,0.0573906
EquiHeightHistogram,float,7,2e+06,100,0.0837746
EquiHeightHistogram,string,6,1.5e+06,5,0.0854122
EquiHeightHistogram,int,1,8e+06,100,0.0917221
EquiHeightHistogram,int,7,1.5e+07,1,0.0993275
EquiHeightHistogram,int,2,8e+06,100,0.0989117
EquiHeightHistogram,string,3,2e+06,25,0.114852
EquiHeightHistogram,string,2,2e+06,5,0.159456
EquiHeightHistogram,string,4,100000,50,0.162561
EquiHeightHistogram,string,6,2e+06,40,0.160961
EquiHeightHistogram,int,0,1.5e+06,100,0.222191
EquiHeightHistogram,string,4,2e+06,100,0.230466
EquiHeightHistogram,int,0,8e+06,100,0.228026
EquiHeightHistogram,int,0,2e+06,100,0.233066
EquiHeightHistogram,string,1,100000,50,0.268756
EquiHeightHistogram,float,5,1.5e+06,100,0.293647
EquiHeightHistogram,string,6,100000,50,0.334224
EquiHeightHistogram,string,2,100000,50,0.341801
EquiHeightHistogram,float,3,8e+06,100,0.415374
EquiHeightHistogram,string,2,1.5e+07,3,0.508536
EquiHeightHistogram,float,7,5.99861e+07,9,0.799483
EquiHeightHistogram,int,1,1.5e+07,100,0.870667
EquiHeightHistogram,float,6,5.99861e+07,11,0.88012
EquiHeightHistogram,string,4,1.5e+07,100,0.962074
EquiHeightHistogram,string,5,1.5e+07,5,0.999175
EquiHeightHistogram,string,6,1.5e+07,100,1.49637
EquiHeightHistogram,string,4,1.5e+06,100,1.64098
EquiHeightHistogram,int,0,1.5e+07,100,1.68534
EquiHeightHistogram,string,8,2e+06,100,1.80656
EquiHeightHistogram,string,9,3.35544e+07,2,1.98693
EquiHeightHistogram,string,1,1.5e+06,100,2.15727
EquiHeightHistogram,string,8,4.63895e+07,3,2.24944
EquiHeightHistogram,string,7,1.5e+06,100,2.86496
EquiHeightHistogram,string,2,1.5e+06,100,3.06595
EquiHeightHistogram,string,10,5.99861e+07,100,3.55639
EquiHeightHistogram,string,11,5.99861e+07,100,3.61671
EquiHeightHistogram,string,12,5.99861e+07,100,3.68489
EquiHeightHistogram,string,14,5.99861e+07,7,3.75045
EquiHeightHistogram,float,3,1.5e+07,100,3.86195
EquiHeightHistogram,string,1,2e+06,100,4.02928
EquiHeightHistogram,float,4,5.9986e+07,50,0.892297
EquiHeightHistogram,string,13,5.99861e+07,4,4.65826
EquiHeightHistogram,int,2,5.99864e+07,100,1.08236
EquiHeightHistogram,int,1,5.99862e+07,100,1.27501
EquiHeightHistogram,int,3,5.99861e+07,7,0.364406
EquiHeightHistogram,int,0,5.99804e+07,100,2.22397
EquiHeightHistogram,string,4,8e+06,100,20.0287
EquiHeightHistogram,string,8,1.5e+07,100,31.6759
EquiHeightHistogram,string,15,4.09454e+07,100,81.4378
EquiHeightHistogram,float,5,5.99781e+07,100,3.37291
