HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,2,5,5,0.000485854
GDYHistogram,int,2,25,5,0.000165568
GDYHistogram,int,0,5,5,0.0001929
GDYHistogram,int,0,25,5,0.00027366
EqualDistinctCountHistogram,string,3,25,5,0.000647936
EqualDistinctCountHistogram,string,1,25,5,0.000479186
GDYHistogram,int,3,100000,25,0.00141872
EqualDistinctCountHistogram,string,1,5,5,0.00220432
GDYHistogram,int,0,100000,50,0.0264114
GDYHistogram,int,5,2e+06,50,0.0361129
GDYHistogram,int,3,1.5e+06,25,0.0473028
GDYHistogram,float,5,100000,50,0.0771358
EqualDistinctCountHistogram,string,6,1.5e+06,5,0.104478
EqualDistinctCountHistogram,string,3,2e+06,25,0.120951
EqualDistinctCountHistogram,string,2,2e+06,5,0.124629
GDYHistogram,float,7,2e+06,100,0.128773
EqualDistinctCountHistogram,string,6,2e+06,40,0.139984
EqualDistinctCountHistogram,string,4,100000,50,0.172195
GDYHistogram,int,7,1.5e+07,1,0.176462
EqualDistinctCountHistogram,string,1,100000,50,0.251158
EqualDistinctCountHistogram,string,2,100000,50,0.275718
EqualDistinctCountHistogram,string,4,2e+06,100,0.283005
GDYHistogram,int,0,1.5e+06,100,0.298198
GDYHistogram,int,0,2e+06,100,0.324009
EqualDistinctCountHistogram,string,6,100000,50,0.369375
GDYHistogram,int,2,8e+06,100,0.227089
GDYHistogram,int,1,8e+06,100,0.235799
GDYHistogram,int,0,8e+06,100,0.380722
EqualDistinctCountHistogram,string,2,1.5e+07,3,0.533154
GDYHistogram,float,5,1.5e+06,100,0.613335
GDYHistogram,float,3,8e+06,100,0.708739
EqualDistinctCountHistogram,string,4,1.5e+07,100,0.936271
GDYHistogram,int,1,1.5e+07,100,0.942742
EqualDistinctCountHistogram,string,5,1.5e+07,5,0.997769
EqualDistinctCountHistogram,string,6,1.5e+07,100,1.5755
GDYHistogram,float,7,5.99861e+07,9,1.61603
EqualDistinctCountHistogram,string,8,2e+06,100,1.82143
GDYHistogram,float,6,5.99861e+07,11,1.79376
EqualDistinctCountHistogram,string,4,1.5e+06,100,1.98581
EqualDistinctCountHistogram,string,9,3.35544e+07,2,1.99495
EqualDistinctCountHistogram,string,1,1.5e+06,100,2.32401
EqualDistinctCountHistogram,string,8,4.63895e+07,3,2.23092
EqualDistinctCountHistogram,string,2,1.5e+06,100,2.832
EqualDistinctCountHistogram,string,7,1.5e+06,100,3.24231
EqualDistinctCountHistogram,string,1,2e+06,100,3.30782
GDYHistogram,int,0,1.5e+07,100,3.27314
EqualDistinctCountHistogram,string,14,5.99861e+07,7,3.6653
EqualDistinctCountHistogram,string,12,5.99861e+07,100,3.69189
EqualDistinctCountHistogram,string,11,5.99861e+07,100,3.73121
EqualDistinctCountHistogram,string,13,5.99861e+07,4,4.45055
EqualDistinctCountHistogram,string,10,5.99861e+07,100,4.5188
GDYHistogram,int,3,5.99861e+07,7,0.714104
GDYHistogram,float,4,5.9986e+07,50,1.79047
GDYHistogram,int,2,5.9986e+07,100,2.68975
GDYHistogram,int,1,5.99861e+07,100,3.62615
GDYHistogram,int,0,5.9986e+07,100,4.92297
GDYHistogram,float,3,1.5e+07,100,11.0308
EqualDistinctCountHistogram,string,4,8e+06,100,17.5703
EqualDistinctCountHistogram,string,8,1.5e+07,100,32.4013
EqualDistinctCountHistogram,string,15,4.09454e+07,100,88.9588
GDYHistogram,float,5,5.99861e+07,100,7.27082
