HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,int,0,25,5,0.000391694
MaxDiffFrequencyHistogram,string,1,25,5,0.000511926
MaxDiffFrequencyHistogram,string,1,5,5,0.000625071
MaxDiffFrequencyHistogram,int,0,5,5,0.000243335
MaxDiffFrequencyHistogram,int,3,100000,25,0.00146175
MaxDiffFrequencyHistogram,int,2,25,5,0.000899002
MaxDiffFrequencyHistogram,string,2,5,5,0.00151039
MaxDiffFrequencyHistogram,string,3,25,5,0.00202138
MaxDiffFrequencyHistogram,int,3,1.5e+06,25,0.0186997
MaxDiffFrequencyHistogram,int,0,100000,50,0.0487414
MaxDiffFrequencyHistogram,string,6,1.5e+06,5,0.0839305
MaxDiffFrequencyHistogram,int,2,8e+06,100,0.0865413
MaxDiffFrequencyHistogram,int,1,8e+06,100,0.103953
MaxDiffFrequencyHistogram,int,7,1.5e+07,1,0.102736
MaxDiffFrequencyHistogram,float,5,100000,50,0.1037
MaxDiffFrequencyHistogram,int,5,2e+06,50,0.121089
MaxDiffFrequencyHistogram,string,3,2e+06,25,0.125724
MaxDiffFrequencyHistogram,string,2,2e+06,5,0.130138
MaxDiffFrequencyHistogram,string,6,2e+06,40,0.173478
MaxDiffFrequencyHistogram,string,4,100000,50,0.218579
MaxDiffFrequencyHistogram,string,4,2e+06,100,0.222962
MaxDiffFrequencyHistogram,string,1,100000,50,0.229993
MaxDiffFrequencyHistogram,float,7,2e+06,100,0.2236
MaxDiffFrequencyHistogram,int,0,2e+06,100,0.306494
MaxDiffFrequencyHistogram,string,2,100000,50,0.315358
MaxDiffFrequencyHistogram,float,3,8e+06,100,0.329826
MaxDiffFrequencyHistogram,int,0,1.5e+06,100,0.340586
MaxDiffFrequencyHistogram,int,0,8e+06,100,0.373508
MaxDiffFrequencyHistogram,string,6,100000,50,0.395468
MaxDiffFrequencyHistogram,float,5,1.5e+06,100,0.42149
MaxDiffFrequencyHistogram,string,2,1.5e+07,3,0.507112
MaxDiffFrequencyHistogram,int,1,1.5e+07,100,0.747306
MaxDiffFrequencyHistogram,float,7,5.99861e+07,9,0.877993
MaxDiffFrequencyHistogram,float,6,5.99861e+07,11,0.941925
MaxDiffFrequencyHistogram,string,5,1.5e+07,5,0.99616
MaxDiffFrequencyHistogram,string,4,1.5e+07,100,1.56013
MaxDiffFrequencyHistogram,string,4,1.5e+06,100,1.64602
MaxDiffFrequencyHistogram,string,8,2e+06,100,1.68757
MaxDiffFrequencyHistogram,string,6,1.5e+07,100,1.89419
MaxDiffFrequencyHistogram,string,9,3.35544e+07,2,2.22686
MaxDiffFrequencyHistogram,string,8,4.63895e+07,3,2.28446
MaxDiffFrequencyHistogram,string,2,1.5e+06,100,2.56593
MaxDiffFrequencyHistogram,int,0,1.5e+07,100,3.37913
MaxDiffFrequencyHistogram,string,1,1.5e+06,100,3.4584
MaxDiffFrequencyHistogram,string,7,1.5e+06,100,3.52255
MaxDiffFrequencyHistogram,string,1,2e+06,100,3.60785
MaxDiffFrequencyHistogram,string,10,5.99861e+07,100,3.88441
MaxDiffFrequencyHistogram,string,12,5.99861e+07,100,3.88503
MaxDiffFrequencyHistogram,string,14,5.99861e+07,7,3.88737
MaxDiffFrequencyHistogram,string,11,5.99861e+07,100,3.91026
MaxDiffFrequencyHistogram,float,3,1.5e+07,100,4.49424
MaxDiffFrequencyHistogram,string,13,5.99861e+07,4,5.04034
MaxDiffFrequencyHistogram,int,3,5.99861e+07,7,0.419111
MaxDiffFrequencyHistogram,float,4,5.9986e+07,50,1.52795
MaxDiffFrequencyHistogram,int,2,5.99864e+07,100,1.55297
MaxDiffFrequencyHistogram,int,1,5.99862e+07,100,2.18411
MaxDiffFrequencyHistogram,int,0,5.99804e+07,100,3.40051
MaxDiffFrequencyHistogram,string,4,8e+06,100,18.3875
MaxDiffFrequencyHistogram,string,8,1.5e+07,100,29.6658
MaxDiffFrequencyHistogram,string,15,4.09454e+07,100,91.0985
MaxDiffFrequencyHistogram,float,5,5.99781e+07,100,4.76501
