HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,int,2,25,5,0.00441244
EquiHeightHistogram,int,0,25,5,0.00534257
EquiHeightHistogram,string,1,5,5,0.00558477
EquiHeightHistogram,int,0,10000,5,0.00485543
EquiHeightHistogram,string,3,25,5,0.00599169
EquiHeightHistogram,string,1,25,5,0.00366923
EquiHeightHistogram,string,2,5,5,0.00754366
EquiHeightHistogram,int,0,5,5,0.00141276
EquiHeightHistogram,int,3,10000,5,0.00155481
EquiHeightHistogram,int,3,150000,25,0.00588745
EquiHeightHistogram,int,5,200000,50,0.00303229
EquiHeightHistogram,float,5,10000,5,0.0113047
EquiHeightHistogram,string,6,150000,5,0.0113314
EquiHeightHistogram,int,1,800000,100,0.0182522
EquiHeightHistogram,float,7,200000,100,0.0104011
EquiHeightHistogram,string,1,10000,5,0.0211477
EquiHeightHistogram,int,7,1.5e+06,1,0.014086
EquiHeightHistogram,string,6,200000,40,0.0165968
EquiHeightHistogram,string,3,200000,25,0.0167865
EquiHeightHistogram,string,2,200000,5,0.0166861
EquiHeightHistogram,string,2,10000,5,0.0259378
EquiHeightHistogram,string,4,200000,100,0.0222446
EquiHeightHistogram,int,2,800000,100,0.0306839
EquiHeightHistogram,string,6,10000,5,0.0362797
EquiHeightHistogram,string,4,10000,5,0.044304
EquiHeightHistogram,int,0,800000,100,0.0567617
EquiHeightHistogram,float,5,150000,75,0.0524187
EquiHeightHistogram,string,2,1.5e+06,3,0.052922
EquiHeightHistogram,int,0,200000,100,0.0578108
EquiHeightHistogram,int,0,150000,75,0.0675138
EquiHeightHistogram,float,7,6.00122e+06,9,0.0809969
EquiHeightHistogram,float,3,800000,100,0.0878066
EquiHeightHistogram,float,6,6.00122e+06,11,0.0879968
EquiHeightHistogram,int,1,1.5e+06,100,0.0873723
EquiHeightHistogram,string,5,1.5e+06,5,0.0993304
EquiHeightHistogram,string,4,1.5e+06,100,0.125512
EquiHeightHistogram,string,6,1.5e+06,100,0.160301
EquiHeightHistogram,string,4,150000,75,0.184724
EquiHeightHistogram,string,9,6.00122e+06,2,0.203938
EquiHeightHistogram,int,0,1.5e+06,100,0.212347
EquiHeightHistogram,string,1,150000,75,0.220666
EquiHeightHistogram,string,8,6.00122e+06,3,0.226891
EquiHeightHistogram,string,8,200000,100,0.233727
EquiHeightHistogram,string,2,150000,75,0.347595
EquiHeightHistogram,string,7,150000,75,0.358111
EquiHeightHistogram,string,14,6.00122e+06,7,0.364098
EquiHeightHistogram,string,10,6.00122e+06,100,0.382802
EquiHeightHistogram,float,3,1.5e+06,100,0.407405
EquiHeightHistogram,string,1,200000,100,0.416861
EquiHeightHistogram,string,11,6.00122e+06,100,0.422008
EquiHeightHistogram,float,4,6.00122e+06,50,0.0886605
EquiHeightHistogram,string,13,6.00122e+06,4,0.464319
EquiHeightHistogram,string,12,6.00122e+06,100,0.48404
EquiHeightHistogram,int,3,6.00122e+06,7,0.0373428
EquiHeightHistogram,int,2,6.00122e+06,100,0.0521839
EquiHeightHistogram,int,1,6.00122e+06,100,0.180225
EquiHeightHistogram,int,0,6.00122e+06,100,0.221468
EquiHeightHistogram,string,4,800000,100,2.02576
EquiHeightHistogram,string,8,1.5e+06,100,2.9623
EquiHeightHistogram,string,15,6.00122e+06,100,9.55282
EquiHeightHistogram,float,5,6.00122e+06,100,0.397164
