HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,1,5,5,9.8958e-05
EqualDistinctCountHistogram,string,1,25,5,9.9948e-05
EqualDistinctCountHistogram,int,3,1000,5,8.7944e-05
EqualDistinctCountHistogram,string,2,5,5,9.9374e-05
EqualDistinctCountHistogram,int,2,25,5,4.5786e-05
EqualDistinctCountHistogram,int,0,5,5,0.00012185
EqualDistinctCountHistogram,int,0,1000,5,0.000382077
EqualDistinctCountHistogram,string,3,25,5,0.000138228
EqualDistinctCountHistogram,float,5,1000,5,0.000455892
EqualDistinctCountHistogram,int,0,25,5,0.00042249
EqualDistinctCountHistogram,int,5,20000,10,0.000529322
EqualDistinctCountHistogram,int,3,15000,7,0.000407411
EqualDistinctCountHistogram,float,7,20000,10,0.000886728
EqualDistinctCountHistogram,string,4,1000,5,0.00110071
EqualDistinctCountHistogram,string,1,1000,5,0.00143368
EqualDistinctCountHistogram,string,3,20000,10,0.00132918
EqualDistinctCountHistogram,string,6,15000,5,0.00104632
EqualDistinctCountHistogram,string,2,20000,5,0.00158114
EqualDistinctCountHistogram,int,1,80000,40,0.00164306
EqualDistinctCountHistogram,int,7,150000,1,0.00112216
EqualDistinctCountHistogram,int,0,15000,7,0.00196489
EqualDistinctCountHistogram,string,6,1000,5,0.00232865
EqualDistinctCountHistogram,string,6,20000,10,0.00235247
EqualDistinctCountHistogram,int,0,20000,10,0.0025032
EqualDistinctCountHistogram,string,4,20000,10,0.002694
EqualDistinctCountHistogram,int,2,80000,40,0.0030501
EqualDistinctCountHistogram,string,2,1000,5,0.00317844
EqualDistinctCountHistogram,int,0,80000,40,0.00360358
EqualDistinctCountHistogram,float,5,15000,7,0.00373568
EqualDistinctCountHistogram,int,1,150000,75,0.00672364
EqualDistinctCountHistogram,float,7,600572,9,0.00810283
EqualDistinctCountHistogram,float,6,600572,11,0.00960918
EqualDistinctCountHistogram,string,5,150000,5,0.01024
EqualDistinctCountHistogram,string,4,150000,75,0.0104477
EqualDistinctCountHistogram,string,2,150000,3,0.0108788
EqualDistinctCountHistogram,string,6,150000,75,0.0113017
EqualDistinctCountHistogram,string,1,15000,7,0.0128415
EqualDistinctCountHistogram,float,3,80000,40,0.0153595
EqualDistinctCountHistogram,string,4,15000,7,0.0167184
EqualDistinctCountHistogram,int,0,150000,75,0.0184049
EqualDistinctCountHistogram,string,8,20000,10,0.0191253
EqualDistinctCountHistogram,string,7,15000,7,0.0227741
EqualDistinctCountHistogram,string,8,600572,3,0.0239385
EqualDistinctCountHistogram,string,9,600572,2,0.0267049
EqualDistinctCountHistogram,string,2,15000,7,0.0287401
EqualDistinctCountHistogram,string,14,600572,7,0.0380903
EqualDistinctCountHistogram,string,11,600572,100,0.039608
EqualDistinctCountHistogram,string,1,20000,10,0.0408324
EqualDistinctCountHistogram,float,3,150000,75,0.0454153
EqualDistinctCountHistogram,string,12,600572,100,0.0459585
EqualDistinctCountHistogram,string,10,600572,100,0.0460148
EqualDistinctCountHistogram,float,4,600572,50,0.00900369
EqualDistinctCountHistogram,int,1,600572,100,0.00899348
EqualDistinctCountHistogram,int,2,600572,100,0.00385683
EqualDistinctCountHistogram,string,13,600572,4,0.0548637
EqualDistinctCountHistogram,int,3,600572,7,0.00542954
EqualDistinctCountHistogram,int,0,600572,100,0.0237413
EqualDistinctCountHistogram,string,4,80000,40,0.128889
EqualDistinctCountHistogram,string,8,150000,75,0.272841
EqualDistinctCountHistogram,string,15,600572,100,0.808587
EqualDistinctCountHistogram,float,5,600572,100,0.0371346
