benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,EqualDistinctCountHistogram,TPC-H 01,0,TableScan,600572,596626,600572.000000,597896.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,0,TableScan,20000,434,20000.000000,409.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,1,JoinHashLeft,80000,384,80000.000000,163.599915,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,2,JoinHashLeft,1000,204,1000.000000,200.000015,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,3,JoinHashLeft,1000,204,1000.000000,200.000015,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 03,0,JoinHashLeft,600572,57768,600572.000000,86556.531250,100
TPC-H,EqualDistinctCountHistogram,TPC-H 03,1,JoinHashLeft,150000,29859,150000.000000,45044.242188,100
TPC-H,EqualDistinctCountHistogram,TPC-H 03,2,TableScan,15000,3013,15000.000000,3013.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 04,0,TableScan,150000,5758,150000.000000,6107.970703,100
TPC-H,EqualDistinctCountHistogram,TPC-H 04,1,JoinHashLeft,600572,23024,600572.000000,24455.156250,100
TPC-H,EqualDistinctCountHistogram,TPC-H 05,0,JoinHashRight,15000,16533,15000.000000,19336.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 05,1,TableScan,150000,22958,150000.000000,24147.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 05,2,JoinHashLeft,600572,92293,600572.000000,96680.031250,100
TPC-H,EqualDistinctCountHistogram,TPC-H 05,3,JoinHashLeft,1000,179,1000.000000,200.000015,100
TPC-H,EqualDistinctCountHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 06,0,TableScan,600572,89333,600572.000000,94545.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 07,0,JoinHashLeft,1000,76,1000.000000,40.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000,100
TPC-H,EqualDistinctCountHistogram,TPC-H 07,3,JoinHashLeft,150000,12441,150000.000000,8969.976562,100
TPC-H,EqualDistinctCountHistogram,TPC-H 07,4,JoinHashLeft,600572,45593,600572.000000,24022.878906,100
