HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiHeightHistogram,string,3,25,5,0.000169081
EquiHeightHistogram,int,2,25,5,0.000120778
EquiHeightHistogram,string,1,25,5,0.000170032
EquiHeightHistogram,int,0,25,5,0.000125588
EquiHeightHistogram,int,0,5,5,0.00025957
EquiHeightHistogram,string,1,5,5,0.000355204
EquiHeightHistogram,string,2,5,5,0.000243218
EquiHeightHistogram,int,5,20000,10,0.00031278
EquiHeightHistogram,int,3,1000,5,0.000299855
EquiHeightHistogram,int,0,1000,5,0.000463013
EquiHeightHistogram,int,3,15000,7,0.000471207
EquiHeightHistogram,string,1,1000,5,0.000643744
EquiHeightHistogram,float,5,1000,5,0.00061679
EquiHeightHistogram,int,7,150000,1,0.000971146
EquiHeightHistogram,int,1,80000,40,0.000856758
EquiHeightHistogram,string,4,1000,5,0.00084425
EquiHeightHistogram,float,7,20000,10,0.00124775
EquiHeightHistogram,int,0,15000,7,0.00142982
EquiHeightHistogram,int,2,80000,40,0.00145679
EquiHeightHistogram,string,6,15000,5,0.0014551
EquiHeightHistogram,string,6,20000,10,0.00151829
EquiHeightHistogram,string,3,20000,10,0.00163395
EquiHeightHistogram,string,2,20000,5,0.00203706
EquiHeightHistogram,string,6,1000,5,0.00227441
EquiHeightHistogram,string,2,1000,5,0.0022991
EquiHeightHistogram,int,1,150000,75,0.00287777
EquiHeightHistogram,string,4,20000,10,0.00536168
EquiHeightHistogram,string,2,150000,3,0.00643549
EquiHeightHistogram,float,5,15000,7,0.00769993
EquiHeightHistogram,float,6,600572,11,0.00889576
EquiHeightHistogram,int,0,20000,10,0.00905906
EquiHeightHistogram,int,0,80000,40,0.00909872
EquiHeightHistogram,string,5,150000,5,0.0101668
EquiHeightHistogram,string,4,150000,75,0.0104607
EquiHeightHistogram,string,6,150000,75,0.0110366
EquiHeightHistogram,float,7,600572,9,0.0103716
EquiHeightHistogram,float,3,80000,40,0.0179522
EquiHeightHistogram,string,8,20000,10,0.0184468
EquiHeightHistogram,string,7,15000,7,0.0190114
EquiHeightHistogram,string,4,15000,7,0.0199246
EquiHeightHistogram,string,9,600572,2,0.0208564
EquiHeightHistogram,string,2,15000,7,0.0227024
EquiHeightHistogram,string,8,600572,3,0.0231807
EquiHeightHistogram,string,1,15000,7,0.024637
EquiHeightHistogram,int,0,150000,75,0.025953
EquiHeightHistogram,float,3,150000,75,0.0327674
EquiHeightHistogram,string,1,20000,10,0.0400779
EquiHeightHistogram,string,11,600572,100,0.042042
EquiHeightHistogram,string,10,600572,100,0.0462426
EquiHeightHistogram,string,13,600572,4,0.0502888
EquiHeightHistogram,int,1,600572,100,0.00912222
EquiHeightHistogram,int,3,600572,7,0.00359846
EquiHeightHistogram,string,14,600572,7,0.0554418
EquiHeightHistogram,float,4,600572,50,0.0145158
EquiHeightHistogram,int,0,600572,100,0.0242989
EquiHeightHistogram,string,12,600572,100,0.0727992
EquiHeightHistogram,int,2,600572,100,0.00404146
EquiHeightHistogram,string,4,80000,40,0.133206
EquiHeightHistogram,string,8,150000,75,0.208441
EquiHeightHistogram,string,15,600572,100,0.794362
EquiHeightHistogram,float,5,600572,100,0.0454198
