HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EquiWidthHistogram,int,2,25,5,0.000149865
EquiWidthHistogram,int,0,25,5,0.000287756
EqualDistinctCountHistogram,string,3,25,5,0.000267478
EqualDistinctCountHistogram,string,1,5,5,0.000233862
EquiWidthHistogram,int,3,1000,5,0.000172515
EquiWidthHistogram,int,5,20000,10,0.000353929
EqualDistinctCountHistogram,string,1,25,5,0.000304367
EquiWidthHistogram,int,0,1000,5,0.000482722
EquiWidthHistogram,float,5,1000,5,0.000519589
EquiWidthHistogram,int,0,5,5,0.000219801
EqualDistinctCountHistogram,string,2,5,5,0.000482638
EquiWidthHistogram,int,3,15000,7,0.000651481
EquiWidthHistogram,int,1,80000,40,0.000950666
EquiWidthHistogram,int,0,15000,7,0.000935908
EqualDistinctCountHistogram,string,2,1000,5,0.000976446
EqualDistinctCountHistogram,string,6,15000,5,0.00103557
EqualDistinctCountHistogram,string,4,1000,5,0.00117482
EqualDistinctCountHistogram,string,3,20000,10,0.00139667
EquiWidthHistogram,float,7,20000,10,0.00140615
EquiWidthHistogram,int,2,80000,40,0.00179806
EquiWidthHistogram,int,0,20000,10,0.00196991
EqualDistinctCountHistogram,string,6,20000,10,0.00245852
EquiWidthHistogram,int,7,150000,1,0.00218556
EqualDistinctCountHistogram,string,4,20000,10,0.00259972
EqualDistinctCountHistogram,string,2,20000,5,0.00228908
EqualDistinctCountHistogram,string,1,1000,5,0.00282173
EqualDistinctCountHistogram,string,6,1000,5,0.00287931
EquiWidthHistogram,int,0,80000,40,0.00475189
EqualDistinctCountHistogram,string,2,150000,3,0.00558682
EquiWidthHistogram,float,5,15000,7,0.00723963
EquiWidthHistogram,int,1,150000,75,0.00732446
EquiWidthHistogram,float,7,600572,9,0.00843901
EquiWidthHistogram,float,6,600572,11,0.00938414
EqualDistinctCountHistogram,string,5,150000,5,0.0107322
EqualDistinctCountHistogram,string,4,15000,7,0.0111619
EqualDistinctCountHistogram,string,6,150000,75,0.01404
EquiWidthHistogram,float,3,80000,40,0.014559
EqualDistinctCountHistogram,string,4,150000,75,0.0163762
EqualDistinctCountHistogram,string,1,15000,7,0.0166667
EquiWidthHistogram,int,0,150000,75,0.0184699
EqualDistinctCountHistogram,string,9,600572,2,0.0204882
EqualDistinctCountHistogram,string,8,600572,3,0.022988
EqualDistinctCountHistogram,string,1,20000,10,0.025325
EqualDistinctCountHistogram,string,2,15000,7,0.0269496
EqualDistinctCountHistogram,string,8,20000,10,0.0301082
EqualDistinctCountHistogram,string,7,15000,7,0.0328072
EqualDistinctCountHistogram,string,11,600572,100,0.0370289
EqualDistinctCountHistogram,string,14,600572,7,0.0371141
EqualDistinctCountHistogram,string,12,600572,100,0.0399646
EquiWidthHistogram,float,3,150000,75,0.0429429
EqualDistinctCountHistogram,string,10,600572,100,0.0434462
EquiWidthHistogram,int,2,600572,100,0.00410801
EquiWidthHistogram,float,4,600572,50,0.00892671
EqualDistinctCountHistogram,string,13,600572,4,0.0463787
EquiWidthHistogram,int,1,600572,100,0.0107738
EquiWidthHistogram,int,3,600572,7,0.00359307
EquiWidthHistogram,int,0,600572,100,0.0238736
EqualDistinctCountHistogram,string,4,80000,40,0.137898
EqualDistinctCountHistogram,string,8,150000,75,0.27836
EqualDistinctCountHistogram,string,15,600572,100,0.787028
EquiWidthHistogram,float,5,600572,100,0.0443625
