HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,int,0,25,5,0.000136655
EqualDistinctCountHistogram,string,3,25,5,0.000126636
EqualDistinctCountHistogram,string,2,5,5,7.78e-05
GDYHistogram,int,2,25,5,0.000107119
GDYHistogram,int,0,5,5,7.6914e-05
EqualDistinctCountHistogram,string,1,25,5,0.000163927
GDYHistogram,float,5,1000,5,0.00069735
GDYHistogram,int,3,1000,5,0.000522991
EqualDistinctCountHistogram,string,1,1000,5,0.000909115
GDYHistogram,int,3,15000,7,0.000446999
EqualDistinctCountHistogram,string,1,5,5,0.000332189
EqualDistinctCountHistogram,string,2,1000,5,0.00105312
GDYHistogram,int,5,20000,10,0.00102073
GDYHistogram,int,0,1000,5,0.000907452
EqualDistinctCountHistogram,string,6,15000,5,0.000915886
EqualDistinctCountHistogram,string,3,20000,10,0.00151432
GDYHistogram,int,7,150000,1,0.00147811
EqualDistinctCountHistogram,string,2,20000,5,0.0018924
GDYHistogram,int,1,80000,40,0.00143352
EqualDistinctCountHistogram,string,4,1000,5,0.00210527
EqualDistinctCountHistogram,string,6,1000,5,0.00245473
GDYHistogram,float,7,20000,10,0.00246007
EqualDistinctCountHistogram,string,6,20000,10,0.00260993
GDYHistogram,int,2,80000,40,0.00254536
GDYHistogram,int,0,80000,40,0.00268468
EqualDistinctCountHistogram,string,4,20000,10,0.00507423
EqualDistinctCountHistogram,string,2,150000,3,0.00534324
GDYHistogram,int,1,150000,75,0.00728761
GDYHistogram,float,5,15000,7,0.0093908
GDYHistogram,int,0,15000,7,0.00993515
EqualDistinctCountHistogram,string,5,150000,5,0.0109886
GDYHistogram,int,0,20000,10,0.0112986
EqualDistinctCountHistogram,string,6,150000,75,0.0114948
EqualDistinctCountHistogram,string,4,150000,75,0.0165231
GDYHistogram,float,7,600572,9,0.015844
GDYHistogram,float,6,600572,11,0.0177638
EqualDistinctCountHistogram,string,4,15000,7,0.0184667
EqualDistinctCountHistogram,string,2,15000,7,0.0188987
EqualDistinctCountHistogram,string,1,15000,7,0.0197689
EqualDistinctCountHistogram,string,9,600572,2,0.0215191
EqualDistinctCountHistogram,string,8,600572,3,0.02292
GDYHistogram,float,3,80000,40,0.0312309
EqualDistinctCountHistogram,string,8,20000,10,0.031961
GDYHistogram,int,0,150000,75,0.0344928
EqualDistinctCountHistogram,string,7,15000,7,0.0374072
EqualDistinctCountHistogram,string,14,600572,7,0.0373844
EqualDistinctCountHistogram,string,10,600572,100,0.0379655
EqualDistinctCountHistogram,string,1,20000,10,0.0406438
EqualDistinctCountHistogram,string,12,600572,100,0.0421694
EqualDistinctCountHistogram,string,11,600572,100,0.0462397
EqualDistinctCountHistogram,string,13,600572,4,0.0464222
GDYHistogram,int,2,600572,100,0.00764761
GDYHistogram,int,3,600572,7,0.00734027
GDYHistogram,float,4,600572,50,0.0177986
GDYHistogram,int,1,600572,100,0.0193311
GDYHistogram,int,0,600572,100,0.0426859
GDYHistogram,float,3,150000,75,0.100057
EqualDistinctCountHistogram,string,4,80000,40,0.122576
EqualDistinctCountHistogram,string,8,150000,75,0.24819
EqualDistinctCountHistogram,string,15,600572,100,0.864462
GDYHistogram,float,5,600572,100,0.0959229
