benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output,sampling_rate
TPC-H,GDYHistogram,TPC-H 01,0,TableScan,600572,596626,600572.000000,600360.375000,100
TPC-H,GDYHistogram,TPC-H 02,0,TableScan,20000,434,20000.000000,412.375000,100
TPC-H,GDYHistogram,TPC-H 02,1,JoinHashLeft,80000,384,80000.000000,164.949966,100
TPC-H,GDYHistogram,TPC-H 02,2,JoinHashLeft,1000,204,1000.000000,200.000000,100
TPC-H,GDYHistogram,TPC-H 02,3,JoinHashLeft,1000,204,1000.000000,200.000000,100
TPC-H,GDYHistogram,TPC-H 02,4,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,GDYHistogram,TPC-H 02,5,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,GDYHistogram,TPC-H 02,6,TableScan,5,1,5.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 02,7,TableScan,5,1,5.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 03,0,JoinHashLeft,600572,57768,600572.000000,87755.398438,100
TPC-H,GDYHistogram,TPC-H 03,1,JoinHashLeft,150000,29859,150000.000000,45170.792969,100
TPC-H,GDYHistogram,TPC-H 03,2,TableScan,15000,3013,15000.000000,3013.000000,100
TPC-H,GDYHistogram,TPC-H 04,0,TableScan,150000,5467,150000.000000,5969.735840,100
TPC-H,GDYHistogram,TPC-H 04,1,JoinHashLeft,600572,22013,600572.000000,23893.103516,100
TPC-H,GDYHistogram,TPC-H 05,0,JoinHashRight,15000,16533,15000.000000,18832.771484,100
TPC-H,GDYHistogram,TPC-H 05,1,TableScan,150000,22958,150000.000000,23527.000000,100
TPC-H,GDYHistogram,TPC-H 05,2,JoinHashLeft,600572,92293,600572.000000,94163.835938,100
TPC-H,GDYHistogram,TPC-H 05,3,JoinHashLeft,1000,179,1000.000000,200.000000,100
TPC-H,GDYHistogram,TPC-H 05,4,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,GDYHistogram,TPC-H 05,5,TableScan,5,1,5.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 06,0,TableScan,600572,89333,600572.000000,94591.000000,100
TPC-H,GDYHistogram,TPC-H 07,0,JoinHashLeft,1000,77,1000.000000,40.000000,100
TPC-H,GDYHistogram,TPC-H 07,1,TableScan,25,1,25.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 07,2,TableScan,25,1,25.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 07,3,JoinHashLeft,150000,11739,150000.000000,8995.177734,100
TPC-H,GDYHistogram,TPC-H 07,4,JoinHashLeft,600572,46506,600572.000000,24022.876953,100
TPC-H,GDYHistogram,TPC-H 07,5,JoinHashLeft,15000,1225,15000.000000,599.999939,100
TPC-H,GDYHistogram,TPC-H 08,0,JoinHashRight,25,240,25.000000,1149.284058,100
TPC-H,GDYHistogram,TPC-H 08,1,JoinHashLeft,1000,240,1000.000000,1149.284058,100
TPC-H,GDYHistogram,TPC-H 08,2,JoinHashLeft,15000,3036,15000.000000,3000.000244,100
TPC-H,GDYHistogram,TPC-H 08,3,JoinHashLeft,600572,3833,600572.000000,3979.791504,100
TPC-H,GDYHistogram,TPC-H 08,4,JoinHashLeft,25,5,25.000000,5.000000,100
TPC-H,GDYHistogram,TPC-H 08,5,JoinHashLeft,150000,3789,150000.000000,3979.791992,100
TPC-H,GDYHistogram,TPC-H 08,6,TableScan,20000,126,20000.000000,132.533340,100
TPC-H,GDYHistogram,TPC-H 08,7,TableScan,5,1,5.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 09,0,JoinHashLeft,80000,4300,80000.000000,7999.999512,100
TPC-H,GDYHistogram,TPC-H 09,1,JoinHashLeft,150000,32287,150000.000000,60057.195312,100
TPC-H,GDYHistogram,TPC-H 09,2,JoinHashLeft,1000,1000,1000.000000,1000.000000,100
TPC-H,GDYHistogram,TPC-H 09,3,JoinHashRight,25,1000,25.000000,1000.000000,100
TPC-H,GDYHistogram,TPC-H 09,4,JoinHashLeft,600572,32287,600572.000000,60057.183594,100
TPC-H,GDYHistogram,TPC-H 09,5,TableScan,20000,1075,20000.000000,2000.000000,100
TPC-H,GDYHistogram,TPC-H 10,0,JoinHashLeft,15000,15000,15000.000000,15000.000000,100
TPC-H,GDYHistogram,TPC-H 10,1,JoinHashRight,25,15000,25.000000,15000.000000,100
TPC-H,GDYHistogram,TPC-H 10,2,JoinHashLeft,600572,22013,600572.000000,23893.103516,100
TPC-H,GDYHistogram,TPC-H 10,3,TableScan,150000,5467,150000.000000,5969.735840,100
TPC-H,GDYHistogram,TPC-H 11,0,JoinHashLeft,80000,2880,80000.000000,3200.000000,100
TPC-H,GDYHistogram,TPC-H 11,1,JoinHashLeft,1000,36,1000.000000,40.000000,100
TPC-H,GDYHistogram,TPC-H 11,2,TableScan,25,1,25.000000,1.000000,100
TPC-H,GDYHistogram,TPC-H 12,0,JoinHashLeft,150000,2846,150000.000000,12623.844727,100
TPC-H,GDYHistogram,TPC-H 12,1,TableScan,600572,89152,600572.000000,88299.000000,100
TPC-H,GDYHistogram,TPC-H 13,0,JoinHashLeft,15000,153396,15000.000000,135000.000000,100
TPC-H,GDYHistogram,TPC-H 13,1,TableScan,150000,148396,150000.000000,135000.000000,100
TPC-H,GDYHistogram,TPC-H 14,0,JoinHashRight,20000,7531,20000.000000,11653.833008,100
TPC-H,GDYHistogram,TPC-H 14,1,TableScan,600572,7531,600572.000000,11653.832031,100
TPC-H,GDYHistogram,TPC-H 15,0,JoinHashRight,1000,1,1000.000000,23385.490234,100
TPC-H,GDYHistogram,TPC-H 15,1,TableScan,600572,21875,600572.000000,23385.494141,100
TPC-H,GDYHistogram,TPC-H 16,0,JoinHashLeft,80000,11996,80000.000000,3599.335205,100
TPC-H,GDYHistogram,TPC-H 16,1,TableScan,1000,1,1000.000000,100.000000,100
TPC-H,GDYHistogram,TPC-H 16,2,TableScan,20000,3212,20000.000000,3207.741699,100
