HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,int,3,15000,7,0.000512302
MaxDiffAreaHistogram,int,2,25,5,0.000195123
MaxDiffAreaHistogram,int,3,1000,5,0.000657055
MaxDiffAreaHistogram,string,1,25,5,0.000419153
MaxDiffAreaHistogram,int,5,20000,10,0.000353187
MaxDiffAreaHistogram,string,3,25,5,0.000628333
MaxDiffAreaHistogram,string,6,15000,5,0.00111375
MaxDiffAreaHistogram,float,5,1000,5,0.00136808
MaxDiffAreaHistogram,int,0,5,5,4.4572e-05
MaxDiffAreaHistogram,string,2,5,5,9.6531e-05
MaxDiffAreaHistogram,int,0,25,5,0.000369855
MaxDiffAreaHistogram,int,7,150000,1,0.00139605
MaxDiffAreaHistogram,string,1,5,5,0.000380795
MaxDiffAreaHistogram,int,1,80000,40,0.00150516
MaxDiffAreaHistogram,string,2,20000,5,0.00152698
MaxDiffAreaHistogram,string,2,1000,5,0.00223959
MaxDiffAreaHistogram,float,7,20000,10,0.00165434
MaxDiffAreaHistogram,int,0,1000,5,0.00209264
MaxDiffAreaHistogram,string,3,20000,10,0.00161612
MaxDiffAreaHistogram,string,6,20000,10,0.00188091
MaxDiffAreaHistogram,string,4,1000,5,0.00265568
MaxDiffAreaHistogram,string,1,1000,5,0.0029055
MaxDiffAreaHistogram,int,0,20000,10,0.00249473
MaxDiffAreaHistogram,int,2,80000,40,0.00277502
MaxDiffAreaHistogram,int,0,80000,40,0.00323388
MaxDiffAreaHistogram,string,6,1000,5,0.00392436
MaxDiffAreaHistogram,float,5,15000,7,0.00382103
MaxDiffAreaHistogram,string,4,20000,10,0.00340435
MaxDiffAreaHistogram,int,0,15000,7,0.00550612
MaxDiffAreaHistogram,int,1,150000,75,0.0053207
MaxDiffAreaHistogram,string,2,150000,3,0.00539469
MaxDiffAreaHistogram,float,7,600572,9,0.00806218
MaxDiffAreaHistogram,string,5,150000,5,0.0114041
MaxDiffAreaHistogram,float,6,600572,11,0.0103212
MaxDiffAreaHistogram,string,4,15000,7,0.0131588
MaxDiffAreaHistogram,string,4,150000,75,0.0136328
MaxDiffAreaHistogram,string,6,150000,75,0.0138806
MaxDiffAreaHistogram,string,1,15000,7,0.0157066
MaxDiffAreaHistogram,string,9,600572,2,0.0208985
MaxDiffAreaHistogram,string,1,20000,10,0.0231659
MaxDiffAreaHistogram,int,0,150000,75,0.0242373
MaxDiffAreaHistogram,string,8,600572,3,0.0228422
MaxDiffAreaHistogram,float,3,80000,40,0.0246393
MaxDiffAreaHistogram,string,2,15000,7,0.0280151
MaxDiffAreaHistogram,string,8,20000,10,0.027633
MaxDiffAreaHistogram,string,7,15000,7,0.0296587
MaxDiffAreaHistogram,string,11,600572,100,0.0421763
MaxDiffAreaHistogram,string,12,600572,100,0.0426684
MaxDiffAreaHistogram,string,14,600572,7,0.043072
MaxDiffAreaHistogram,string,10,600572,100,0.045923
MaxDiffAreaHistogram,int,2,600572,100,0.00404628
MaxDiffAreaHistogram,string,13,600572,4,0.0474158
MaxDiffAreaHistogram,int,3,600572,7,0.00354166
MaxDiffAreaHistogram,float,3,150000,75,0.0528645
MaxDiffAreaHistogram,float,4,600572,50,0.00893678
MaxDiffAreaHistogram,int,1,600572,100,0.0124702
MaxDiffAreaHistogram,int,0,600572,100,0.0303738
MaxDiffAreaHistogram,string,4,80000,40,0.128294
MaxDiffAreaHistogram,string,8,150000,75,0.226792
MaxDiffAreaHistogram,string,15,600572,100,1.01386
MaxDiffAreaHistogram,float,5,600572,100,0.0542125
