HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,int,0,5,5,0.0196351
MaxDiffFrequencyHistogram,int,5,20000,10,0.0205883
MaxDiffFrequencyHistogram,int,2,25,5,0.0233723
MaxDiffFrequencyHistogram,int,0,15000,7,0.0237304
MaxDiffFrequencyHistogram,int,0,80000,40,0.0255791
MaxDiffFrequencyHistogram,string,6,20000,10,0.0266959
MaxDiffFrequencyHistogram,int,0,1000,5,0.027207
MaxDiffFrequencyHistogram,string,2,1000,5,0.0279865
MaxDiffFrequencyHistogram,float,5,15000,7,0.0287123
MaxDiffFrequencyHistogram,string,3,25,5,0.0281156
MaxDiffFrequencyHistogram,string,1,5,5,0.029041
MaxDiffFrequencyHistogram,string,3,20000,10,0.0297681
MaxDiffFrequencyHistogram,string,2,20000,5,0.0301598
MaxDiffFrequencyHistogram,string,4,1000,5,0.0407658
MaxDiffFrequencyHistogram,string,1,25,5,0.0412552
MaxDiffFrequencyHistogram,int,3,1000,5,0.0412909
MaxDiffFrequencyHistogram,string,2,5,5,0.0426744
MaxDiffFrequencyHistogram,string,1,1000,5,0.0556716
MaxDiffFrequencyHistogram,string,6,15000,5,0.0559006
MaxDiffFrequencyHistogram,int,0,20000,10,0.057699
MaxDiffFrequencyHistogram,float,7,20000,10,0.0583768
MaxDiffFrequencyHistogram,int,3,15000,7,0.0594964
MaxDiffFrequencyHistogram,int,0,25,5,0.0595459
MaxDiffFrequencyHistogram,string,1,15000,7,0.0853724
MaxDiffFrequencyHistogram,int,1,80000,40,0.0855007
MaxDiffFrequencyHistogram,float,5,1000,5,0.0870592
MaxDiffFrequencyHistogram,string,4,20000,10,0.0871845
MaxDiffFrequencyHistogram,string,6,1000,5,0.0873909
MaxDiffFrequencyHistogram,string,4,15000,7,0.0885534
MaxDiffFrequencyHistogram,int,7,150000,1,0.12692
MaxDiffFrequencyHistogram,string,5,150000,5,0.13841
MaxDiffFrequencyHistogram,string,2,150000,3,0.139506
MaxDiffFrequencyHistogram,string,14,600572,7,0.156659
MaxDiffFrequencyHistogram,string,13,600572,4,0.173069
MaxDiffFrequencyHistogram,string,8,600572,3,0.173466
MaxDiffFrequencyHistogram,float,6,600572,11,0.17346
MaxDiffFrequencyHistogram,string,9,600572,2,0.175317
MaxDiffFrequencyHistogram,float,7,600572,9,0.178077
MaxDiffFrequencyHistogram,string,8,20000,10,0.183955
MaxDiffFrequencyHistogram,string,12,600572,100,0.182601
MaxDiffFrequencyHistogram,float,4,600572,50,0.0376835
MaxDiffFrequencyHistogram,int,3,600572,7,0.0288724
MaxDiffFrequencyHistogram,int,2,80000,40,0.203866
MaxDiffFrequencyHistogram,string,6,150000,75,0.205408
MaxDiffFrequencyHistogram,int,2,600572,100,0.0484117
MaxDiffFrequencyHistogram,float,3,80000,40,0.236936
MaxDiffFrequencyHistogram,int,1,150000,75,0.236836
MaxDiffFrequencyHistogram,int,0,150000,75,0.242433
MaxDiffFrequencyHistogram,string,4,150000,75,0.25409
MaxDiffFrequencyHistogram,string,11,600572,100,0.264348
MaxDiffFrequencyHistogram,string,10,600572,100,0.26846
MaxDiffFrequencyHistogram,string,2,15000,7,0.269703
MaxDiffFrequencyHistogram,string,1,20000,10,0.280291
MaxDiffFrequencyHistogram,string,7,15000,7,0.290563
MaxDiffFrequencyHistogram,float,3,150000,75,0.310209
MaxDiffFrequencyHistogram,int,1,600572,100,0.0517442
MaxDiffFrequencyHistogram,int,0,600572,100,0.0645972
MaxDiffFrequencyHistogram,string,4,80000,40,0.502592
MaxDiffFrequencyHistogram,string,8,150000,75,0.553027
MaxDiffFrequencyHistogram,string,15,600572,100,1.28344
MaxDiffFrequencyHistogram,float,5,600572,100,0.110421
