HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,string,1,4,4,0.000450694
EquiWidthHistogram,int,0,4,4,0.000348774
EquiWidthHistogram,int,3,29997,14,0.00041185
EquiWidthHistogram,int,0,12,5,0.000502103
EqualDistinctCountHistogram,string,1,12,5,0.00167853
EquiWidthHistogram,int,1,29997,14,0.00460418
EquiWidthHistogram,int,9,2593,100,0.00141559
EquiWidthHistogram,int,4,361472,6,0.00511255
EquiWidthHistogram,int,5,358440,100,0.009877
EquiWidthHistogram,int,2,1.38004e+06,5,0.0204999
EqualDistinctCountHistogram,string,2,211073,100,0.0147341
EquiWidthHistogram,int,2,29997,14,0.0207288
EqualDistinctCountHistogram,string,3,2980,12,0.016027
EquiWidthHistogram,int,2,2.96366e+06,22,0.0230062
EquiWidthHistogram,int,7,2876,100,0.00551977
EquiWidthHistogram,int,8,2617,40,0.00739444
EquiWidthHistogram,int,3,2.60913e+06,2,0.0267062
EqualDistinctCountHistogram,string,5,211073,100,0.0586641
EqualDistinctCountHistogram,string,2,134132,67,0.0654681
EquiWidthHistogram,int,0,134170,67,0.0693323
EquiWidthHistogram,int,0,29997,14,0.0699844
EqualDistinctCountHistogram,string,4,234961,100,0.0777057
EqualDistinctCountHistogram,string,6,356278,100,0.0776573
EquiWidthHistogram,int,2,2.60913e+06,100,0.103983
EquiWidthHistogram,int,2,1.48357e+07,71,0.108989
EqualDistinctCountHistogram,string,2,889029,100,0.135192
EqualDistinctCountHistogram,string,4,2.70113e+06,2,0.153273
EquiWidthHistogram,int,2,4.52393e+06,100,0.14905
EqualDistinctCountHistogram,string,2,28,6,0.0726503
EqualDistinctCountHistogram,string,4,84183,100,0.20574
EquiWidthHistogram,int,1,1.38004e+06,100,0.218193
EquiWidthHistogram,int,0,234997,100,0.24132
EqualDistinctCountHistogram,string,10,333504,100,0.234197
EqualDistinctCountHistogram,string,7,3.23158e+06,100,0.271118
EquiWidthHistogram,int,0,361472,100,0.0882235
EquiWidthHistogram,int,0,2.96366e+06,100,0.357504
EquiWidthHistogram,int,0,1.38004e+06,100,0.380431
EqualDistinctCountHistogram,string,3,1.38004e+06,100,0.402722
EqualDistinctCountHistogram,string,3,17,5,0.013961
EqualDistinctCountHistogram,string,5,2.66966e+06,100,0.305672
EquiWidthHistogram,int,0,2.60913e+06,100,0.430732
EquiWidthHistogram,int,0,4.16749e+06,100,0.424072
EqualDistinctCountHistogram,string,1,134170,67,0.448465
EqualDistinctCountHistogram,string,6,621097,100,0.0480001
EqualDistinctCountHistogram,string,1,18,5,0.00220956
EquiWidthHistogram,int,0,18,5,0.000112283
EqualDistinctCountHistogram,string,5,4.16748e+06,100,0.45995
EquiWidthHistogram,int,1,4.52393e+06,100,0.452984
EqualDistinctCountHistogram,string,5,792075,100,0.0888513
EquiWidthHistogram,int,0,901343,100,0.0882206
EqualDistinctCountHistogram,string,6,4.06769e+06,100,0.489826
EqualDistinctCountHistogram,string,4,901234,100,0.101758
EqualDistinctCountHistogram,string,4,3.13985e+06,100,0.39044
EquiWidthHistogram,int,1,2.60913e+06,100,0.5198
EquiWidthHistogram,int,1,2.96366e+06,100,0.53463
EqualDistinctCountHistogram,string,4,1.33714e+06,100,0.565716
EquiWidthHistogram,int,2,135086,2,0.000981282
EquiWidthHistogram,int,3,135086,2,0.00146521
EquiWidthHistogram,int,0,3.14034e+06,100,0.446828
EquiWidthHistogram,int,0,135086,67,0.0252775
EquiWidthHistogram,int,0,4.52393e+06,100,0.587683
EqualDistinctCountHistogram,string,1,4,4,6.6972e-05
EquiWidthHistogram,int,0,4,4,0.000259103
EquiWidthHistogram,int,1,135086,67,0.0511597
EqualDistinctCountHistogram,string,1,234997,100,0.671425
EqualDistinctCountHistogram,string,6,234997,100,0.71964
EqualDistinctCountHistogram,string,1,7,5,0.000107137
EquiWidthHistogram,int,0,7,5,0.000174803
EqualDistinctCountHistogram,string,2,361472,100,0.808544
EqualDistinctCountHistogram,string,11,361472,100,0.803191
EquiWidthHistogram,int,1,361472,100,0.0323151
EqualDistinctCountHistogram,string,4,1.43697e+06,100,0.835889
EquiWidthHistogram,int,1,1.48357e+07,100,0.877286
EquiWidthHistogram,int,1,901343,100,0.612925
EquiWidthHistogram,int,0,1.48357e+07,100,1.12759
EqualDistinctCountHistogram,string,7,901343,100,1.3121
EqualDistinctCountHistogram,string,2,901343,100,1.41611
EqualDistinctCountHistogram,string,1,3.14034e+06,100,4.91752
EqualDistinctCountHistogram,string,3,2.96366e+06,100,5.35039
EqualDistinctCountHistogram,string,1,113,5,0.000527509
EquiWidthHistogram,int,0,113,5,0.00135741
EqualDistinctCountHistogram,string,1,4.16749e+06,100,5.54246
EqualDistinctCountHistogram,string,6,3.14034e+06,100,5.73571
EqualDistinctCountHistogram,string,8,4.16749e+06,100,6.53916
EquiWidthHistogram,int,5,1.07846e+07,100,0.190071
EquiWidthHistogram,int,6,3.62443e+07,11,0.227064
EquiWidthHistogram,int,3,1.73552e+07,100,0.482588
EquiWidthHistogram,int,1,3.53231e+07,100,0.507383
EquiWidthHistogram,int,2,3.62019e+07,100,0.951346
EqualDistinctCountHistogram,string,3,1.48357e+07,100,8.26154
EquiWidthHistogram,int,9,1.10241e+06,100,0.0197485
EquiWidthHistogram,int,8,1.1038e+06,96,0.0224358
EquiWidthHistogram,int,3,2.52831e+06,6,0.0232672
EquiWidthHistogram,int,4,2.45622e+06,100,0.0251471
EqualDistinctCountHistogram,string,2,26270,24,0.0376848
EqualDistinctCountHistogram,string,10,90875,100,0.0501636
EquiWidthHistogram,int,7,1.54326e+06,100,0.0526191
EqualDistinctCountHistogram,string,6,1.81001e+06,100,0.18681
EquiWidthHistogram,int,0,2.52831e+06,100,0.273318
EqualDistinctCountHistogram,string,4,1.42371e+07,100,2.6023
EquiWidthHistogram,int,0,1.67772e+07,100,2.8594
EqualDistinctCountHistogram,string,11,2.52831e+06,100,4.83632
EqualDistinctCountHistogram,string,1,2.52831e+06,100,2.27657
