HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
GDYHistogram,int,0,4,4,0.000434614
EqualDistinctCountHistogram,string,1,4,4,0.000263162
GDYHistogram,int,3,29997,14,0.000898079
GDYHistogram,int,1,29997,14,0.00929404
EqualDistinctCountHistogram,string,1,12,5,0.0140661
GDYHistogram,int,0,12,5,0.0094181
EqualDistinctCountHistogram,string,2,211073,100,0.0214656
GDYHistogram,int,7,2876,100,0.00198759
GDYHistogram,int,2,1.38004e+06,5,0.022489
GDYHistogram,int,2,29997,14,0.0265378
EqualDistinctCountHistogram,string,3,2980,12,0.00658998
GDYHistogram,int,5,358440,100,0.00916352
GDYHistogram,int,9,2593,100,0.00528186
GDYHistogram,int,4,361472,6,0.00883285
GDYHistogram,int,8,2617,40,0.0147386
EqualDistinctCountHistogram,string,2,134132,67,0.0333535
GDYHistogram,int,3,2.60913e+06,2,0.0386834
GDYHistogram,int,2,2.96366e+06,22,0.040005
GDYHistogram,int,0,134170,67,0.086332
EqualDistinctCountHistogram,string,10,333504,100,0.110891
EqualDistinctCountHistogram,string,6,356278,100,0.122489
EqualDistinctCountHistogram,string,5,211073,100,0.144626
EqualDistinctCountHistogram,string,4,234961,100,0.145648
GDYHistogram,int,0,29997,14,0.152437
GDYHistogram,int,0,234997,100,0.17255
EqualDistinctCountHistogram,string,4,2.70113e+06,2,0.187508
EqualDistinctCountHistogram,string,2,889029,100,0.194788
GDYHistogram,int,2,1.48357e+07,71,0.205771
GDYHistogram,int,0,361472,100,0.109181
EqualDistinctCountHistogram,string,4,84183,100,0.239304
GDYHistogram,int,2,2.60913e+06,100,0.278715
EqualDistinctCountHistogram,string,7,3.23158e+06,100,0.303542
EqualDistinctCountHistogram,string,3,1.38004e+06,100,0.338585
EqualDistinctCountHistogram,string,2,28,6,0.10954
EqualDistinctCountHistogram,string,5,4.16748e+06,100,0.369093
GDYHistogram,int,0,1.38004e+06,100,0.376809
GDYHistogram,int,2,4.52393e+06,100,0.402503
GDYHistogram,int,1,1.38004e+06,100,0.405759
EqualDistinctCountHistogram,string,3,17,5,0.0328247
EqualDistinctCountHistogram,string,1,134170,67,0.48927
EqualDistinctCountHistogram,string,6,621097,100,0.0763743
EqualDistinctCountHistogram,string,6,234997,100,0.493734
GDYHistogram,int,0,18,5,0.00200142
EqualDistinctCountHistogram,string,1,18,5,0.000597355
EqualDistinctCountHistogram,string,4,901234,100,0.0901552
GDYHistogram,int,0,901343,100,0.0962929
EqualDistinctCountHistogram,string,5,792075,100,0.114571
EqualDistinctCountHistogram,string,1,234997,100,0.555876
GDYHistogram,int,0,7,5,0.000133106
EqualDistinctCountHistogram,string,1,7,5,0.000120364
EqualDistinctCountHistogram,string,4,1.33714e+06,100,0.563784
EqualDistinctCountHistogram,string,4,3.13985e+06,100,0.343493
EqualDistinctCountHistogram,string,6,4.06769e+06,100,0.57351
GDYHistogram,int,0,2.60913e+06,100,0.576499
EqualDistinctCountHistogram,string,5,2.66966e+06,100,0.367696
GDYHistogram,int,0,2.96366e+06,100,0.672347
EqualDistinctCountHistogram,string,11,361472,100,0.689237
EqualDistinctCountHistogram,string,2,361472,100,0.728739
GDYHistogram,int,0,4.16749e+06,100,0.787981
GDYHistogram,int,1,361472,100,0.134506
EqualDistinctCountHistogram,string,4,1.43697e+06,100,0.861826
GDYHistogram,int,0,3.14034e+06,100,0.7196
GDYHistogram,int,0,4.52393e+06,100,0.978948
GDYHistogram,int,1,2.60913e+06,100,0.997115
GDYHistogram,int,1,2.96366e+06,100,1.00673
GDYHistogram,int,3,135086,2,0.00385219
GDYHistogram,int,2,135086,2,0.00500064
GDYHistogram,int,0,135086,67,0.0423621
GDYHistogram,int,1,135086,67,0.07047
GDYHistogram,int,1,4.52393e+06,100,1.22539
EqualDistinctCountHistogram,string,1,4,4,8.5654e-05
GDYHistogram,int,0,4,4,0.000326348
EqualDistinctCountHistogram,string,2,901343,100,1.23425
GDYHistogram,int,1,901343,100,1.24894
EqualDistinctCountHistogram,string,7,901343,100,1.30944
GDYHistogram,int,0,1.48357e+07,100,1.9916
GDYHistogram,int,1,1.48357e+07,100,2.10167
EqualDistinctCountHistogram,string,1,3.14034e+06,100,4.57452
EqualDistinctCountHistogram,string,1,4.16749e+06,100,5.48812
EqualDistinctCountHistogram,string,3,2.96366e+06,100,5.59438
EqualDistinctCountHistogram,string,1,113,5,0.000193045
GDYHistogram,int,0,113,5,0.000904406
EqualDistinctCountHistogram,string,6,3.14034e+06,100,5.45714
EqualDistinctCountHistogram,string,8,4.16749e+06,100,6.84537
GDYHistogram,int,5,1.07846e+07,100,0.288728
GDYHistogram,int,6,3.62443e+07,11,0.448357
GDYHistogram,int,1,3.62443e+07,100,1.26339
GDYHistogram,int,3,1.75715e+07,100,1.85719
EqualDistinctCountHistogram,string,3,1.48357e+07,100,8.78012
GDYHistogram,int,8,1.1038e+06,96,0.0340683
GDYHistogram,int,3,2.52831e+06,6,0.0360682
GDYHistogram,int,4,2.45622e+06,100,0.0353722
EqualDistinctCountHistogram,string,2,26270,24,0.0359382
GDYHistogram,int,9,1.10241e+06,100,0.0426664
EqualDistinctCountHistogram,string,10,90875,100,0.04549
GDYHistogram,int,7,1.54326e+06,100,0.073683
EqualDistinctCountHistogram,string,6,1.81001e+06,100,0.183534
GDYHistogram,int,0,2.52831e+06,100,0.552431
GDYHistogram,int,2,3.62443e+07,100,2.60516
EqualDistinctCountHistogram,string,4,1.42371e+07,100,3.13473
EqualDistinctCountHistogram,string,11,2.52831e+06,100,3.97862
EqualDistinctCountHistogram,string,1,2.52831e+06,100,2.13649
GDYHistogram,int,0,3.62443e+07,100,22.7735
