HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,1,4,4,0.000422192
MaxDiffAreaHistogram,int,0,4,4,0.00036766
MaxDiffFrequencyHistogram,string,1,12,5,0.000491522
MaxDiffAreaHistogram,int,1,29997,14,0.00456308
MaxDiffAreaHistogram,int,3,29997,14,0.00137784
MaxDiffAreaHistogram,int,0,12,5,0.000206851
MaxDiffAreaHistogram,int,5,358440,100,0.00234418
MaxDiffAreaHistogram,int,4,361472,6,0.00236037
MaxDiffAreaHistogram,int,2,1.38004e+06,5,0.0136289
MaxDiffAreaHistogram,int,9,2593,100,0.00460992
MaxDiffAreaHistogram,int,8,2617,40,0.00478768
MaxDiffAreaHistogram,int,0,29997,14,0.0151002
MaxDiffFrequencyHistogram,string,3,2980,12,0.00679302
MaxDiffAreaHistogram,int,7,2876,100,0.00658857
MaxDiffAreaHistogram,int,2,2.96366e+06,22,0.0201726
MaxDiffAreaHistogram,int,3,2.60913e+06,2,0.0176836
MaxDiffFrequencyHistogram,string,2,211073,100,0.0161574
MaxDiffFrequencyHistogram,string,2,134132,67,0.0321244
MaxDiffAreaHistogram,int,2,29997,14,0.0314762
MaxDiffAreaHistogram,int,0,134170,67,0.0420466
MaxDiffFrequencyHistogram,string,5,211073,100,0.0656337
MaxDiffAreaHistogram,int,0,234997,100,0.0763972
MaxDiffFrequencyHistogram,string,2,28,6,0.0492055
MaxDiffFrequencyHistogram,string,2,889029,100,0.106207
MaxDiffFrequencyHistogram,string,4,234961,100,0.10694
MaxDiffFrequencyHistogram,string,10,333504,100,0.112226
MaxDiffAreaHistogram,int,2,4.52393e+06,100,0.132469
MaxDiffAreaHistogram,int,2,1.48357e+07,71,0.131426
MaxDiffFrequencyHistogram,string,6,356278,100,0.162562
MaxDiffFrequencyHistogram,string,4,2.70113e+06,2,0.173325
MaxDiffAreaHistogram,int,2,2.60913e+06,100,0.171225
MaxDiffAreaHistogram,int,0,361472,100,0.104056
MaxDiffAreaHistogram,int,1,1.38004e+06,100,0.231201
MaxDiffFrequencyHistogram,string,7,3.23158e+06,100,0.235684
MaxDiffFrequencyHistogram,string,4,84183,100,0.238595
MaxDiffFrequencyHistogram,string,5,2.66966e+06,100,0.310002
MaxDiffFrequencyHistogram,string,3,1.38004e+06,100,0.364723
MaxDiffAreaHistogram,int,0,1.38004e+06,100,0.369964
MaxDiffFrequencyHistogram,string,5,4.16748e+06,100,0.371327
MaxDiffAreaHistogram,int,1,4.52393e+06,100,0.430424
MaxDiffFrequencyHistogram,string,1,134170,67,0.431176
MaxDiffFrequencyHistogram,string,1,18,5,0.00473492
MaxDiffAreaHistogram,int,0,18,5,0.000384719
MaxDiffFrequencyHistogram,string,3,17,5,0.0119359
MaxDiffFrequencyHistogram,string,6,4.06769e+06,100,0.449775
MaxDiffFrequencyHistogram,string,6,234997,100,0.447754
MaxDiffAreaHistogram,int,0,2.60913e+06,100,0.459216
MaxDiffAreaHistogram,int,1,2.60913e+06,100,0.46369
MaxDiffFrequencyHistogram,string,6,621097,100,0.046798
MaxDiffFrequencyHistogram,string,4,3.13985e+06,100,0.444877
MaxDiffAreaHistogram,int,0,901343,100,0.116717
MaxDiffFrequencyHistogram,string,4,901234,100,0.122617
MaxDiffFrequencyHistogram,string,5,792075,100,0.125168
MaxDiffAreaHistogram,int,0,2.96366e+06,100,0.561484
MaxDiffFrequencyHistogram,string,4,1.33714e+06,100,0.570344
MaxDiffAreaHistogram,int,3,135086,2,0.00116837
MaxDiffAreaHistogram,int,2,135086,2,0.00149075
MaxDiffFrequencyHistogram,string,1,234997,100,0.573455
MaxDiffFrequencyHistogram,string,1,7,5,8.9278e-05
MaxDiffAreaHistogram,int,0,7,5,0.000375082
MaxDiffAreaHistogram,int,0,135086,67,0.0221522
MaxDiffAreaHistogram,int,1,2.96366e+06,100,0.598544
MaxDiffAreaHistogram,int,1,135086,67,0.0344779
MaxDiffAreaHistogram,int,0,3.14034e+06,100,0.62447
MaxDiffAreaHistogram,int,0,4.16749e+06,100,0.732903
MaxDiffFrequencyHistogram,string,4,1.43697e+06,100,0.727696
MaxDiffAreaHistogram,int,0,4.52393e+06,100,0.806987
MaxDiffFrequencyHistogram,string,1,4,4,0.000113978
MaxDiffAreaHistogram,int,0,4,4,8.1091e-05
MaxDiffFrequencyHistogram,string,2,361472,100,0.832287
MaxDiffFrequencyHistogram,string,11,361472,100,0.914595
MaxDiffAreaHistogram,int,1,1.48357e+07,100,0.946415
MaxDiffAreaHistogram,int,1,361472,100,0.0410896
MaxDiffAreaHistogram,int,1,901343,100,0.646214
MaxDiffFrequencyHistogram,string,2,901343,100,1.11844
MaxDiffAreaHistogram,int,0,1.48357e+07,100,1.87517
MaxDiffFrequencyHistogram,string,7,901343,100,1.58974
MaxDiffFrequencyHistogram,string,1,3.14034e+06,100,4.43991
MaxDiffFrequencyHistogram,string,3,2.96366e+06,100,5.19049
MaxDiffFrequencyHistogram,string,1,113,5,0.00129253
MaxDiffAreaHistogram,int,0,113,5,0.00179781
MaxDiffFrequencyHistogram,string,1,4.16749e+06,100,5.25817
MaxDiffFrequencyHistogram,string,6,3.14034e+06,100,6.10748
MaxDiffFrequencyHistogram,string,8,4.16749e+06,100,7.12485
MaxDiffAreaHistogram,int,5,1.07846e+07,100,0.146319
MaxDiffAreaHistogram,int,6,3.62443e+07,11,0.23109
MaxDiffAreaHistogram,int,3,1.73552e+07,100,0.668813
MaxDiffAreaHistogram,int,1,3.53231e+07,100,0.708034
MaxDiffAreaHistogram,int,2,3.62019e+07,100,1.11558
MaxDiffFrequencyHistogram,string,3,1.48357e+07,100,9.03275
MaxDiffAreaHistogram,int,4,2.45622e+06,100,0.0245396
MaxDiffAreaHistogram,int,3,2.52831e+06,6,0.0245276
MaxDiffAreaHistogram,int,8,1.1038e+06,96,0.0314583
MaxDiffAreaHistogram,int,9,1.10241e+06,100,0.0320939
MaxDiffFrequencyHistogram,string,2,26270,24,0.0387708
MaxDiffAreaHistogram,int,7,1.54326e+06,100,0.0402579
MaxDiffFrequencyHistogram,string,10,90875,100,0.0450427
MaxDiffFrequencyHistogram,string,6,1.81001e+06,100,0.194683
MaxDiffAreaHistogram,int,0,2.52831e+06,100,0.399073
MaxDiffFrequencyHistogram,string,4,1.42371e+07,100,2.6755
MaxDiffAreaHistogram,int,0,1.67772e+07,100,5.29156
MaxDiffFrequencyHistogram,string,11,2.52831e+06,100,4.52813
MaxDiffFrequencyHistogram,string,1,2.52831e+06,100,2.3444
