HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
EqualDistinctCountHistogram,float,8,10,1,0.000230372
EqualDistinctCountHistogram,int,10,100,1,0.00148535
EqualDistinctCountHistogram,string,2,10,5,0.00163701
EqualDistinctCountHistogram,string,7,100,5,0.00284314
EqualDistinctCountHistogram,string,5,10,5,0.00278726
EqualDistinctCountHistogram,float,8,100,5,0.00274311
EqualDistinctCountHistogram,int,0,100,5,0.00124746
EqualDistinctCountHistogram,string,4,10,5,0.00401079
EqualDistinctCountHistogram,int,5,210000,10,0.00148896
EqualDistinctCountHistogram,int,1,100,5,0.00400377
EqualDistinctCountHistogram,float,9,100,1,0.00270286
EqualDistinctCountHistogram,string,6,10,5,0.00401575
EqualDistinctCountHistogram,string,3,10,5,0.00404422
EqualDistinctCountHistogram,int,4,300000,1,0.00263094
EqualDistinctCountHistogram,string,1,10,5,0.00393638
EqualDistinctCountHistogram,int,7,300000,1,0.00260825
EqualDistinctCountHistogram,string,2,100,5,0.00283285
EqualDistinctCountHistogram,string,6,100,5,0.00416187
EqualDistinctCountHistogram,int,0,10,5,0.00418508
EqualDistinctCountHistogram,float,7,10,5,0.00402598
EqualDistinctCountHistogram,string,5,100,5,0.00459446
EqualDistinctCountHistogram,int,2,300000,10,0.00451508
EqualDistinctCountHistogram,string,4,100,5,0.000597415
EqualDistinctCountHistogram,int,2,90000,10,0.000585414
EqualDistinctCountHistogram,string,3,100,5,0.00302476
EqualDistinctCountHistogram,int,0,90000,45,0.000861546
EqualDistinctCountHistogram,int,1,90000,10,0.000910596
EqualDistinctCountHistogram,int,6,300000,11,0.0043598
EqualDistinctCountHistogram,int,3,300000,100,0.00518054
EqualDistinctCountHistogram,int,12,300000,1,0.00205348
EqualDistinctCountHistogram,int,1,100000,50,0.00694733
EqualDistinctCountHistogram,int,0,300000,100,0.00407176
EqualDistinctCountHistogram,int,1,300000,10,0.00670586
EqualDistinctCountHistogram,int,18,300000,1,0.0021791
EqualDistinctCountHistogram,int,19,300000,1,0.002264
EqualDistinctCountHistogram,float,3,100000,50,0.00766324
EqualDistinctCountHistogram,float,17,300000,1,0.00422989
EqualDistinctCountHistogram,int,2,300000,10,0.00592924
EqualDistinctCountHistogram,int,4,300000,10,0.00478702
EqualDistinctCountHistogram,int,2,300000,10,0.00483472
EqualDistinctCountHistogram,float,15,300000,100,0.00842462
EqualDistinctCountHistogram,float,16,300000,1,0.00680533
EqualDistinctCountHistogram,int,1,300000,10,0.00484542
EqualDistinctCountHistogram,int,5,300000,1,0.00462543
EqualDistinctCountHistogram,float,14,300000,1,0.00710356
EqualDistinctCountHistogram,int,3,300000,10,0.00237964
EqualDistinctCountHistogram,int,0,300000,100,0.00597733
EqualDistinctCountHistogram,int,6,2.10079e+06,1,0.0174576
EqualDistinctCountHistogram,float,6,300000,1,0.00876375
EqualDistinctCountHistogram,string,13,300000,2,0.0140271
EqualDistinctCountHistogram,int,7,3.00156e+06,1,0.0188876
EqualDistinctCountHistogram,int,14,1e+06,1,0.0129827
EqualDistinctCountHistogram,int,5,3.00156e+06,10,0.0217648
EqualDistinctCountHistogram,int,2,3.00156e+06,10,0.0217649
EqualDistinctCountHistogram,int,15,1e+06,1,0.0154081
EqualDistinctCountHistogram,int,0,3.00156e+06,100,0.023046
EqualDistinctCountHistogram,int,13,1e+06,1,0.0140391
EqualDistinctCountHistogram,int,1,3.00156e+06,10,0.0244957
EqualDistinctCountHistogram,string,4,300000,1,0.0161922
EqualDistinctCountHistogram,string,9,300000,100,0.021482
EqualDistinctCountHistogram,int,3,3.00156e+06,15,0.0298285
EqualDistinctCountHistogram,int,0,100000,50,0.0323518
EqualDistinctCountHistogram,string,5,300000,100,0.0281707
EqualDistinctCountHistogram,int,4,3.00156e+06,100,0.10615
EqualDistinctCountHistogram,float,8,3.00156e+06,100,0.236296
EqualDistinctCountHistogram,string,2,100000,50,0.251532
EqualDistinctCountHistogram,string,4,100000,50,0.280938
EqualDistinctCountHistogram,string,3,300000,100,0.426751
EqualDistinctCountHistogram,string,11,300000,100,0.499908
EqualDistinctCountHistogram,int,1,300000,10,0.00186976
EqualDistinctCountHistogram,string,7,300000,100,0.531569
EqualDistinctCountHistogram,string,8,300000,100,0.573397
EqualDistinctCountHistogram,string,6,300000,100,0.582935
EqualDistinctCountHistogram,string,7,300000,100,0.667542
EqualDistinctCountHistogram,string,20,300000,100,1.17111
EqualDistinctCountHistogram,string,10,300000,100,0.0372952
EqualDistinctCountHistogram,int,0,300000,100,0.00269869
EqualDistinctCountHistogram,string,4,1e+06,100,1.47787
EqualDistinctCountHistogram,string,8,1e+06,100,1.5203
EqualDistinctCountHistogram,string,5,1e+06,100,1.51887
EqualDistinctCountHistogram,string,11,1e+06,100,1.57493
EqualDistinctCountHistogram,int,1,1e+06,10,0.00717941
EqualDistinctCountHistogram,string,7,1e+06,100,1.59917
EqualDistinctCountHistogram,string,9,1e+06,100,1.66473
EqualDistinctCountHistogram,string,12,1e+06,100,1.74593
EqualDistinctCountHistogram,string,10,1e+06,100,1.74899
EqualDistinctCountHistogram,int,2,1e+06,91,0.00640792
EqualDistinctCountHistogram,int,0,1e+06,100,0.00905422
EqualDistinctCountHistogram,string,3,1e+06,100,1.73496
EqualDistinctCountHistogram,string,16,1e+06,100,1.76096
EqualDistinctCountHistogram,string,6,1e+06,100,1.16706
EqualDistinctCountHistogram,string,9,3.00156e+06,100,4.55558
