HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffAreaHistogram,int,1,90000,10,0.0058842
MaxDiffAreaHistogram,int,2,90000,10,0.00253478
MaxDiffAreaHistogram,int,0,10,5,0.0018626
MaxDiffFrequencyHistogram,string,5,100,5,0.00198445
MaxDiffAreaHistogram,int,1,100000,50,0.00355841
MaxDiffAreaHistogram,float,7,10,5,5.2808e-05
MaxDiffAreaHistogram,int,1,100,5,0.00181565
MaxDiffAreaHistogram,int,10,100,1,6.5724e-05
MaxDiffFrequencyHistogram,string,4,10,5,0.00623211
MaxDiffFrequencyHistogram,string,1,10,5,0.00855999
MaxDiffFrequencyHistogram,string,3,10,5,0.00742462
MaxDiffAreaHistogram,float,9,100,1,0.00438932
MaxDiffFrequencyHistogram,string,5,10,5,0.00857141
MaxDiffAreaHistogram,int,0,100,5,0.00127297
MaxDiffFrequencyHistogram,string,4,100,5,0.00982877
MaxDiffFrequencyHistogram,string,7,100,5,0.0081125
MaxDiffFrequencyHistogram,string,3,100,5,0.00994721
MaxDiffAreaHistogram,float,8,100,5,0.00818294
MaxDiffAreaHistogram,float,8,10,1,0.00137524
MaxDiffFrequencyHistogram,string,6,10,5,0.00997181
MaxDiffAreaHistogram,int,15,1e+06,1,0.00787901
MaxDiffAreaHistogram,int,13,1e+06,1,0.00786882
MaxDiffFrequencyHistogram,string,2,10,5,0.00989707
MaxDiffFrequencyHistogram,string,2,100,5,0.00830998
MaxDiffFrequencyHistogram,string,6,100,5,0.00832341
MaxDiffAreaHistogram,int,5,300000,1,0.00197828
MaxDiffAreaHistogram,float,6,300000,1,0.00424931
MaxDiffAreaHistogram,int,0,90000,45,0.0150843
MaxDiffAreaHistogram,int,4,300000,10,0.00206744
MaxDiffAreaHistogram,int,3,300000,10,0.00267904
MaxDiffAreaHistogram,int,0,300000,100,0.00400133
MaxDiffAreaHistogram,float,3,100000,50,0.0100385
MaxDiffAreaHistogram,float,16,300000,1,0.00384277
MaxDiffAreaHistogram,int,0,300000,100,0.00213431
MaxDiffAreaHistogram,float,14,300000,1,0.00632451
MaxDiffAreaHistogram,int,19,300000,1,0.00634494
MaxDiffAreaHistogram,float,17,300000,1,0.00633898
MaxDiffAreaHistogram,int,1,300000,10,0.00686839
MaxDiffAreaHistogram,int,2,300000,10,0.0100574
MaxDiffAreaHistogram,int,14,1e+06,1,0.0137734
MaxDiffAreaHistogram,int,18,300000,1,0.0024132
MaxDiffAreaHistogram,int,12,300000,1,0.00635305
MaxDiffAreaHistogram,int,6,2.10079e+06,1,0.0219407
MaxDiffAreaHistogram,int,7,3.00156e+06,1,0.0209099
MaxDiffAreaHistogram,int,1,300000,10,0.00436614
MaxDiffAreaHistogram,int,7,300000,1,0.00200841
MaxDiffAreaHistogram,int,1,3.00156e+06,10,0.0234763
MaxDiffAreaHistogram,int,5,210000,10,0.00189074
MaxDiffAreaHistogram,int,2,300000,10,0.00293615
MaxDiffAreaHistogram,int,2,300000,10,0.00563097
MaxDiffAreaHistogram,int,6,300000,11,0.00332373
MaxDiffAreaHistogram,int,4,300000,1,0.00216457
MaxDiffAreaHistogram,int,3,300000,100,0.0039546
MaxDiffFrequencyHistogram,string,13,300000,2,0.0162535
MaxDiffAreaHistogram,int,5,3.00156e+06,10,0.0270206
MaxDiffAreaHistogram,float,15,300000,100,0.0185285
MaxDiffFrequencyHistogram,string,4,300000,1,0.0135987
MaxDiffAreaHistogram,int,3,3.00156e+06,15,0.0331586
MaxDiffFrequencyHistogram,string,9,300000,100,0.0155749
MaxDiffAreaHistogram,int,2,3.00156e+06,10,0.0387561
MaxDiffAreaHistogram,int,0,3.00156e+06,100,0.060984
MaxDiffFrequencyHistogram,string,5,300000,100,0.037936
MaxDiffAreaHistogram,int,0,100000,50,0.0859431
MaxDiffAreaHistogram,int,4,3.00156e+06,100,0.16568
MaxDiffFrequencyHistogram,string,2,100000,50,0.227371
MaxDiffFrequencyHistogram,string,4,100000,50,0.235886
MaxDiffAreaHistogram,float,8,3.00156e+06,100,0.239315
MaxDiffFrequencyHistogram,string,3,300000,100,0.429735
MaxDiffFrequencyHistogram,string,6,300000,100,0.495712
MaxDiffFrequencyHistogram,string,11,300000,100,0.526796
MaxDiffAreaHistogram,int,1,300000,10,0.00192236
MaxDiffFrequencyHistogram,string,7,300000,100,0.522094
MaxDiffFrequencyHistogram,string,8,300000,100,0.555238
MaxDiffFrequencyHistogram,string,7,300000,100,0.56793
MaxDiffFrequencyHistogram,string,20,300000,100,1.02903
MaxDiffFrequencyHistogram,string,10,300000,100,0.0310388
MaxDiffAreaHistogram,int,0,300000,100,0.00279579
MaxDiffFrequencyHistogram,string,9,1e+06,100,1.42822
MaxDiffFrequencyHistogram,string,10,1e+06,100,1.61583
MaxDiffAreaHistogram,int,0,1e+06,100,0.0146304
MaxDiffFrequencyHistogram,string,16,1e+06,100,1.69095
MaxDiffFrequencyHistogram,string,7,1e+06,100,1.72334
MaxDiffFrequencyHistogram,string,11,1e+06,100,1.839
MaxDiffAreaHistogram,int,1,1e+06,10,0.00628372
MaxDiffFrequencyHistogram,string,12,1e+06,100,1.94979
MaxDiffAreaHistogram,int,2,1e+06,91,0.00666772
MaxDiffFrequencyHistogram,string,8,1e+06,100,1.99223
MaxDiffFrequencyHistogram,string,3,1e+06,100,2.02415
MaxDiffFrequencyHistogram,string,5,1e+06,100,2.06025
MaxDiffFrequencyHistogram,string,4,1e+06,100,2.06384
MaxDiffFrequencyHistogram,string,6,1e+06,100,1.2949
MaxDiffFrequencyHistogram,string,9,3.00156e+06,100,5.93271
