benchmark,histogram,query,operator_count,operator_type,real_input,real_output,estimated_input,estimated_output
,MaxDiffAreaHistogram,,0,TableScan,10,1,10.000000,1.000000
,MaxDiffAreaHistogram,,1,TableScan,100,10,100.000000,10.000000
,MaxDiffAreaHistogram,,2,TableScan,100,10,100.000000,10.000000
,MaxDiffAreaHistogram,,3,TableScan,65535,21,65535.000000,21.845001
,MaxDiffAreaHistogram,,4,TableScan,65535,1,65535.000000,0.655352
,MaxDiffAreaHistogram,,5,TableScan,131070,100000,0.000000,0.000000
,MaxDiffAreaHistogram,,6,TableScan,131070,100000,0.000000,0.000000
,MaxDiffAreaHistogram,,7,TableScan,65535,1,65535.000000,0.655352
,MaxDiffAreaHistogram,,8,TableScan,65535,65535,0.000000,0.000000
,MaxDiffAreaHistogram,,9,TableScan,65535,65535,0.000000,0.000000
,MaxDiffAreaHistogram,,10,TableScan,65535,1,65535.000000,0.655352
,MaxDiffAreaHistogram,,11,TableScan,65535,65535,0.000000,0.000000
,MaxDiffAreaHistogram,,12,TableScan,65535,65535,0.000000,0.000000
,MaxDiffAreaHistogram,,13,TableScan,34465,1,34465.000000,0.344663
,MaxDiffAreaHistogram,,14,TableScan,65538,34468,0.000000,0.000000
,MaxDiffAreaHistogram,,15,TableScan,65538,34468,0.000000,0.000000
,MaxDiffAreaHistogram,,16,TableScan,65535,1,65535.000000,0.655352
,MaxDiffAreaHistogram,,17,TableScan,65536,65536,0.000000,0.000000
,MaxDiffAreaHistogram,,18,TableScan,65536,65536,0.000000,0.000000
,MaxDiffAreaHistogram,,19,TableScan,65535,1,65535.000000,0.655352
,MaxDiffAreaHistogram,,20,TableScan,65540,51955,0.000000,0.000000
,MaxDiffAreaHistogram,,21,TableScan,65540,51955,0.000000,0.000000
,MaxDiffAreaHistogram,,22,TableScan,65535,1,65535.000000,0.655352
,MaxDiffAreaHistogram,,23,TableScan,65537,65536,0.000000,0.000000
,MaxDiffAreaHistogram,,24,TableScan,65537,65536,0.000000,0.000000
