HISTOGRAM_NAME,COLUMN_DATA_TYPE,COLUMN_ID,TOTAL_COUNT,BIN_COUNT,BUILD_TIME
MaxDiffFrequencyHistogram,string,2,10,5,0.00363649
MaxDiffFrequencyHistogram,string,5,10,5,0.00363645
MaxDiffFrequencyHistogram,float,9,100,1,0.000301438
MaxDiffFrequencyHistogram,string,4,10,5,0.00522058
MaxDiffFrequencyHistogram,float,7,10,5,0.00482103
MaxDiffFrequencyHistogram,string,6,10,5,0.00729989
MaxDiffFrequencyHistogram,string,7,100,5,0.000144109
MaxDiffFrequencyHistogram,string,3,10,5,0.00730176
MaxDiffFrequencyHistogram,string,1,10,5,0.00523724
MaxDiffFrequencyHistogram,string,4,100,5,0.00252759
MaxDiffFrequencyHistogram,float,8,100,5,0.00404906
MaxDiffFrequencyHistogram,int,10,100,1,0.00400196
MaxDiffFrequencyHistogram,int,1,100,5,0.00405012
MaxDiffFrequencyHistogram,float,8,10,1,0.00383614
MaxDiffFrequencyHistogram,string,2,100,5,0.00426261
MaxDiffFrequencyHistogram,int,0,100,5,7.1554e-05
MaxDiffFrequencyHistogram,string,5,100,5,0.000234724
MaxDiffFrequencyHistogram,string,3,100,5,0.000200377
MaxDiffFrequencyHistogram,int,0,10,5,0.00592212
MaxDiffFrequencyHistogram,int,14,1e+06,1,0.0097285
MaxDiffFrequencyHistogram,string,6,100,5,0.00100157
MaxDiffFrequencyHistogram,int,1,90000,10,0.000821752
MaxDiffFrequencyHistogram,int,2,90000,10,0.00112592
MaxDiffFrequencyHistogram,int,13,1e+06,1,0.00932629
MaxDiffFrequencyHistogram,int,0,90000,45,0.00141023
MaxDiffFrequencyHistogram,int,4,300000,10,0.00191693
MaxDiffFrequencyHistogram,int,5,300000,1,0.00190389
MaxDiffFrequencyHistogram,int,18,300000,1,0.00256377
MaxDiffFrequencyHistogram,int,19,300000,1,0.00299426
MaxDiffFrequencyHistogram,int,3,300000,10,0.00262784
MaxDiffFrequencyHistogram,int,2,300000,10,0.00298769
MaxDiffFrequencyHistogram,int,1,300000,10,0.00298538
MaxDiffFrequencyHistogram,float,17,300000,1,0.00387346
MaxDiffFrequencyHistogram,int,3,300000,100,0.00249651
MaxDiffFrequencyHistogram,int,15,1e+06,1,0.0134373
MaxDiffFrequencyHistogram,float,3,100000,50,0.00426147
MaxDiffFrequencyHistogram,int,5,210000,10,0.00288329
MaxDiffFrequencyHistogram,float,14,300000,1,0.00455452
MaxDiffFrequencyHistogram,int,1,300000,10,0.00297511
MaxDiffFrequencyHistogram,int,6,300000,11,0.00290287
MaxDiffFrequencyHistogram,float,6,300000,1,0.00464445
MaxDiffFrequencyHistogram,int,7,300000,1,0.00350594
MaxDiffFrequencyHistogram,float,15,300000,100,0.00638791
MaxDiffFrequencyHistogram,int,2,300000,10,0.00451115
MaxDiffFrequencyHistogram,float,16,300000,1,0.00671825
MaxDiffFrequencyHistogram,int,12,300000,1,0.00359113
MaxDiffFrequencyHistogram,int,1,100000,50,0.00812499
MaxDiffFrequencyHistogram,int,4,300000,1,0.00552619
MaxDiffFrequencyHistogram,int,2,300000,10,0.00604758
MaxDiffFrequencyHistogram,int,0,300000,100,0.0107144
MaxDiffFrequencyHistogram,int,0,300000,100,0.0119898
MaxDiffFrequencyHistogram,string,9,300000,100,0.0147816
MaxDiffFrequencyHistogram,string,4,300000,1,0.0132402
MaxDiffFrequencyHistogram,int,6,2.10079e+06,1,0.0189399
MaxDiffFrequencyHistogram,int,2,3.00156e+06,10,0.0201451
MaxDiffFrequencyHistogram,string,13,300000,2,0.0197016
MaxDiffFrequencyHistogram,int,3,3.00156e+06,15,0.0218228
MaxDiffFrequencyHistogram,int,1,3.00156e+06,10,0.0218404
MaxDiffFrequencyHistogram,int,7,3.00156e+06,1,0.0221511
